pid,fgxp,fkicker,dist,good
656145,FG,SG-0800,21,1
656166,XP,SG-0800,33,1
656177,FG,SG-0800,50,1
656213,XP,DC-0500,33,1
656222,FG,SG-0800,25,1
656234,XP,MN-0800,33,1
656244,FG,JL-0207,40,1
656264,FG,MN-0800,36,0
656274,FG,JL-0207,32,1
656283,XP,MN-0800,33,1
656308,XP,JL-0207,33,1
656318,FG,JL-0207,47,0
656329,FG,MN-0800,21,1
656353,XP,MN-0800,33,1
656389,XP,TC-2450,33,1
656404,XP,TC-2450,33,1
656457,XP,TC-2450,33,1
656489,XP,RS-3400,33,1
656512,XP,RS-3400,33,1
656521,XP,TC-2450,33,1
656575,XP,MB-4600,33,1
656587,FG,JB-7100,38,1
656600,FG,MB-4600,42,1
656606,XP,JB-7100,33,1
656629,FG,JB-7100,44,1
656641,XP,JB-7100,33,1
656667,XP,MB-4600,33,1
656699,XP,MB-4600,33,1
656727,XP,DH-3970,33,1
656741,FG,DH-3970,46,1
656771,XP,DH-3970,33,1
656797,FG,GZ-2000,52,1
656806,XP,GZ-2000,33,1
656849,XP,DH-3970,33,1
656874,XP,JM-7000,33,1
656880,FG,AF-1150,48,1
656889,FG,JM-7000,27,1
656909,FG,AF-1150,41,1
656921,XP,JM-7000,33,1
656930,XP,AF-1150,33,1
656943,FG,AF-1150,42,0
656947,FG,JM-7000,58,1
656957,XP,AF-1150,33,1
657030,FG,JM-7000,28,1
657044,XP,SJ-0300,33,1
657051,FG,SJ-0300,23,1
657063,FG,JT-3950,22,1
657082,XP,JT-3950,33,1
657089,XP,SJ-0300,33,1
657101,XP,JT-3950,33,1
657113,FG,SJ-0300,46,1
657131,FG,JT-3950,21,1
657148,FG,SJ-0300,48,1
657166,XP,SJ-0300,33,1
657179,FG,JT-3950,37,1
657197,XP,JT-3950,33,1
657210,FG,JT-3950,31,1
657223,XP,SJ-0300,33,1
657258,FG,DB-0200,20,1
657309,FG,DB-0200,28,1
657316,XP,DB-0200,33,1
657354,FG,CP-0575,46,1
657380,XP,DB-0200,33,1
657396,XP,CP-0575,33,1
657414,XP,MC-3000,33,1
657423,FG,MC-3000,54,1
657433,FG,SH-0400,54,1
657478,FG,MC-3000,18,1
657492,XP,SH-0400,33,1
657503,XP,SH-0400,33,1
657512,FG,MC-3000,44,1
657549,FG,MC-3000,21,1
657578,XP,NF-0300,33,1
657586,FG,AV-0400,29,0
657628,FG,NF-0300,35,1
657639,FG,NF-0300,48,0
657683,XP,AV-0400,33,1
657693,XP,NF-0300,33,1
657708,FG,NF-0300,46,1
657734,XP,JB-7100,33,1
657748,FG,JB-7100,35,1
657759,FG,DH-3970,44,1
657769,FG,JB-7100,36,1
657783,FG,DH-3970,37,1
657810,FG,JB-7100,48,1
657830,XP,JB-7100,33,1
657870,XP,JB-7100,33,1
657872,XP,DH-3970,33,1
657891,XP,DB-0200,33,1
657905,XP,DB-0200,33,1
657919,XP,MB-4600,33,1
657941,XP,DB-0200,33,1
657956,XP,MB-4600,33,1
657964,XP,DB-0200,33,1
657971,FG,MB-4600,32,1
658015,XP,MB-4600,33,1
658032,XP,MB-4600,33,1
658067,XP,AV-0400,33,1
658086,XP,AV-0400,33,1
658097,FG,RS-3400,38,1
658118,XP,RS-3400,33,1
658137,XP,RS-3400,33,1
658141,XP,RS-3400,33,1
658158,FG,RS-3400,21,1
658187,XP,AV-0400,33,1
658192,XP,AV-0400,33,1
658203,XP,AV-0400,33,1
658235,FG,SJ-0300,23,1
658282,XP,SJ-0300,33,1
658297,FG,TC-2450,24,1
658304,XP,SJ-0300,33,1
658322,FG,SJ-0300,35,1
658339,XP,TC-2450,33,1
658348,XP,SJ-0300,33,1
658359,FG,TC-2450,41,1
658373,XP,TC-2450,33,1
658419,XP,MN-0800,33,1
658433,FG,JT-3950,50,0
658450,XP,MN-0800,33,1
658503,XP,JT-3950,33,1
658523,FG,JT-3950,21,1
658543,XP,JT-3950,33,1
658546,XP,MN-0800,33,1
658557,XP,JT-3950,33,1
658565,XP,MN-0800,33,1
658586,XP,SG-0800,33,1
658608,FG,SG-0800,46,1
658628,FG,JM-7000,40,1
658643,FG,SG-0800,20,1
658657,XP,SG-0800,33,1
658670,FG,SG-0800,46,1
658681,XP,SG-0800,33,1
658689,XP,JM-7000,33,1
658698,XP,SG-0800,33,1
658709,XP,SG-0800,33,1
658733,XP,SG-0800,33,1
658742,XP,JM-7000,33,1
658758,FG,ZH-0150,31,1
658785,XP,ZH-0150,33,1
658800,XP,GG-0100,33,1
658819,FG,GG-0100,20,1
658828,XP,ZH-0150,33,0
658839,XP,GG-0100,33,1
658858,FG,GG-0100,47,1
658876,XP,GG-0100,33,1
658929,FG,CP-0575,30,1
658960,XP,CP-0575,33,1
658982,XP,CP-0575,33,1
658992,XP,CP-0575,33,1
659003,XP,NF-0300,33,1
659061,XP,NF-0300,33,1
659088,FG,NF-0300,53,1
659124,XP,RB-4650,33,1
659147,FG,KB-1850,58,1
659168,XP,KB-1850,33,0
659178,FG,RB-4650,43,0
659198,FG,RB-4650,39,1
659216,FG,KB-1850,41,0
659246,FG,KB-1850,33,0
659252,XP,RB-4650,33,0
659274,FG,RB-4650,19,1
659280,FG,KB-1850,57,0
659318,FG,BW-0350,24,1
659337,XP,BW-0350,33,1
659360,XP,JL-0207,33,1
659370,XP,BW-0350,33,1
659395,XP,BW-0350,33,1
659408,XP,BW-0350,33,1
659437,XP,JL-0207,33,1
659453,FG,JS-1100,21,1
659496,FG,GZ-2000,49,1
659554,FG,GZ-2000,27,1
659566,FG,JS-1100,41,1
659585,XP,CC-1150,33,1
659591,XP,CC-1150,33,1
659615,XP,CC-1150,33,1
