olid,lt,lg,c,rg,rt
1712,LJ-0750,ZB-0100,JM-2600,BL-1150,CB-2400
1713,JP-2400,EM-0400,JK-0500,TH-1500,AB-0500
1714,KB-0750,RF-0900,MP-1900,DD-0750,MG-0500
1715,JT-1600,JB-3550,AM-0100,JG-3100,MS-0550
1716,AW-1100,CB-2000,RB-2275,KZ-0050,AS-2000
1717,EM-1300,KO-0750,JZ-0300,MY-0100,RW-0150
1718,DB-4900,BJ-1950,CM-3600,BB-3230,DN-0700
1719,TW-2800,SL-0300,KL-1000,CC-1700,TP-1800
1720,TS-2700,RL-0350,TF-1350,ZM-0050,DF-1800
1721,JS-5700,MI-0200,DK-0600,JL-2560,JM-1130
1722,BB-1600,AS-0940,RK-0100,FV-0100,NC-0150
1723,AC-2200,LM-0200,ED-0500,PO-0150,DD-2300
1724,AC-1200,JM-4150,AS-0920,HT-0600,GC-0400
1725,RC-1200,OF-0100,MR-0100,LV-0100,CC-1900
1726,WB-0400,WR-0450,JW-0700,JJ-2100,JP-4350
1727,JV-0300,TL-0400,LS-0500,PF-0100,BM-0360
1728,GC-0300,JB-3900,JH-2900,JA-2500,LH-1550
1729,NS-0500,MC-0400,BS-4350,DC-3400,SV-0400
1730,RR-0250,RS-1200,DR-0300,LW-0350,GR-0300
1731,BB-1600,AS-0940,RK-0100,TT-1850,NC-0150
1732,KD-1600,CR-0900,RO-0300,JT-3450,DF-1250
1733,EF-0050,MM-2600,RH-3200,ZF-0300,RH-1000
1734,DB-0350,JS-3500,CL-0975,TL-0300,DS-1900
1735,JB-8200,MO-0250,BD-0800,KL-1350,JM-4950
1736,JS-5700,MI-0200,DK-0600,AB-2100,JM-1130
1737,JP-2400,DK-0430,JK-0500,TH-1500,AG-0400
1738,AW-1100,CB-2000,RB-2275,MP-1400,AS-2000
1739,NS-0500,MC-0400,DC-3400,JD-1750,SV-0400
1740,LJ-0750,ZB-0100,LB-0750,BL-1150,SY-0100
1741,BA-0200,DC-3000,SS-0400,DT-0550,JJ-0650
1742,KB-0750,CW-0400,MP-1900,DD-0750,MG-0500
1743,TW-2800,JL-1250,KL-1000,CC-1700,TP-1800
1744,AC-1200,JM-4150,AS-0920,LL-1200,GC-0400
1745,JH-6500,KO-0750,JZ-0300,MY-0100,RW-0150
1746,CG-1250,CR-0850,EW-1600,EP-0300,SH-0650
1747,KD-1600,CR-0900,DL-0800,JT-3450,DF-1250
1748,MK-0150,CJ-1500,JS-7200,VD-0300,PL-0300
1749,JP-2400,MT-1100,DM-2750,DK-0430,TH-1500
1750,JS-5700,MI-0200,DK-0600,AB-2100,AD-0600
1751,NS-0500,DC-3400,BS-4350,CF-0675,SV-0400
1752,AC-1200,LL-1200,JH-2250,HT-0600,GC-0400
1753,JM-1450,HG-0500,PK-0250,JA-2500,GC-0300
1754,JP-2400,MT-1100,DM-2750,TH-1500,LJ-0850
1755,MO-0250,MS-2300,BD-0800,KL-1350,JM-4950
1756,LJ-0750,ZB-0100,LB-0750,BL-1150,AP-0370
1757,NS-0500,DC-3400,BS-4350,RW-1600,SV-0400
1758,DB-4900,BJ-1950,CM-3600,XS-0100,DN-0700
1759,AC-1200,JR-1600,JH-2250,LL-1200,GC-0400
1760,MO-0250,MS-2300,RG-0500,KL-1350,JM-4950
1761,JM-1450,JB-3900,PK-0250,JA-2500,GC-0300
1762,NS-0500,DC-3400,RW-1600,JK-1650,SV-0400
1763,TL-0775,AL-0700,BS-1150,CW-0650,MO-0200
1764,BA-0200,DC-3000,SS-0400,MP-2000,JJ-0650
1765,JH-6500,JU-0300,JZ-0300,MY-0100,RW-0150
1766,DP-1100,GJ-0050,SW-1900,AH-3700,MW-0950
1767,RO-0400,JC-1000,SS-0500,JS-7450,JB-5750
1768,JL-2500,GR-0450,SW-0800,RS-0100,JB-1400
1769,NS-0500,JD-1750,RW-1600,JK-1650,SV-0400
1770,DF-0600,OA-0050,NM-0200,WC-0200,BG-0500
1771,BB-1600,FV-0100,RK-0100,TT-1850,NC-0150
1772,AC-1200,JM-4150,JH-2250,HT-0600,GC-0400
1773,JT-1600,JB-3550,JG-3100,PM-0700,MS-0550
1774,TS-2700,RL-0350,TF-1350,ZM-0050,JP-0900
1775,JS-5700,JL-2560,DK-0600,AB-2100,AD-0600
1776,RC-1200,OF-0100,MR-0100,LV-0100,PC-0650
1777,JM-1450,JB-3900,JS-6950,JA-2500,RS-0650
1778,JB-8200,MS-2300,RG-0500,KL-1350,MO-0250
1779,CG-1250,KU-0200,EW-1600,EP-0300,SH-0650
1780,BB-1600,AN-0400,RK-0100,FV-0100,NC-0150
1781,JT-1600,JB-3550,NM-0400,JG-3100,MS-0550
1782,KB-0750,RF-0900,MP-1900,DD-0750,MA-0250
1783,TA-0850,BG-2200,TL-0750,JE-1000,ZS-0200
1784,TW-2800,SL-0300,KL-1000,CC-1700,TC-2350
1785,DF-1475,AN-0400,RK-0100,FV-0100,NC-0150
1786,OC-0200,LM-0200,ED-0500,PO-0150,DD-2300
1787,TS-2700,MB-2200,TF-1350,ZM-0050,JP-0900
1788,BA-0200,DT-0550,SS-0400,MP-2000,JJ-0650
1789,JP-2400,MT-1100,JK-0500,TH-1500,LJ-0850
1790,JS-5700,MI-0200,MM-0925,AB-2100,AD-0600
1791,GR-0450,DJ-3000,SW-0800,RS-0100,JB-1400
1792,AH-3700,DP-1100,GJ-0050,SW-1900,MW-0950
1793,AB-0120,JC-1000,PL-0250,JS-7450,JB-5750
1794,AC-1200,JM-4150,JH-2250,LL-1200,GC-0400
1795,AW-1100,CB-2000,RB-2275,KZ-0050,MN-0400
1796,LJ-0750,ZB-0100,LB-0750,JM-2600,AP-0370
1797,RC-1200,OF-0100,WM-0800,MR-0100,LV-0100
1798,DP-1100,KB-0500,SW-1900,AH-3700,MW-0950
1799,GR-0450,RS-0100,SW-0800,DJ-3000,JB-1400
1800,RO-0400,AB-0120,MU-0400,JS-7450,JB-5750
1801,JB-8200,MO-0250,RG-0500,KL-1350,JM-4950
1802,BB-1600,AS-0940,RK-0100,AN-0400,NC-0150
1803,JP-2400,EM-0400,JK-0500,MT-1100,LJ-0850
1804,JJ-0650,SS-1900,SS-0400,MP-2000,DT-0550
1805,JB-8200,BD-0800,RG-0500,KL-1350,MO-0250
1806,BB-1600,AN-0400,RK-0100,TT-1850,NC-0150
1807,RR-0250,RS-1200,DR-0300,TS-3650,LW-0050
1808,AC-1200,JM-4150,JH-2250,HT-0600,JR-1600
1809,JP-2400,EM-0400,JK-0500,AG-0400,LJ-0850
1810,KD-1600,CR-0900,CW-1050,JT-3450,DF-1250
1811,RO-0400,AB-0120,PL-0250,JS-7450,JB-5750
1812,JJ-0650,DC-3000,SS-0400,MP-2000,DT-0550
1813,MM-5450,SL-0300,KL-1000,CC-1700,TC-2350
1814,JS-5700,MI-0200,MM-0925,AB-2100,JM-1130
1815,WB-0400,AS-2700,JW-0700,JJ-2100,GS-0400
1816,CL-1750,RS-1200,DR-0300,TS-3650,LW-0050
1817,RO-0400,JC-1000,LJ-0500,JS-7450,JB-5750
1818,AC-1200,JM-4150,JH-2250,JR-1600,GC-0400
1819,BB-1600,AN-0400,RK-0100,TT-1850,MR-0645
1820,MK-0150,CJ-1500,JS-7200,JB-3200,MH-1030
1821,AC-2200,LM-0200,GG-0320,PO-0150,DD-2300
1822,WB-0400,WR-0450,JW-0700,JJ-2100,GS-0400
1823,WS-1000,AL-0700,CS-3100,CW-0650,BS-3900
1824,AW-1100,MP-1400,RB-2275,KZ-0050,CB-2000
1825,JT-1600,JB-3550,RS-0950,JG-3100,MS-0550
1826,JV-0300,JC-4550,LS-0500,TL-0400,BM-0360
1827,MK-0150,VD-0300,JS-7200,JB-3200,MH-1030
1828,EF-0050,JL-2000,RH-3200,ZF-0300,RH-1000
1829,DD-2300,LM-0200,ED-0500,PO-0150,OC-0200
1830,WS-1000,AL-0700,CS-3100,CW-0650,JM-4100
1831,JS-5700,MI-0200,JL-2560,AB-2100,JM-1130
1832,JB-8200,RG-2350,RG-0500,KL-1350,JM-4950
1833,JM-4100,AL-0700,CS-3100,CW-0650,BS-3900
1834,JB-8200,RG-2350,RG-0500,MO-0250,JM-4950
1835,RR-0250,RS-1200,DR-0300,LW-0350,CL-1750
1836,JJ-0650,DC-3000,SS-0400,MP-2000,JF-3000
1837,BH-0650,BG-2200,JG-2400,JE-1000,ZS-0200
1838,JM-1450,JB-3900,JS-6950,GC-0300,RS-0650
1839,NS-0500,JK-1650,BS-4350,RW-1600,SV-0400
1840,AC-1200,JM-4150,KH-2250,LL-1200,XN-0100
1841,AW-1100,CB-2000,RB-2275,KZ-0050,EW-1500
1842,RR-0250,RS-1200,TS-3650,LW-0350,CL-1750
1843,AC-1200,AS-0920,KH-2250,LL-1200,JM-4150
1844,KD-1600,CR-0900,TR-0650,JS-3450,DF-1250
1845,DF-0600,OA-0050,DF-1850,WC-0200,BG-0500
1846,NS-0500,JK-1650,BS-4350,RW-1600,MC-0400
1847,JH-6500,KO-0750,JZ-0300,JU-0300,MY-0100
1848,JS-5700,MI-0200,MM-0925,JL-2560,AD-0600
1849,RO-0400,JC-1000,PL-0250,JS-7450,JB-5750
1850,AC-1200,JM-4150,KH-2250,LL-1200,JR-1600
1851,RR-0250,RS-1200,DR-0300,TS-3650,CL-1750
1852,JU-0300,KO-0750,JZ-0300,MY-0100,JH-6500
1853,RO-0400,JC-1000,MU-0400,JS-7450,AB-0120
1854,KB-0750,AV-0350,RF-0900,CH-4550,CW-0400
1855,NS-0500,MC-0400,JK-1650,SM-0850,RW-1600
1856,JB-8200,CL-0862,MS-2300,VD-0300,WM-0800
1857,DB-0350,DB-0750,JS-3500,LT-0150,CL-0975
1858,DS-4050,JR-1500,BG-2200,MM-5350,ZF-0300
1859,DB-4900,JA-0230,KL-0075,CC-1900,XS-0100
1860,DF-0600,BI-0100,JC-1000,DD-2525,NM-0200
1861,JT-1600,JB-3550,AM-0100,JG-3100,CE-0650
1862,AC-1200,JR-1600,LL-1200,HT-0600,KH-2250
1863,CG-1250,RI-0100,EW-1600,KU-0200,GI-0200
1864,TW-2800,TC-2350,SL-0300,AK-0950,KL-1000
1865,BA-0200,JF-3000,DT-0550,BT-1250,MP-2000
1866,LJ-0750,SY-0100,ZB-0100,AC-0250,SW-1900
1867,MO-0200,NC-0150,AN-0400,AS-0940,RK-0100
1868,RO-0400,AB-0120,JB-5750,DN-1450,PL-0250
1869,GR-0450,JB-6725,CW-1950,TB-0550,DR-1275
1870,JV-0300,BS-3050,MI-0200,TL-0400,LS-0500
1871,TA-0850,TL-0750,MU-0400,SK-0150,JE-1000
1872,RR-0250,CR-1175,MR-0100,LT-0650,TS-3650
1873,KD-1600,CH-0200,OF-0100,JT-3450,CW-1050
1874,TL-0775,JM-4100,BB-1600,QS-0075,BS-1150
1875,DS-3037,KP-0050,LM-0200,EK-0800,ES-1125
1876,DP-1100,KB-0500,GJ-0050,JF-0950,RH-3200
1877,AW-1100,JF-1750,CB-2000,RB-2275,TJ-1150
1878,EM-1300,JH-6500,KO-0750,JU-0300,JZ-0300
1879,TS-0150,MS-0525,EM-0400,MG-0250,MP-0250
1880,TS-2700,JM-4950,RL-0350,LC-0825,TF-1350
1881,EF-0075,JJ-2100,JP-4350,DR-1250,WR-0450
1882,JP-2400,AB-0500,MT-1100,JK-0500,DM-2750
1883,JM-1450,TP-1800,AL-0700,JS-6950,MP-0900
1884,JS-5700,AB-2100,IS-0150,MM-0925,JD-1750
1885,MK-0150,BF-1500,JB-3200,ZK-0200,MH-1030
1886,DS-4050,BG-2200,MM-5350,ZF-0300,LD-1000
1887,MO-0200,AS-0940,AN-0400,RK-0100,TT-1850
1888,DB-4900,KL-0075,OA-0050,JA-0230,XS-0100
1889,KB-0750,AV-0350,RF-0900,CH-4550,DL-0800
1890,DS-3037,KP-0050,LM-0200,JW-0925,ES-1125
1891,JB-8200,PO-0150,MS-2300,WM-0800,HG-0250
1892,NS-0500,MC-0400,JK-1650,SM-0850,DA-1425
1893,JM-1450,TP-1800,JL-2500,AL-0700,JS-6950
1894,GR-0450,DW-3250,JB-6725,CW-1950,TB-0550
1895,TS-2700,CB-3400,RL-0350,LC-0825,TF-1350
1896,JP-2400,MT-1100,AB-0500,JA-1890,JK-0500
1897,DB-0350,JS-3500,LT-0150,CL-0975,JT-3350
1898,DS-4050,BG-2200,JA-1050,MM-5350,ZF-0300
1899,MO-0200,AS-0940,DF-1475,AN-0400,FV-0100
1900,TW-2800,TC-2350,AK-0950,KL-1000,JL-1250
1901,JP-2400,MT-1100,AB-0500,JK-0500,JV-0100
1902,JM-1450,JL-2500,AL-0700,JS-6950,MP-0900
1903,KD-1600,CH-0200,OF-0100,TB-3975,CW-1050
1904,JS-5700,AB-2100,IS-0150,MM-0925,NE-0225
1905,TS-0150,TP-1800,EM-0400,MG-0250,MP-0250
1906,DB-4900,CC-1900,OA-0050,XS-0100,BB-3230
1907,AC-1200,JM-4150,LL-1200,KH-2250,JH-2250
1908,JB-8200,PO-0150,NB-0150,MS-2300,HG-0250
1909,DS-4050,JR-1500,BG-2200,JA-1050,MM-5350
1910,TW-2800,TC-2350,SL-0925,AK-0950,KL-1000
1911,LJ-0750,SY-0100,ZB-0100,LB-0750,SW-1900
1912,TA-0850,TH-1800,TL-0750,MM-2600,MU-0400
1913,TS-0150,MS-0525,TP-1800,EM-0400,MG-0250
1914,JS-5700,AB-2100,IS-0150,MM-0925,AT-0750
1915,MK-0150,AS-0850,BF-1500,JB-3200,NE-0225
1916,JB-8200,CL-0862,NB-0150,MS-2300,PO-0150
1917,DB-4900,CC-1900,OA-0050,XS-0100,BJ-1950
1918,MO-0200,AS-0940,AN-0400,FV-0100,RK-0100
1919,KD-1600,CH-0200,OF-0100,TB-3975,MO-0250
1920,MC-0400,CF-0675,JK-1650,SM-0850,DA-1425
1921,JP-2400,MT-1100,AB-0500,JK-0500,JA-1890
1922,CG-1250,JM-4950,RI-0100,EW-1600,KU-0200
1923,DS-3037,KP-0050,LM-0200,ES-1125,JH-2900
1924,TL-0775,JM-4100,BB-1600,QS-0075,AG-0250
1925,AV-0350,BS-3900,RF-0900,CH-4550,DL-0800
1926,TS-2700,CB-3400,LC-0825,RL-0350,TF-1350
1927,MO-0200,AS-0940,AN-0400,RK-0100,FV-0100
1928,MC-0400,CF-0675,SM-0850,BS-4350,DA-1425
1929,TL-0775,JM-4100,JP-3875,QS-0075,AG-0250
1930,TA-0850,AP-0450,TL-0750,MM-2600,MU-0400
1931,BA-0200,JF-3000,DT-0550,MP-2000,BT-1250
1932,GR-0450,DW-3250,GR-0300,CW-1950,TB-0550
1933,RH-1000,TP-1800,EM-0400,MG-0250,MP-0250
1934,JP-2400,AB-0500,TH-1020,JK-0500,JA-1890
1935,KD-1600,CH-0200,OF-0100,KW-0930,CW-1075
