olid,lt,lg,c,rg,rt
1399,ML-2000,LM-0200,RW-1600,BW-0600,SV-0400
1400,BD-1000,SS-0500,NH-0200,TM-3100,JC-3000
1401,BA-0200,RH-3200,CW-2000,JA-2500,BR-0300
1402,MS-4400,DL-0800,MP-1900,RF-0900,MG-0500
1403,DD-1400,KB-1400,DB-0100,CS-2800,KM-1200
1404,JL-2500,RI-0100,MP-2000,JJ-2100,MC-2300
1405,AC-1200,MP-1400,JS-0600,RD-1000,JL-2000
1406,ML-2000,LM-0200,NM-0400,BW-0600,NS-0500
1407,DD-1400,MP-1100,KB-1400,CS-2800,KM-1200
1408,MN-0400,TL-0300,SW-0800,ED-0500,BB-3700
1409,JG-0300,TG-1700,NH-0200,LV-0100,JC-3000
1410,SL-0800,MH-3800,WM-0800,CC-1700,TP-1800
1411,TW-1400,MB-2200,RK-0100,GH-0200,BB-1600
1412,PM-0700,RG-0100,MU-0400,LJ-0500,BG-0500
1413,ML-1400,JB-6800,TW-3800,BM-0500,HD-0100
1414,AG-1000,JB-6800,TW-3800,BM-0500,HD-0100
1415,AW-1100,NL-0500,KC-2300,MM-2600,AC-2200
1416,DB-1400,AL-0700,KU-0200,CR-0900,EP-0300
1417,JJ-2100,RI-0100,MP-2000,VC-0100,MC-2300
1418,WS-0900,MH-3800,WM-0800,CC-1700,TP-1800
1419,ML-2000,LM-0200,RW-1600,BW-0600,NS-0500
1420,MS-4400,TE-0400,DL-0800,RF-0900,MG-0500
1421,LM-0200,DT-1100,DC-3400,BW-0600,NS-0500
1422,WS-0900,MH-3800,WM-0800,CC-1700,JB-6700
1423,CJ-1500,JB-3200,JS-7200,AH-2900,PL-0300
1424,MS-4400,TE-0400,DL-0800,RF-0900,JS-1400
1425,EM-1300,WR-0100,BM-1900,UN-0100,CB-2400
1426,MN-0400,ED-0500,SW-0800,JS-3500,TL-0300
1427,DP-1100,JZ-0300,JF-0200,DJ-3000,JL-0900
1428,CH-0200,AL-0700,CB-3800,CR-0900,EP-0300
