pid,bc,dir,yds,succ,kne
670429,SW-0350,RG,4,1,0
670436,CW-1450,LG,0,0,0
670437,KD-0450,LG,5,1,0
670439,KD-0450,RT,2,0,0
670441,SW-0350,MD,8,0,0
670443,TR-0370,RT,2,0,0
670446,TR-0370,RG,6,0,0
670453,DF-1875,LE,2,0,0
670456,DF-1875,LT,2,0,0
670457,DF-1875,LG,1,0,0
670458,MR-2500,RG,2,1,0
670459,DF-1875,LE,0,0,0
670461,DF-1875,LG,0,0,0
670465,DM-0450,LG,2,0,0
670466,DM-0450,LT,4,0,0
670468,DM-0450,RE,18,1,0
670469,DM-0450,LG,5,1,0
670470,DM-0450,LE,3,1,0
670471,DM-0450,LG,-5,0,0
670475,DM-0450,RE,1,0,0
670481,DF-1875,LT,6,1,0
670482,DF-1875,RE,-4,0,0
670484,TC-2050,RE,7,1,0
670485,TC-2050,RE,2,1,0
670488,DF-1875,LE,7,1,0
670489,DF-1875,RT,3,0,0
670490,DF-1875,RE,0,0,0
670492,DF-1875,LG,2,0,0
670493,MR-2500,MD,0,0,0
670495,CS-1950,RE,1,0,0
670498,CS-1950,RG,7,1,0
670499,CS-1950,RT,4,1,0
670500,DM-0450,LT,-2,0,0
670505,DF-1875,RG,20,1,0
670507,DF-1875,LG,6,1,0
670513,CS-1950,RE,7,1,0
670523,DM-0450,LE,1,0,0
670527,DF-1875,LE,0,0,0
670530,DF-1875,LT,7,1,0
670531,TC-2050,LT,2,1,0
670533,MR-2500,MD,0,0,0
670534,DM-0450,LG,9,1,0
670539,DM-0450,RG,2,0,0
670540,JW-5650,LG,21,1,0
670541,DM-0450,LG,-2,0,0
670543,JW-5650,RG,4,1,0
670551,DF-1875,LE,14,1,0
670552,DF-1875,LE,3,0,0
670562,DM-0450,RG,1,0,0
670565,CS-1950,RE,-2,0,0
670576,DF-1875,RT,2,1,0
670579,DF-1875,RG,16,1,0
670580,DF-1875,RG,4,0,0
670582,DF-1875,RE,-3,0,0
670585,DM-0450,RT,5,1,0
670586,DM-0450,RT,-1,0,0
