pid,punter,pgro,pnet,ptb,pr,pry,pfc
656935,BA-0850,56,37,0,JL-0215,19,0
656968,BA-0850,47,27,1,,0,0
656974,MD-0125,36,36,0,RG-1812,0,1
656979,BA-0850,53,46,0,JL-0215,7,0
656990,MD-0125,43,23,1,,0,0
656994,BA-0850,55,56,0,JL-0215,-1,0
657000,MD-0125,51,27,0,RG-1812,24,0
657004,BA-0850,34,34,0,,0,0
657009,MD-0125,53,53,0,RG-1812,0,1
657016,BA-0850,40,40,0,JL-0215,0,1
657020,MD-0125,54,52,0,NM-0250,2,0
657074,MK-0760,48,28,1,,0,0
657136,SK-0600,46,21,0,TC-0385,25,0
657155,SK-0600,46,46,0,TC-0385,0,0
657184,MK-0760,70,70,0,,0,0
657232,CJ-2100,59,44,0,DS-3300,15,0
657236,DJ-2800,38,38,0,CB-1130,0,1
657240,CJ-2100,60,60,0,,0,0
657246,DJ-2800,45,45,0,CB-1130,0,1
657263,DJ-2800,57,56,0,CB-1130,1,0
657272,CJ-2100,44,44,0,DS-3300,0,1
657276,DJ-2800,55,55,0,,0,0
657282,CJ-2100,43,43,0,DS-3300,0,1
657287,DJ-2800,59,52,0,CB-1130,7,0
657315,DJ-2800,-6,-32,0,,0,0
657321,DJ-2800,48,48,0,CB-1130,0,1
657346,CJ-2100,61,41,1,,0,0
657372,CJ-2100,48,43,0,DS-3300,5,0
657419,JR-3700,39,39,0,MH-4000,0,1
657440,TM-0800,49,27,0,TL-1025,22,0
657447,JR-3700,31,31,0,MH-4000,0,1
657459,JR-3700,37,37,0,MH-4000,0,1
657466,TM-0800,46,46,0,,0,0
657471,JR-3700,58,38,1,,0,0
657497,TM-0800,44,44,0,TL-1025,0,0
657521,JR-3700,36,36,0,MH-4000,0,1
657565,RQ-0050,31,31,0,GW-0650,0,1
657590,RQ-0050,40,40,0,GW-0650,0,1
657594,PM-0300,50,50,0,JK-1000,0,1
657602,RQ-0050,35,35,0,,0,0
657606,PM-0300,57,57,0,,0,0
657617,PM-0300,42,42,0,JK-1000,0,1
657663,RQ-0050,35,35,0,,0,0
657674,RQ-0050,29,29,0,GW-0650,0,1
657719,TW-1175,-17,-17,0,,0,0
657727,BW-2625,37,37,0,TP-1550,0,1
657739,TW-1175,36,36,0,DH-1800,0,0
657793,BW-2625,45,45,0,,0,0
657850,BW-2625,45,45,0,JC-5680,0,1
