uid,gid,player,pat,fgs,fgm,fgl,fpts,game,seas,year,team
8113,4090,NF-0300,2,2,0,1,13,6,9,2015,NYJ
8114,4091,SJ-0300,4,3,0,0,13,6,16,2015,OAK
8115,4091,JL-0207,1,0,2,0,9,7,1,2015,SD
8116,4092,DB-0200,2,1,1,0,9,6,5,2015,DAL
8117,4092,JB-7100,3,1,1,0,10,7,13,2015,NYG
8118,4093,GG-0100,3,2,0,0,9,6,7,2015,CAR
8119,4093,CS-4250,1,2,0,1,12,4,3,2015,PHI
8120,4094,CC-1150,2,2,0,0,8,7,2,2015,ARI
8121,4094,JT-3950,1,0,1,0,5,7,4,2015,BAL
8122,4095,SG-0800,4,1,0,1,12,7,10,2015,NE
8123,4095,AF-1150,1,0,0,0,1,7,1,2015,MIA
8124,4096,MP-2100,1,1,0,0,4,8,10,2015,DET
8125,4096,CS-0250,6,1,0,0,9,8,2,2015,KC
8126,4097,MB-4600,2,2,0,0,8,8,14,2015,ATL
8127,4097,CB-0700,2,3,0,0,11,3,8,2015,TB
8128,4098,CC-1150,4,2,0,0,10,8,2,2015,ARI
8129,4098,TC-2450,2,0,0,0,2,8,2,2015,CLE
8130,4099,PD-0200,0,1,0,1,8,8,18,2015,SF
8131,4099,GZ-2000,2,1,0,0,5,7,4,2015,STL
8132,4100,JB-7100,7,0,0,0,7,8,13,2015,NYG
8133,4100,KF-0250,7,0,0,1,12,3,5,2015,NO
8134,4101,RG-1500,2,1,0,1,10,6,11,2015,CHI
8135,4101,BW-0350,2,1,2,0,13,7,4,2015,MIN
8136,4102,JT-3950,2,2,3,0,20,8,4,2015,BAL
8137,4102,JL-0207,2,0,2,0,10,8,1,2015,SD
8138,4103,CB-2275,1,1,0,0,4,4,2,2015,PIT
8139,4103,MN-0800,1,0,3,0,13,7,11,2015,CIN
8140,4104,RS-3400,0,1,1,0,7,7,7,2015,TEN
8141,4104,NN-0200,2,2,0,0,8,5,11,2015,HOU
