pid,kicker,kgro,knet,ktb,kr,kry
663790,JM-7000,11,11,0,,0
663793,ZH-0150,62,22,0,JH-5750,40
663825,ZH-0150,65,45,1,,0
663847,CS-4250,63,52,0,MM-5750,11
663882,CS-4250,56,37,0,KR-1050,19
663884,CS-4250,67,40,0,MM-5750,27
663895,ZH-0150,65,45,1,,0
663907,CS-4250,65,45,1,,0
663911,CS-4250,65,45,1,,0
663927,CS-4250,66,38,0,MM-5750,28
663943,CS-4250,65,45,1,,0
663958,CS-4250,65,45,1,,0
663963,CS-4250,65,45,1,,0
663979,TC-2450,70,41,0,JR-3270,29
663997,JT-3950,65,45,1,,0
664008,TC-2450,62,38,0,JR-3270,24
664016,JT-3950,68,53,0,JG-1250,15
664045,TC-2450,70,24,0,JR-3270,46
664062,JT-3950,65,45,1,,0
664080,JT-3950,65,45,1,,0
664097,TC-2450,62,37,0,JR-3270,25
664109,TC-2450,43,36,0,KJ-1400,7
664128,JT-3950,65,45,1,,0
664139,TC-2450,65,45,1,,0
664151,JT-3950,65,45,1,,0
664156,TC-2450,70,50,0,JR-3270,20
664173,MC-3000,65,45,1,,0
664186,MC-3000,65,40,0,BC-3070,25
664218,MC-3000,65,45,1,,0
664239,GZ-2000,65,45,1,,0
664256,GZ-2000,65,45,1,,0
664264,GZ-2000,65,45,1,,0
664270,MC-3000,65,45,1,,0
664334,MC-3000,65,45,1,,0
664342,BC-3000,72,47,0,BS-0650,25
664382,RS-3400,65,45,1,,0
664418,RS-3400,65,45,1,,0
664437,RS-3400,69,45,0,PH-0400,24
664449,BC-3000,65,48,0,BS-0650,17
664464,RS-3400,65,45,1,,0
664476,BC-3000,70,50,0,DM-1200,20
664492,CC-1150,65,45,1,,0
664522,MP-2100,71,36,0,DJ-1325,35
664529,CC-1150,65,45,1,,0
664540,CC-1150,73,32,0,AA-0025,41
664559,CC-1150,65,45,1,,0
664568,CC-1150,69,7,0,TJ-2350,62
664576,MP-2100,65,45,1,,0
664596,CC-1150,65,45,1,,0
664623,MP-2100,65,45,1,,0
664628,CC-1150,65,31,0,TJ-2350,34
664664,MP-2100,60,60,0,,0
664668,SG-0800,65,45,1,,0
664687,SG-0800,65,45,1,,0
664701,DB-0200,65,45,1,,0
664733,SG-0800,72,51,0,LW-1150,21
664750,SG-0800,73,53,1,,0
664752,DB-0200,70,50,1,,0
664764,SG-0800,68,48,1,,0
664782,DB-0200,65,45,1,,0
664790,SG-0800,65,45,1,,0
664813,SG-0800,65,45,1,,0
664830,BM-1650,74,47,0,RH-1600,27
664865,BM-1650,65,45,1,,0
664875,SJ-0300,60,37,0,OB-0150,23
664902,SJ-0300,63,32,0,OB-0150,31
664913,BM-1650,63,45,0,MR-0500,18
664924,BM-1650,65,45,1,,0
664962,BM-1650,65,45,1,,0
664983,SJ-0300,14,14,0,,0
664988,JB-7100,65,45,1,,0
664997,BP-0750,65,45,1,,0
665007,JB-7100,68,46,0,BE-0350,22
665031,JB-7100,65,45,1,,0
665049,JB-7100,65,45,1,,0
665062,BP-0750,65,45,1,,0
665071,BP-0750,65,45,1,,0
665090,BP-0750,65,45,1,,0
665109,JB-7100,65,45,1,,0
665123,BP-0750,64,44,0,SV-0200,20
665139,JB-7100,65,45,1,,0
665149,BP-0750,71,47,0,SV-0200,24
665160,JB-7100,46,43,0,BM-2600,3
665164,JL-0207,65,45,1,,0
665177,JL-0207,65,45,1,,0
665221,CB-2275,65,45,1,,0
665242,CB-2275,73,43,0,JJ-3900,30
665271,CB-2275,65,45,1,,0
665280,JL-0207,72,42,0,DA-1450,30
665298,JL-0207,69,37,0,DA-1450,32
665301,CB-2275,65,45,1,,0
665314,JL-0207,65,45,1,,0
665328,MB-3000,65,45,1,,0
665342,ZH-0150,57,38,0,PD-0700,19
665359,ZH-0150,65,45,1,,0
665370,MB-3000,65,45,1,,0
665412,ZH-0150,65,45,1,,0
665432,ZH-0150,65,45,1,,0
665449,ZH-0150,65,45,1,,0
665462,MB-3000,65,45,1,,0
665475,ZH-0150,65,45,1,,0
665497,MB-3000,11,11,0,,0
665505,NF-0300,65,52,0,RR-1150,13
665519,DH-3970,70,48,0,ZS-0150,22
665532,NF-0300,61,49,0,RR-1150,12
665548,NF-0300,65,45,1,,0
665572,DH-3970,65,45,1,,0
665585,DH-3970,32,32,0,TR-0175,0
665586,DH-3970,58,33,0,ZS-0150,25
665594,NF-0300,65,44,0,RR-1150,21
665599,NF-0300,67,42,0,RR-1150,25
665611,NF-0300,65,45,1,,0
665628,NF-0300,66,41,0,RR-1150,25
665659,DH-3970,31,31,0,,0
665669,CB-2275,56,42,0,DJ-1325,14
665686,CC-1150,66,44,0,DA-1450,22
665728,CB-2275,69,46,0,DJ-1325,23
665743,CC-1150,66,51,0,DA-1450,15
665749,CC-1150,61,26,0,DA-1450,35
665757,CB-2275,70,42,0,DJ-1325,28
665765,CB-2275,67,35,0,DJ-1325,32
665781,CB-2275,65,47,0,DJ-1325,18
665788,CC-1150,67,43,0,DA-1450,24
665802,CB-2275,65,57,0,DJ-1325,8
665816,CB-2275,50,30,1,,0
665828,CS-0250,69,51,0,CP-0750,18
665851,BW-0350,64,45,0,KD-0450,19
665887,BW-0350,65,45,1,,0
665905,BW-0350,65,45,1,,0
665921,BW-0350,65,45,0,DT-0850,20
665947,CS-0250,70,37,0,CP-0750,33
665960,CS-0250,65,45,1,,0
665971,BW-0350,65,45,1,,0
665986,MN-0800,65,45,1,,0
665999,DC-0500,65,16,0,AJ-1200,49
666016,MN-0800,67,48,0,MG-1050,19
666037,MN-0800,65,45,1,,0
666046,MN-0800,65,51,0,MG-1050,14
666064,DC-0500,37,30,0,CP-0800,7
666066,DC-0500,65,35,0,AJ-1200,30
666076,MN-0800,61,34,0,DM-3100,27
666099,MN-0800,64,45,0,DM-3100,19
666115,MN-0800,65,45,1,,0
666126,DC-0500,46,38,0,BT-0300,8
666147,RG-1500,65,45,1,,0
666159,SM-0650,65,45,1,,0
666170,RG-1500,69,47,0,AA-0025,22
666187,RG-1500,70,44,0,TJ-2350,26
666196,SM-0650,70,14,0,MM-0900,56
666208,RG-1500,71,50,0,TJ-2350,21
666222,SM-0650,65,45,1,,0
666225,SM-0650,65,45,1,,0
666251,RG-1500,65,45,1,,0
666260,SM-0650,65,45,1,,0
666272,RG-1500,65,45,1,,0
666285,RG-1500,65,45,1,,0
666300,SM-0650,58,46,0,MM-0900,12
666312,SM-0650,65,45,1,,0
666317,RG-1500,65,45,1,,0
666347,TC-2450,61,51,0,OB-0150,10
666375,BM-1650,56,46,0,SD-0800,10
666386,BM-1650,70,40,0,JG-1250,30
666426,BM-1650,58,39,0,SD-0800,19
666437,TC-2450,68,41,0,OB-0150,27
666461,BM-1650,65,45,1,,0
666475,BM-1650,65,45,1,,0
666485,TC-2450,66,56,0,OB-0150,10
666491,TC-2450,67,40,0,OB-0150,27
666494,BM-1650,64,38,0,JG-1250,26
666516,TC-2450,63,42,0,OB-0150,21
666530,TC-2450,49,34,0,KB-1050,15
666553,JM-7000,65,45,1,,0
666588,NN-0200,67,40,0,BW-0400,27
666605,JM-7000,65,45,1,,0
666616,NN-0200,65,45,1,,0
666641,NN-0200,68,40,0,BW-0400,28
666677,JM-7000,60,46,0,KM-3250,14
666688,NN-0200,65,45,1,,0
666699,NN-0200,63,39,0,BW-0400,24
666702,NN-0200,65,45,1,,0
666719,JM-7000,10,10,0,,0
666737,RS-3400,66,52,0,DW-3125,14
666747,AF-1150,65,45,1,,0
666758,RS-3400,65,45,1,,0
666771,AF-1150,65,45,1,,0
666796,AF-1150,65,45,1,,0
666819,AF-1150,67,45,0,BS-0650,22
666841,AF-1150,66,32,0,BS-0650,34
666856,RS-3400,74,43,0,DW-3125,31
666873,AF-1150,62,39,0,BS-0650,23
666889,AF-1150,65,45,1,,0
666900,GG-0100,65,45,1,,0
666924,SH-0400,65,45,1,,0
666941,GG-0100,69,55,0,TL-1025,14
666955,SH-0400,65,45,1,,0
666982,SH-0400,65,45,1,,0
666992,SH-0400,65,45,1,,0
666999,SH-0400,65,45,1,,0
667012,GG-0100,65,45,1,,0
667029,SH-0400,65,45,1,,0
667049,GG-0100,65,45,1,,0
667066,GG-0100,69,56,0,TL-1025,13
667071,MC-3000,65,45,1,,0
667089,MC-3000,65,45,1,,0
667104,JL-0207,69,32,0,TM-3150,37
667112,MC-3000,70,49,0,JJ-3900,21
667137,MC-3000,65,51,0,JJ-3900,14
667160,JL-0207,70,40,0,JA-0050,30
667175,JL-0207,65,45,1,,0
667201,MC-3000,62,42,0,JJ-3900,20
667212,JL-0207,36,36,0,,0
667234,MC-3000,65,45,1,,0
667247,JT-3950,65,45,1,,0
667269,BP-0750,65,45,1,,0
667284,BP-0750,72,31,0,JR-3270,41
667294,JT-3950,65,45,1,,0
667298,BP-0750,65,45,1,,0
667309,BP-0750,65,45,1,,0
667319,JT-3950,65,45,1,,0
667332,BP-0750,65,45,1,,0
667348,BP-0750,65,45,1,,0
667360,JT-3950,65,45,1,,0
667380,BP-0750,65,45,1,,0
667397,JT-3950,65,45,1,,0
667415,SG-0800,73,54,0,GW-0650,19
667431,PM-0300,65,45,1,,0
667444,SG-0800,65,45,1,,0
667460,SG-0800,65,45,1,,0
667470,PM-0300,30,30,0,,0
667476,SG-0800,65,45,1,,0
667491,PM-0300,65,45,1,,0
667504,SG-0800,65,45,1,,0
667506,PM-0300,65,45,1,,0
667515,SG-0800,65,45,1,,0
667550,SG-0800,65,45,1,,0
667596,PM-0300,9,4,0,RG-2200,5
667599,CS-4250,65,45,1,,0
667611,JB-7100,64,52,0,RC-2300,12
667634,CS-4250,62,38,0,SV-0200,24
667652,CS-4250,65,45,1,,0
667698,CS-4250,35,29,0,MH-2400,6
667699,JB-7100,65,44,0,JH-5750,21
667725,CS-4250,70,44,0,DH-1800,26
667760,CS-4250,66,43,0,DH-1800,23
667779,SH-0400,65,45,1,,0
667797,SH-0400,64,33,0,QP-0050,31
667825,SH-0400,63,39,0,BE-0350,24
667843,SH-0400,68,44,0,BE-0350,24
667856,BP-0750,65,45,1,,0
667884,BP-0750,62,42,0,TL-1025,20
667897,SH-0400,67,42,0,BE-0350,25
667925,JM-7000,69,41,0,DH-2550,28
667948,JG-0850,65,45,1,,0
667970,JM-7000,60,43,0,AD-1300,17
667976,JM-7000,65,45,1,,0
667979,JM-7000,71,50,0,DH-2550,21
667988,JM-7000,71,50,0,DH-2550,21
668002,JG-0850,70,51,0,NM-0250,19
668015,JG-0850,65,45,1,,0
668017,JG-0850,65,45,1,,0
668051,JG-0850,65,45,1,,0
668082,JG-0850,65,45,1,,0
668088,JG-0850,65,64,0,BW-0400,1
668099,JM-7000,65,45,1,,0
668109,CB-0700,65,45,1,,0
668118,CB-0700,65,45,1,,0
668134,CB-0700,69,51,0,RR-1150,18
668155,CB-0700,65,45,1,,0
668163,CB-0700,69,39,0,RR-1150,30
668172,DH-3970,65,45,1,,0
668188,DH-3970,65,45,1,,0
668202,DH-3970,14,14,0,,0
668214,DH-3970,65,45,1,,0
668229,CB-0700,65,45,1,,0
668242,DH-3970,68,46,0,BR-0050,22
668254,CB-0700,65,45,1,,0
668268,DH-3970,65,45,1,,0
668273,MB-3000,65,45,1,,0
668325,RS-3400,72,44,0,EW-0500,28
668339,MB-3000,65,45,1,,0
668351,RS-3400,65,45,1,,0
668372,MB-3000,67,40,0,BS-0650,27
668422,PM-0300,65,45,1,,0
668457,KF-0250,61,40,0,GW-0650,21
668468,KF-0250,67,37,0,GW-0650,30
668473,KF-0250,65,45,1,,0
668521,KF-0250,67,47,0,GW-0650,20
668534,KF-0250,65,45,0,GW-0650,20
668553,PM-0300,60,40,1,,0
668564,PM-0300,65,45,1,,0
668607,PM-0300,18,18,0,,0
668615,BW-0350,71,40,0,AA-0025,31
668624,SM-0650,67,47,0,CP-0750,20
668641,BW-0350,65,45,1,,0
668648,SM-0650,67,37,0,CP-0750,30
668658,BW-0350,68,46,0,AA-0025,22
668675,SM-0650,72,44,0,CP-0750,28
668684,BW-0350,68,42,0,AA-0025,26
668697,SM-0650,72,43,0,CP-0750,29
668708,BW-0350,65,45,1,,0
668718,BW-0350,65,45,1,,0
668733,BW-0350,65,45,1,,0
668769,JL-2250,44,38,0,TJ-2350,6
668776,CS-0250,65,45,1,,0
668793,CS-0250,70,32,0,DA-1450,38
668808,CB-2275,65,45,1,,0
668822,CS-0250,65,45,1,,0
668839,CS-0250,64,41,0,DA-1450,23
668849,CB-2275,71,43,0,KD-0450,28
668877,CS-0250,72,42,0,DA-1450,30
668885,CB-2275,69,36,0,DT-0850,33
668898,CB-2275,67,49,0,KD-0450,18
668908,CS-0250,74,49,0,DA-1450,25
668922,TC-2450,66,60,0,BC-3070,6
668931,GZ-2000,65,45,1,,0
668941,GZ-2000,65,45,1,,0
668958,TC-2450,64,43,0,BC-3070,21
669002,GZ-2000,65,45,1,,0
669009,TC-2450,65,45,1,,0
669034,GZ-2000,65,45,1,,0
669056,GZ-2000,73,52,0,JG-1250,21
669081,AF-1150,64,23,0,KM-3250,41
669093,AF-1150,65,45,1,,0
669108,AF-1150,65,45,1,,0
669118,AF-1150,65,45,1,,0
669130,AF-1150,65,45,1,,0
669134,AF-1150,67,42,0,KM-3250,25
669167,AF-1150,69,47,0,KM-3250,22
669179,NN-0200,70,40,0,DW-3125,30
669199,NN-0200,74,40,0,DW-3125,34
669215,NN-0200,65,45,1,,0
669231,NN-0200,65,45,1,,0
669241,AF-1150,65,45,1,,0
669256,NN-0200,10,10,0,,0
669264,SG-0800,65,45,1,,0
669271,SG-0800,65,45,1,,0
669287,NF-0300,65,45,1,,0
669310,NF-0300,67,41,0,DA-0900,26
669331,SG-0800,65,45,1,,0
669344,SG-0800,74,46,0,CO-1300,28
669352,NF-0300,64,36,0,DA-0900,28
669365,SG-0800,65,45,1,,0
669381,NF-0300,72,43,0,DA-0900,29
669397,NF-0300,65,45,1,,0
669409,SG-0800,65,35,0,CO-1300,30
669426,SG-0800,65,45,1,,0
669434,NF-0300,16,16,0,,0
669437,SJ-0300,74,54,0,JJ-3900,20
669444,SJ-0300,65,45,1,,0
669462,SJ-0300,65,45,1,,0
669473,JL-0207,74,42,0,TJ-2400,32
669481,SJ-0300,70,49,0,JJ-3900,21
669492,SJ-0300,70,18,0,JJ-3900,52
669505,SJ-0300,65,45,1,,0
669519,SJ-0300,65,45,1,,0
669529,JL-0207,65,45,1,,0
669539,SJ-0300,69,47,0,JJ-3900,22
669575,JL-0207,12,12,0,,0
669598,JL-0207,12,12,0,,0
669624,JL-0207,11,11,0,,0
669626,DB-0200,70,40,0,DH-1800,30
669648,DB-0200,65,46,0,DH-1800,19
669671,JB-7100,55,25,0,,0
669679,DB-0200,65,45,1,,0
669693,DB-0200,65,45,1,,0
669703,JB-7100,65,45,1,,0
669713,JB-7100,63,39,0,LW-1150,24
669721,JB-7100,65,45,1,,0
669736,JB-7100,64,44,0,LW-1150,20
669761,DB-0200,65,-35,0,DH-1800,100
669763,JB-7100,56,34,0,DS-4750,22
669782,GG-0100,65,45,1,,0
669796,GG-0100,65,45,1,,0
669845,CS-4250,62,25,0,,0
669853,GG-0100,65,45,1,,0
669870,CS-4250,36,36,0,,0
669872,CS-4250,65,45,1,,0
669881,GG-0100,65,45,1,,0
669888,CS-4250,65,45,1,,0
669899,CS-4250,67,40,0,FW-0750,27
669930,GG-0100,65,45,1,,0
669956,GG-0100,65,45,1,,0
669961,JT-3950,65,45,1,,0
669980,JT-3950,65,45,1,,0
669985,CC-1150,65,45,1,,0
670016,JT-3950,65,45,1,,0
670029,CC-1150,65,45,1,,0
670034,CC-1150,65,45,1,,0
670046,CC-1150,65,45,1,,0
670063,CC-1150,65,45,1,,0
670082,CC-1150,68,40,0,JR-3270,28
670095,JT-3950,50,50,0,,0
670118,AF-1150,65,45,1,,0
670129,SG-0800,65,45,1,,0
670155,MD-0125,52,35,0,PC-0300,17
670190,SG-0800,65,45,1,,0
670204,SG-0800,65,45,1,,0
670209,SG-0800,65,45,1,,0
670218,AF-1150,65,45,1,,0
670231,SG-0800,65,47,0,JL-0215,18
670254,SG-0800,65,15,0,JL-0215,50
670267,SG-0800,65,45,1,,0
670290,CS-0250,65,45,1,,0
670302,SM-0650,71,21,0,KD-0450,50
670313,CS-0250,68,52,0,AA-0025,16
670335,CS-0250,73,43,0,AA-0025,30
670345,CS-0250,73,50,0,AA-0025,23
670357,CS-0250,67,39,0,AA-0025,28
670370,SM-0650,68,41,0,DT-0850,27
670383,CS-0250,71,49,0,AA-0025,22
670418,CS-0250,74,42,0,AA-0025,32
670427,SM-0650,6,6,0,,0
670431,CS-0250,65,45,1,,0
670447,CB-0700,70,39,0,EW-0500,31
670464,MB-3000,65,45,1,,0
670479,CB-0700,65,45,1,,0
670504,CB-0700,65,45,1,,0
670520,CB-0700,65,45,1,,0
670522,MB-3000,65,45,1,,0
670545,CB-0700,65,45,1,,0
670558,MB-3000,65,45,1,,0
670584,MB-3000,65,45,1,,0
670599,MB-3000,65,45,1,,0
670601,MB-3000,65,45,1,,0
670620,CB-0700,72,45,0,EW-0500,27
670626,TC-2450,71,47,0,DJ-1325,24
670639,CC-1150,65,45,1,,0
670655,TC-2450,65,45,1,,0
670667,TC-2450,63,40,0,DJ-1325,23
670689,TC-2450,66,50,0,DJ-1325,16
670712,CC-1150,64,39,0,JG-1250,25
670723,CC-1150,65,45,1,,0
670735,CC-1150,65,45,1,,0
670773,CC-1150,69,48,0,JG-1250,21
670793,CC-1150,65,45,1,,0
670803,GZ-2000,65,45,1,,0
670813,BP-0750,65,45,1,,0
670832,BP-0750,48,42,0,TA-1050,6
670864,GZ-2000,68,49,0,BE-0350,19
670875,GZ-2000,65,45,1,,0
670888,BP-0750,65,45,1,,0
670899,GZ-2000,73,43,0,BE-0350,30
670901,BP-0750,61,48,0,BC-3070,13
670955,GZ-2000,65,45,1,,0
670976,JB-7100,65,45,1,,0
670992,JB-7100,65,45,1,,0
671000,KF-0250,70,37,0,DH-1800,33
671012,KF-0250,72,44,0,DH-1800,28
671024,JB-7100,68,45,0,MM-5750,23
671031,KF-0250,68,42,0,DH-1800,26
671053,KF-0250,65,45,1,,0
671067,JB-7100,31,28,0,MH-3300,3
671068,KF-0250,66,30,0,SV-0200,36
671074,JB-7100,65,45,1,,0
671086,KF-0250,68,22,0,SV-0200,46
671112,KF-0250,65,45,1,,0
671128,JB-7100,65,45,1,,0
671138,JB-7100,65,45,1,,0
671147,JB-7100,65,45,1,,0
671164,KF-0250,65,45,1,,0
671170,RG-1500,65,45,1,,0
671181,RG-1500,72,46,0,CP-0750,26
671196,BW-0350,65,45,1,,0
671216,BW-0350,70,43,0,MM-0900,27
671242,RG-1500,48,36,0,MS-1300,12
671244,BW-0350,73,48,0,MM-0900,25
671257,RG-1500,65,45,1,,0
671285,BW-0350,65,39,0,MM-0900,26
671301,RG-1500,66,49,0,CP-0750,17
671311,BW-0350,65,45,1,,0
671320,JT-3950,65,45,1,,0
671333,JT-3950,65,45,1,,0
671343,JL-0207,65,45,1,,0
671352,JT-3950,65,45,1,,0
671368,JL-0207,65,45,1,,0
671382,JT-3950,65,45,1,,0
671399,JL-0207,65,45,1,,0
671401,JL-0207,73,40,0,RM-5050,33
671410,JT-3950,65,45,1,,0
671433,JL-0207,65,45,1,,0
671444,JT-3950,65,45,1,,0
671468,JT-3950,65,45,1,,0
671478,JL-0207,65,45,1,,0
671489,MN-0800,65,45,1,,0
671505,CB-2275,65,45,1,,0
671517,MN-0800,70,55,0,DA-1450,15
671529,MN-0800,68,49,0,DA-1450,19
671572,CB-2275,59,34,0,BT-0300,25
671597,CB-2275,65,38,0,BT-0300,27
671644,MN-0800,65,45,1,,0
671650,MN-0800,65,45,1,,0
671662,RS-3400,71,42,0,KM-3250,29
671677,RS-3400,65,45,1,,0
671704,NN-0200,71,48,0,BS-0650,23
671711,NN-0200,69,56,0,BS-0650,13
671741,NN-0200,69,40,0,DM-1200,29
671760,RS-3400,65,45,1,,0
671768,NN-0200,69,37,0,DM-1200,32
671785,NN-0200,65,45,1,,0
671817,SJ-0300,71,50,0,ZS-0150,21
671831,NF-0300,65,43,0,TJ-2400,22
671845,SJ-0300,65,45,1,,0
671862,SJ-0300,65,45,1,,0
671873,SJ-0300,65,45,1,,0
671891,NF-0300,72,52,0,TJ-2400,20
671893,NF-0300,70,52,0,TJ-2400,18
671901,SJ-0300,65,45,1,,0
671912,NF-0300,70,29,0,TJ-2400,41
671918,SJ-0300,65,45,1,,0
671937,SJ-0300,53,36,0,JC-5900,17
671950,NF-0300,65,45,1,,0
671986,DB-0200,70,50,1,,0
671999,SH-0400,65,45,1,,0
672016,DB-0200,70,50,1,,0
672041,SH-0400,65,45,1,,0
672052,DB-0200,65,45,1,,0
672059,SH-0400,74,54,1,,0
672073,DB-0200,57,39,0,TL-1025,18
672095,DB-0200,65,45,1,,0
672127,SH-0400,65,45,1,,0
672135,MC-3000,65,45,1,,0
672161,BM-1650,70,47,0,MH-4000,23
672176,BM-1650,65,45,1,,0
672190,BM-1650,65,45,1,,0
672204,MC-3000,65,45,1,,0
672216,BM-1650,65,45,1,,0
672230,MC-3000,65,45,1,,0
672240,BM-1650,65,45,1,,0
672258,BM-1650,74,52,0,JA-0050,22
672260,TM-0800,56,43,0,ES-0200,13
672282,GG-0100,73,43,0,QB-0250,30
672289,GG-0100,65,45,1,,0
672307,GG-0100,60,37,0,ZT-0200,23
672336,PM-0300,65,49,0,FW-0750,16
672345,PM-0300,63,42,0,FW-0750,21
672365,PM-0300,65,45,1,,0
672398,GG-0100,65,45,1,,0
672413,GG-0100,69,51,0,QB-0250,18
672423,PM-0300,65,45,1,,0
672438,PM-0300,65,45,1,,0
672459,GG-0100,65,20,0,QB-0250,45
672466,PM-0300,65,45,1,,0
672476,GG-0100,70,36,0,QB-0250,34
672483,MN-0800,65,45,1,,0
672503,MN-0800,65,45,1,,0
672518,TC-2450,63,50,0,AJ-1200,13
672543,MN-0800,70,57,0,JG-1250,13
672555,TC-2450,65,45,1,,0
672557,TC-2450,65,45,1,,0
672579,MN-0800,65,45,1,,0
672593,MN-0800,65,45,1,,0
672607,MN-0800,70,41,0,MM-4500,29
672630,MC-3000,60,35,0,JW-1500,25
672640,GG-0100,70,40,0,MH-4000,30
672662,MC-3000,65,45,1,,0
672671,GG-0100,61,48,0,MH-4000,13
672681,GG-0100,65,45,1,,0
672692,GG-0100,65,45,1,,0
672708,GG-0100,65,45,1,,0
672715,GG-0100,65,45,1,,0
672720,MC-3000,65,45,1,,0
672745,GG-0100,65,45,1,,0
672776,GG-0100,72,44,0,MH-4000,28
672784,MC-3000,48,40,0,TG-0900,8
672799,MC-3000,65,45,1,,0
672815,DH-3970,67,49,0,DA-0900,18
672830,SG-0800,10,10,0,,0
672844,SG-0800,70,52,0,CT-1220,18
672874,SG-0800,65,45,1,,0
672891,DH-3970,65,45,1,,0
672893,SG-0800,64,60,0,AR-1100,4
672909,SG-0800,70,44,0,AR-1100,26
672940,SG-0800,65,45,1,,0
672975,DH-3970,63,63,0,,0
672977,TM-3300,65,45,1,,0
672991,TM-3300,67,51,0,DM-1200,16
673000,RS-3400,65,45,1,,0
673010,TM-3300,65,40,0,DM-1200,25
673017,RS-3400,68,44,0,MM-5750,24
673031,KF-0250,65,42,0,DM-1200,23
673038,RS-3400,70,35,0,MM-5750,35
673062,RS-3400,68,45,0,MM-5750,23
673078,RS-3400,65,45,1,,0
673107,KF-0250,69,37,0,DM-1200,32
673117,RS-3400,65,45,1,,0
673146,KF-0250,65,45,1,,0
673156,AF-1150,65,45,1,,0
673166,MD-0125,60,60,0,DM-3100,0
673174,JG-0850,61,47,0,JL-0215,14
673202,AF-1150,54,37,0,DM-3100,17
673212,JG-0850,70,13,0,DW-3125,57
673224,JG-0850,69,52,0,DW-3125,17
673237,JG-0850,65,45,1,,0
673248,AF-1150,51,36,0,AD-1300,15
673267,JG-0850,65,45,1,,0
673288,JG-0850,58,58,0,DW-3125,0
673301,AF-1150,11,11,0,,0
673309,BW-0350,65,45,1,,0
673323,BW-0350,65,45,1,,0
673340,BW-0350,65,45,1,,0
673350,GZ-2000,58,44,0,CP-0750,14
673364,GZ-2000,65,45,1,,0
673382,GZ-2000,63,44,0,CP-0750,19
673396,GZ-2000,60,18,0,CP-0750,42
673411,BW-0350,65,45,1,,0
673479,GZ-2000,68,47,0,MS-1300,21
673481,BW-0350,65,45,1,,0
673493,JM-7000,55,38,0,JC-5900,17
673508,JM-7000,70,16,0,AC-2400,54
673518,RQ-0050,68,38,0,NM-0250,30
673531,RQ-0050,69,46,0,NM-0250,23
673577,JM-7000,67,47,0,AC-2400,20
673579,RQ-0050,67,34,0,NM-0250,33
673601,JM-7000,62,38,0,AC-2400,24
673611,RQ-0050,65,45,1,,0
673629,JM-7000,65,45,1,,0
673651,RQ-0050,68,37,0,NM-0250,31
673656,JM-7000,15,15,0,,0
673664,SJ-0300,60,44,0,JJ-3900,16
673676,SJ-0300,70,47,0,JJ-3900,23
673695,CB-2275,63,40,0,TJ-2400,23
673712,CB-2275,65,45,1,,0
673732,SJ-0300,67,43,0,JJ-3900,24
673743,CB-2275,69,43,0,TJ-2400,26
673754,CB-2275,65,45,1,,0
673756,CB-2275,65,38,0,TJ-2400,27
673776,SJ-0300,73,53,0,JJ-3900,20
673807,CB-2275,55,50,0,TJ-2400,5
673811,CB-2275,58,25,0,,0
673817,SJ-0300,65,45,1,,0
673851,SJ-0300,65,45,1,,0
673860,CB-2275,50,43,0,MT-0550,7
673861,CB-0700,65,45,1,,0
673867,CB-0700,65,45,1,,0
673878,JB-7100,65,45,1,,0
673884,CB-0700,65,45,1,,0
673901,JB-7100,65,45,1,,0
673915,JB-7100,69,23,0,BR-0050,46
673943,CB-0700,65,45,1,,0
673945,JB-7100,69,43,0,BR-0050,26
673955,JB-7100,70,48,0,BR-0050,22
673967,CB-0700,71,45,0,DH-1800,26
674000,CB-0700,69,41,0,DH-1800,28
674007,JB-7100,65,45,1,,0
674027,JB-7100,68,53,0,BR-0050,15
674030,MB-3000,65,45,1,,0
674045,MB-3000,65,31,0,BE-0350,34
674069,PD-0200,61,38,0,EW-0500,23
674087,MB-3000,63,32,0,BE-0350,31
674098,PD-0200,64,38,0,EW-0500,26
674111,PD-0200,59,43,0,EW-0500,16
674116,MB-3000,63,48,0,PT-0400,15
674118,PD-0200,65,15,0,EW-0500,50
674184,MB-3000,65,45,1,,0
674192,PM-0300,65,45,1,,0
674214,PM-0300,72,44,0,OB-0150,28
674235,PM-0300,65,45,1,,0
674249,PM-0300,65,45,1,,0
674277,BM-1650,65,45,1,,0
674289,BM-1650,54,31,0,QB-0250,23
674304,BM-1650,65,45,1,,0
674318,PM-0300,65,45,1,,0
674330,BM-1650,45,35,0,JD-2550,10
674338,PM-0300,73,32,0,OB-0150,41
674356,DB-0200,74,54,1,,0
674377,DB-0200,74,54,1,,0
674417,CS-4250,50,30,1,,0
674442,CS-4250,73,53,1,,0
674459,CS-4250,71,51,1,,0
674472,DB-0200,72,52,1,,0
674484,CS-4250,68,-11,0,LW-1150,79
674489,DB-0200,74,54,1,,0
674500,CS-4250,73,53,1,,0
674511,DB-0200,70,50,1,,0
674518,CS-4250,73,53,1,,0
674532,DB-0200,72,52,1,,0
674534,DB-0200,74,54,1,,0
674546,JL-0207,68,38,0,MM-0900,30
674566,JL-0207,65,45,1,,0
674596,JL-0207,65,45,1,,0
674605,RG-1500,67,43,0,JH-3450,24
674633,JL-0207,50,34,0,KC-0250,16
674634,RG-1500,65,45,1,,0
674673,RG-1500,65,45,1,,0
674689,JL-0207,65,45,1,,0
674701,RG-1500,65,45,1,,0
