pid,kicker,kgro,knet,ktb,kr,kry
654945,BP-0750,71,50,0,CP-0750,21
654957,BW-0350,65,45,1,,0
654970,BP-0750,65,45,1,,0
654979,BP-0750,65,45,1,,0
654992,CS-0250,65,45,1,,0
655039,CS-0250,65,45,1,,0
655047,CS-0250,71,50,0,AC-0100,21
655059,BM-1650,65,45,1,,0
655067,BM-1650,65,45,1,,0
655070,BM-1650,65,45,1,,0
655081,CS-0250,65,45,1,,0
655101,BM-1650,70,49,0,KD-0450,21
655141,CS-0250,50,30,1,,0
655154,BM-1650,65,45,1,,0
655157,BM-1650,65,45,1,,0
655160,RB-4650,65,45,1,,0
655190,RB-4650,65,45,1,,0
655223,GG-0100,65,45,1,,0
655240,GG-0100,73,46,0,CW-4050,27
655267,GG-0100,65,45,1,,0
655282,RB-4650,65,45,1,,0
655301,GG-0100,65,45,1,,0
655326,GG-0100,65,45,1,,0
655335,RB-4650,69,36,0,FW-0750,33
655358,BP-0750,65,45,1,,0
655389,JS-1100,73,52,0,DW-2350,21
655410,BP-0750,65,45,1,,0
655420,JS-1100,58,47,0,TJ-1050,11
655427,JS-1100,65,45,1,,0
655438,JS-1100,65,45,1,,0
655447,JS-1100,73,47,0,DW-2350,26
655491,BP-0750,65,45,1,,0
655499,JS-1100,65,45,1,,0
655503,BP-0750,65,45,1,,0
655510,JS-1100,65,45,1,,0
655530,KB-1850,65,45,1,,0
655562,KB-1850,65,45,1,,0
655599,TM-3300,65,28,0,BR-0050,37
655610,KB-1850,65,45,1,,0
655612,TM-3300,65,45,1,,0
655619,KB-1850,70,47,0,MM-5750,23
655635,KB-1850,65,45,1,,0
655645,KB-1850,65,45,1,,0
655661,TM-3300,65,45,1,,0
655673,TM-3300,65,45,1,,0
655690,KB-1850,65,45,1,,0
655702,SM-0650,73,40,0,CP-0750,33
655715,BW-0350,65,45,1,,0
655743,BW-0350,65,45,1,,0
655759,SM-0650,65,45,1,,0
655770,BW-0350,70,38,0,AA-0025,32
655781,SM-0650,72,43,0,CP-0750,29
655783,BW-0350,65,45,1,,0
655800,BW-0350,70,44,0,AA-0025,26
655842,BW-0350,73,47,0,AA-0025,26
655864,SM-0650,13,13,0,,0
655869,RG-1500,73,-35,0,DJ-1325,108
655871,CC-1150,69,38,0,MM-0900,31
655895,RG-1500,39,30,0,KW-1250,9
655904,CC-1150,65,45,1,,0
655918,RG-1500,65,45,1,,0
655931,CC-1150,60,40,1,,0
655935,CC-1150,71,40,0,MM-0900,31
655949,RG-1500,65,45,1,,0
655956,CC-1150,73,45,0,MM-0900,28
655963,CC-1150,50,30,1,,0
655979,CC-1150,65,45,1,,0
655987,RG-1500,65,45,1,,0
656023,CC-1150,65,45,1,,0
656034,SG-0800,65,45,1,,0
656046,JG-0850,65,45,1,,0
656062,SG-0800,70,43,0,PH-0400,27
656071,SG-0800,50,30,1,,0
656081,SG-0800,65,45,1,,0
656106,JG-0850,50,30,1,,0
656118,SG-0800,65,45,1,,0
656130,JG-0850,65,45,1,,0
656146,SG-0800,63,43,0,PH-0400,20
656167,SG-0800,65,45,1,,0
656178,SG-0800,65,45,1,,0
656190,JG-0850,65,45,1,,0
656208,JG-0850,8,8,0,,0
656214,JG-0850,65,45,1,,0
656223,SG-0800,65,45,1,,0
656227,JL-0207,70,41,0,AJ-1200,29
656235,MN-0800,70,44,0,BO-0150,26
656245,JL-0207,65,45,1,,0
656275,JL-0207,65,49,0,AJ-1200,16
656284,MN-0800,65,45,1,,0
656299,MN-0800,64,43,0,BO-0150,21
656309,JL-0207,65,45,1,,0
656330,MN-0800,69,45,0,BO-0150,24
656354,MN-0800,65,45,1,,0
656370,JL-0207,69,40,0,BT-0300,29
656381,TC-2450,65,45,1,,0
656390,TC-2450,65,45,1,,0
656405,TC-2450,65,45,1,,0
656458,TC-2450,65,45,1,,0
656461,RS-3400,65,45,1,,0
656490,RS-3400,71,40,0,SD-0800,31
656513,RS-3400,65,45,1,,0
656522,TC-2450,65,45,1,,0
656536,JB-7100,70,49,0,EW-0500,21
656576,MB-3000,71,30,0,DH-1800,41
656588,JB-7100,65,45,1,,0
656601,MB-3000,65,45,1,,0
656607,JB-7100,60,40,1,,0
656630,JB-7100,48,38,0,TW-0650,10
656631,MB-3000,70,34,0,DH-1800,36
656642,JB-7100,65,45,1,,0
656668,MB-3000,65,45,1,,0
656700,MB-3000,65,45,1,,0
656708,DH-3970,65,45,1,,0
656728,DH-3970,73,45,0,BC-3070,28
656742,DH-3970,65,45,1,,0
656772,DH-3970,65,45,1,,0
656785,GZ-2000,65,45,1,,0
656798,GZ-2000,65,45,1,,0
