uid,pid,ptm,pen,desc,cat,pey,act
58773,655961,CHI,PM-0500,Roughing the Passer,6,15,A
58774,655965,CHI,WM-0800,False Start,1,5,A
58775,655974,CHI,,12 On-field,3,5,A
58776,655982,CHI,VD-0300,Offensive Holding,2,10,A
58777,655991,ARI,MG-0925,False Start,1,5,A
58778,655993,CHI,VD-0300,False Start,1,5,A
58779,655994,CHI,JB-8200,Offensive Holding,2,10,A
58780,655999,CHI,AB-0200,Illegal Contact,5,5,A
58781,656001,ARI,LF-0200,Offensive Offside,8,5,A
58782,656007,ARI,CP-0500,Delay of Game,3,5,A
58783,656027,CHI,JB-8200,False Start,1,5,A
58784,656050,BUF,RJ-0875,Illegal Block Above the Waist,7,10,A
58785,656057,NE,RG-2200,False Start,1,5,A
58786,656062,BUF,ME-0100,Offensive Holding,2,10,A
58787,656066,BUF,CS-0850,Delay of Game,3,0,A
58788,656067,BUF,CG-1700,Unnecessary Roughness,6,0,D
58789,656067,BUF,DW-3950,Unnecessary Roughness,6,14,A
58790,656070,BUF,AW-1200,Taunting,6,15,A
58791,656085,NE,RJ-1850,Running Into the Kicker,6,5,A
58792,656089,BUF,AW-1200,Unnecessary Roughness,6,15,A
58793,656092,BUF,JM-4550,Illegal Use of Hands,2,0,D
58794,656101,BUF,MM-5700,Illegal Formation,3,5,A
58795,656103,NE,BF-0600,Defensive Pass Interference,5,39,A
58796,656105,NE,MB-5250,Taunting,6,15,A
58797,656107,NE,RG-2200,Illegal Shift,3,0,D
58798,656109,BUF,RD-0050,Defensive Holding,5,5,A
58799,656110,NE,JK-1650,Offensive Holding,2,10,A
58800,656128,NE,,12 On-field,3,5,A
58801,656132,NE,DA-1425,Offensive Holding,2,10,A
58802,656134,NE,DA-1425,False Start,1,5,A
58803,656141,NE,JK-1650,False Start,1,5,A
58804,656147,BUF,SW-0450,Offensive Pass Interference,2,10,A
58805,656148,BUF,,Unsportsmanlike Conduct,6,9,A
58806,656151,BUF,CG-1250,Offensive Holding,2,10,A
58807,656157,BUF,RD-0050,Defensive Holding,5,5,A
58808,656171,NE,PC-0300,Offensive Holding,2,10,A
58809,656195,NE,AD-1450,Offensive Pass Interference,2,10,A
58810,656200,BUF,SH-0650,Illegal Use of Hands,2,10,A
58811,656204,NE,DH-2950,Illegal Contact,5,0,D
58812,656208,BUF,CH-3350,Offside on Free Kick,3,0,D
58813,656208,BUF,,Illegal Block Above the Waist,7,0,D
58814,656217,BUF,NB-0500,Defensive Pass Interference,5,22,A
58815,656240,CIN,MJ-1800,Defensive Offside,4,0,D
58816,656246,CIN,RH-1875,Offensive Holding,2,10,A
58817,656258,CIN,GB-0350,Illegal Block Above the Waist,7,10,A
58818,656270,SD,CH-0200,Offensive Holding,2,0,D
58819,656272,SD,CH-0200,False Start,1,5,A
58820,656279,CIN,AW-1100,Offensive Holding,2,10,A
58821,656281,SD,JV-0425,Face Mask,6,15,A
58822,656285,CIN,RM-1600,Neutral Zone,4,5,A
58823,656293,SD,JB-1400,Illegal Formation,3,0,D
58824,656305,CIN,DK-0750,Defensive Holding,5,0,D
58825,656316,SD,CH-0200,Offensive Holding,2,0,D
58826,656322,SD,MI-0150,Illegal Contact,5,5,A
