uid,pid,ptm,pen,desc,cat,pey,act
59118,658677,NE,RG-2200,Offensive Pass Interference,2,10,A
59119,658678,JAC,PT-0450,Defensive Pass Interference,5,52,A
59120,658679,JAC,JS-0230,Defensive Pass Interference,5,24,A
59121,658695,JAC,PT-0450,Horse Collar,7,15,A
59122,658729,NE,DA-1425,False Start,1,5,A
59123,658752,CAR,WH-0850,Tripping,7,10,A
59124,658781,CAR,AK-0650,Defensive Holding,5,5,A
59125,658790,CAR,GO-0100,Offensive Holding,2,10,A
59126,658797,CAR,RB-3100,Offensive Pass Interference,2,10,A
59127,658803,NO,ZS-0200,False Start,1,5,A
59128,658804,NO,TL-0750,Offensive Holding,2,10,A
59129,658807,NO,,False Start,1,5,A
59130,658826,CAR,TW-2250,Unsportsmanlike Conduct,6,15,A
59131,658830,CAR,TT-1850,Tripping,7,8,A
59132,658830,CAR,TT-1850,Offensive Holding,2,0,D
59133,658832,NO,BB-3400,Illegal Contact,5,5,A
59134,658835,NO,,12 On-field,3,5,A
59135,658842,NO,ZS-0200,False Start,1,5,A
59136,658847,CAR,KE-0050,Illegal Use of Hands,5,5,A
59137,658862,CAR,KS-0850,Roughing the Passer,6,15,A
59138,658870,NO,SA-1150,Unnecessary Roughness,6,15,A
59139,658897,NO,BW-0700,Illegal Shift,3,5,A
59140,658898,CAR,MA-0300,Defensive Offside,4,5,A
59141,658908,CAR,BN-0700,Delay of Game,3,5,A
59142,658914,NYJ,QE-0100,False Start,1,5,A
59143,658919,NYJ,AC-2400,Defensive Holding,5,5,A
59144,658937,PHI,SB-1100,Delay of Game,3,2,A
59145,658941,PHI,AB-0500,Offensive Holding,2,0,D
59146,658986,NYJ,DD-0250,Unnecessary Roughness,6,15,A
59147,659007,NYJ,BS-2300,Defensive Pass Interference,5,18,A
59148,659010,PHI,LJ-0850,Illegal Formation,3,0,D
59149,659025,PHI,CB-0800,Neutral Zone,4,4,A
59150,659030,NYJ,BG-0500,Illegal Formation,3,0,D
59151,659049,PHI,BM-0600,Defensive Holding,5,5,A
59152,659053,NYJ,DF-0600,False Start,1,5,A
59153,659066,PHI,JK-0500,Offensive Holding,2,0,D
59154,659076,PHI,BM-0600,Defensive Holding,5,0,D
59155,659092,PHI,,Illegal Substitution,3,5,A
59156,659093,PHI,ZE-0100,False Start,1,5,A
59157,659094,NYJ,QC-0350,Illegal Use of Hands,5,5,A
59158,659105,TB,LM-0200,False Start,1,5,A
59159,659108,TB,ME-0600,Offensive Pass Interference,2,10,A
59160,659110,TB,JW-5650,Delay of Game,3,5,A
59161,659137,TB,JS-4037,Defensive Holding,5,5,A
59162,659151,TB,TJ-1000,Defensive Holding,5,0,D
59163,659157,HOU,BB-3230,Offensive Holding,2,10,A
59164,659163,HOU,AD-1100,Unnecessary Roughness,6,15,A
59165,659166,TB,JH-2900,Offensive Holding,2,10,A
59166,659174,TB,MJ-0900,Defensive Holding,5,0,D
59167,659194,TB,CC-4000,Face Mask,6,15,A
59168,659202,HOU,JS-3250,Roughing the Passer,6,15,A
59169,659207,HOU,CC-1900,False Start,1,3,A
59170,659219,HOU,DN-0700,False Start,1,5,A
59171,659233,TB,WG-0550,Defensive Offside,4,0,D
59172,659247,TB,CC-4000,Face Mask,6,15,A
59173,659250,TB,SM-3000,Defensive Holding,5,0,D
59174,659257,HOU,KJ-0650,Offensive Holding,2,10,A
59175,659259,TB,,Neutral Zone,4,5,A
59176,659265,TB,AV-0300,Defensive Pass Interference,5,9,A
59177,659266,TB,,Defensive Offside,4,5,A
59178,659288,SD,ND-0600,Offensive Holding,2,5,A
59179,659294,SD,JV-0425,Defensive Holding,5,0,D
59180,659295,SD,CL-1000,Neutral Zone,4,5,A
59181,659307,SD,SW-1720,Defensive Pass Interference,5,34,A
59182,659350,SD,DI-0075,Offensive Holding,2,10,A
59183,659377,MIN,MA-1150,Illegal Block Above the Waist,7,10,A
59184,659389,MIN,BF-1500,Ineligible Downfield Pass,3,0,D
59185,659391,SD,MI-0150,Defensive Holding,5,5,A
59186,659401,SD,JB-1400,False Start,1,5,A
59187,659404,MIN,EG-0900,Roughing the Passer,6,14,A
59188,659407,MIN,,Unsportsmanlike Conduct,6,15,A
59189,659414,SD,DF-1250,Offensive Holding,2,10,A
59190,659417,SD,DF-1250,Ineligible Downfield Pass,3,0,D
59191,659473,STL,LJ-1800,Defensive Pass Interference,5,7,A
59192,659485,PIT,KB-0750,Illegal Use of Hands,2,10,A
59193,659498,PIT,KB-0750,Offensive Holding,2,9,A
59194,659516,STL,MB-0650,Defensive Holding,5,5,A
59195,659528,STL,GR-0450,Offensive Holding,2,10,A
59196,659536,STL,LJ-1800,Offensive Holding,2,10,A
59197,659547,PIT,AB-1950,Defensive Pass Interference,5,34,A
59198,659550,STL,JC-4300,False Start,1,5,A
59199,659552,STL,GR-0450,False Start,1,5,A
59200,659555,STL,DB-0975,Offside on Free Kick,3,5,A
59201,659558,PIT,CW-0400,Offensive Holding,2,10,A
59202,659583,SF,MM-0925,Offensive Holding,2,0,D
59203,659597,SF,JS-5700,False Start,1,5,A
59204,659600,ARI,JV-0300,Offensive Holding,2,9,A
59205,659603,ARI,JV-0300,False Start,1,5,A
59206,659610,SF,KA-0150,Illegal Use of Hands,5,4,A
59207,659612,SF,AB-1500,Face Mask,6,1,A
59208,659613,ARI,JV-0300,False Start,1,5,A
59209,659622,SF,NB-0400,Illegal Contact,5,5,A
59210,659624,SF,TJ-1050,Defensive Offside,4,0,D
59211,659633,ARI,BG-0750,Offside on Free Kick,3,5,A
59212,659638,SF,QP-0050,Unsportsmanlike Conduct,6,15,A
59213,659646,SF,JD-1750,Offensive Holding,2,0,D
59214,659691,SF,NB-0400,Unsportsmanlike Conduct,6,15,A
59215,659694,ARI,MF-0950,Offensive Pass Interference,2,0,D
59216,659744,BUF,KW-1600,Defensive Offside,4,5,A
59217,659747,MIA,DT-0550,Offensive Holding,2,10,A
59218,659752,MIA,EM-1200,Defensive Offside,4,6,A
59219,659756,MIA,CW-0100,Defensive Offside,4,0,D
59220,659768,BUF,RW-4050,Unnecessary Roughness,6,14,A
59221,659771,BUF,GS-0200,Offensive Holding,2,10,A
59222,659771,BUF,,Illegal Formation,3,0,D
59223,659783,BUF,NB-0500,Defensive Offside,4,5,A
59224,659794,BUF,CG-1250,Offensive Holding,2,0,D
59225,659846,MIA,WA-0050,Running Into the Kicker,6,5,A
59226,659849,MIA,DS-1760,Illegal Use of Hands,5,5,A
59227,659861,BUF,,Defensive Holding,5,6,A
59228,659863,BUF,NR-0350,Defensive Holding,5,0,D
59229,659877,MIA,JD-2512,False Start,1,5,A
59230,659890,MIA,JS-7050,False Start,1,5,A
59231,659903,CHI,JC-3100,Delay of Game,3,5,A
59232,659918,CHI,KL-1350,False Start,1,5,A
59233,659948,SEA,JB-5750,Offensive Holding,2,6,A
59234,659952,CHI,,Offensive Holding,2,10,A
59235,659961,SEA,RO-0400,False Start,1,5,A
59236,659986,CHI,VD-0300,Offensive Holding,2,10,A
59237,659987,CHI,JC-3100,Delay of Game,3,5,A
59238,659991,SEA,,Illegal Block Above the Waist,7,10,A
59239,660000,SEA,RL-1100,Unnecessary Roughness,6,15,A
59240,660028,SEA,JB-5750,False Start,1,5,A
59241,660041,CHI,LH-1900,Neutral Zone,4,5,A
59242,660048,DEN,VM-0300,Defensive Offside,4,5,A
59243,660059,DET,CL-1750,False Start,1,5,A
59244,660066,DET,JI-0200,Unnecessary Roughness,6,15,A
59245,660073,DEN,CH-1500,Defensive Pass Interference,5,23,A
59246,660101,DET,EA-0550,Unnecessary Roughness,6,15,A
59247,660105,DEN,VM-0300,Roughing the Passer,6,15,A
59248,660112,DEN,AT-0100,Defensive Pass Interference,5,1,A
59249,660122,DEN,DT-0900,Unsportsmanlike Conduct,6,15,A
59250,660128,DET,TL-0850,Defensive Holding,5,5,A
59251,660132,DEN,SW-1750,Unnecessary Roughness,6,15,A
59252,660135,DET,LT-0650,Offensive Holding,2,10,A
59253,660142,DEN,TS-0150,Offensive Holding,2,10,A
59254,660151,DET,EE-0050,Offensive Pass Interference,2,10,A
59255,660160,DET,EE-0050,Illegal Formation,3,0,D
59256,660168,DEN,MP-0250,False Start,1,5,A
59257,660179,DET,DS-2250,Illegal Formation,3,5,A
59258,660185,DET,LW-0050,False Start,1,5,A
59259,660206,DET,LW-0050,False Start,1,5,A
59260,660207,DEN,DB-5100,Illegal Contact,5,5,A
59261,660235,KC,MC-2570,Defensive Holding,5,5,A
59262,660238,KC,JH-5550,12 On-field,3,5,A
59263,660239,KC,EB-0800,Illegal Contact,5,5,A
59264,660254,GB,DB-0350,Offensive Holding,2,10,A
59265,660260,GB,JE-0350,Illegal Contact,5,5,A
59266,660261,GB,CH-2250,Unsportsmanlike Conduct,6,9,A
59267,660271,KC,MC-2570,Illegal Contact,5,5,A
59268,660273,GB,TM-3150,Offensive Pass Interference,2,10,A
59269,660285,GB,TM-3150,Illegal Use of Hands,2,10,A
59270,660290,KC,JH-5550,12 On-field,3,5,A
59271,660290,KC,RP-0200,Defensive Holding,5,0,D
59272,660291,KC,TH-0200,Defensive Offside,4,0,D
59273,660307,GB,QR-0100,Face Mask,6,15,A
59274,660316,GB,DB-0750,Face Mask,6,0,D
59275,660317,KC,TB-2400,Offensive Holding,2,7,A
59276,660318,GB,BR-0100,Encroachment,4,5,A
59277,660320,KC,DS-4050,Unnecessary Roughness,6,6,A
59278,660321,KC,BG-2200,Offensive Holding,2,0,D
59279,660332,KC,LD-1000,Offensive Holding,2,0,D
59280,660342,KC,DF-1350,Defensive Offside,4,0,D
59281,660350,GB,DR-0450,Defensive Holding,5,5,A
59282,660354,GB,HC-0050,Unnecessary Roughness,6,5,A
59283,660359,GB,JJ-0775,Illegal Shift,3,5,A
59284,660375,GB,JP-2000,Defensive Offside,4,5,A
59285,660389,GB,AR-1300,Delay of Game,3,5,A
59286,660395,PIT,DD-0750,False Start,1,5,A
59287,660422,BAL,MW-2450,Illegal Shift,3,5,A
59288,660452,BAL,LW-0700,Illegal Use of Hands,5,5,A
59289,660460,BAL,KJ-1400,Unnecessary Roughness,6,15,A
59290,660465,BAL,AL-0650,Defensive Offside,4,0,D
59291,660467,BAL,NB-0450,False Start,1,5,A
59292,660472,PIT,DD-0750,False Start,1,5,A
59293,660489,PIT,RG-1250,Player Out of Bounds on Punt,3,5,A
59294,660504,PIT,AB-1950,Defensive Holding,5,5,A
59295,660575,MIA,RM-1500,False Start,1,5,A
59296,660582,MIA,NH-1225,Offensive Holding,2,10,A
59297,660586,MIA,BM-0775,False Start,1,5,A
59298,660602,NYJ,MW-2250,Illegal Block Above the Waist,7,10,A
59299,660606,NYJ,RF-0500,Delay of Game,3,5,A
59300,660613,MIA,ZB-0200,Defensive Holding,5,5,A
59301,660617,NYJ,NM-0200,Offensive Holding,2,10,A
59302,660622,MIA,SP-0800,Offensive Holding,2,10,A
59303,660625,NYJ,DR-1100,Defensive Pass Interference,5,36,A
59304,660626,NYJ,MG-0600,Defensive Pass Interference,5,22,A
59305,660635,NYJ,BM-0300,False Start,1,5,A
59306,660642,MIA,NS-0800,Neutral Zone,4,5,A
59307,660657,NYJ,LM-0550,Unnecessary Roughness,6,0,D
59308,660657,NYJ,DM-1550,Illegal Block Above the Waist,7,10,A
59309,660677,NYJ,BW-2670,False Start,1,5,A
59310,660680,MIA,DS-1760,Roughing the Passer,6,15,A
59311,660685,NYJ,AC-2400,Defensive Pass Interference,5,28,A
59312,660692,NYJ,RF-0500,Delay of Game,3,5,A
59313,660702,NYJ,BW-2670,Offensive Holding,2,10,A
59314,660714,NYJ,BG-0500,Offensive Holding,2,10,A
59315,660717,NYJ,MG-0600,Defensive Holding,5,5,A
59316,660725,NYJ,BS-2300,Defensive Holding,5,2,A
59317,660726,MIA,DP-0350,Offensive Pass Interference,2,10,A
59318,660730,MIA,JL-0215,Unsportsmanlike Conduct,6,15,A
59319,660736,MIA,SP-0800,Running Into the Kicker,6,0,D
59320,660759,IND,,Illegal Formation,3,0,D
59321,660767,IND,JR-1600,Ineligible Downfield Pass,3,5,A
59322,660767,IND,JH-2250,Illegal Formation,3,0,D
59323,660787,JAC,LJ-0750,False Start,1,5,A
59324,660791,IND,JM-4150,Offensive Holding,2,0,D
59325,660803,JAC,JS-0230,Defensive Pass Interference,5,4,A
59326,660806,JAC,CC-2600,Roughing the Passer,6,15,A
59327,660808,JAC,AC-2250,Face Mask,6,15,A
59328,660811,JAC,DH-4000,Defensive Pass Interference,5,6,A
59329,660812,JAC,JS-0230,12 On-field,3,2,A
59330,660835,JAC,JP-0900,False Start,1,5,A
59331,660840,JAC,JP-0900,Offensive Holding,2,10,A
59332,660846,JAC,DH-4000,Defensive Holding,5,0,D
59333,660853,JAC,AB-2730,Neutral Zone,4,5,A
59334,660854,IND,MH-1600,Delay of Game,3,5,A
59335,660863,JAC,NM-0250,Player Out of Bounds on Punt,3,5,A
59336,660872,IND,PM-0300,Delay of Game,3,5,A
59337,660877,JAC,,Illegal Formation,3,5,A
59338,660885,JAC,TS-2050,Unnecessary Roughness,6,10,A
59339,660887,IND,JR-1600,Illegal Formation,3,0,D
59340,660896,JAC,BA-0850,Delay of Game,3,5,A
59341,660904,IND,VD-0200,Defensive Pass Interference,5,30,A
59342,660953,BUF,SG-0650,Defensive Pass Interference,5,8,A
59343,660968,NYG,LD-0650,False Start,1,2,A
59344,660979,NYG,SV-0200,Offensive Pass Interference,2,10,A
59345,660980,NYG,EM-0200,Delay of Game,3,5,A
59346,660984,BUF,CH-3350,Offensive Holding,2,5,A
59347,660988,NYG,GS-0400,False Start,1,5,A
59348,660993,BUF,CK-0950,False Start,1,5,A
59349,660999,BUF,JH-5900,Unnecessary Roughness,6,15,A
59350,661003,BUF,KW-1600,Illegal Formation,3,5,A
59351,661005,BUF,RD-0050,Defensive Holding,5,5,A
59352,661013,BUF,DW-3950,Player Out of Bounds on Punt,3,5,A
59353,661023,BUF,CC-2100,Offensive Pass Interference,2,6,A
59354,661036,BUF,CK-0950,False Start,1,5,A
59355,661048,BUF,TT-0500,Illegal Forward Pass,3,2,A
59356,661050,NYG,GS-0400,Ineligible Downfield Pass,3,5,A
59357,661051,NYG,EM-0200,Delay of Game,3,5,A
59358,661062,NYG,JH-5450,Defensive Pass Interference,5,28,A
59359,661063,BUF,MG-1250,False Start,1,5,A
59360,661064,BUF,KU-0200,Offensive Holding,2,10,A
59361,661068,NYG,,12 On-field,3,5,A
59362,661075,NYG,EF-0075,False Start,1,5,A
59363,661104,BUF,PB-0750,Unnecessary Roughness,6,15,A
59364,661105,BUF,JH-5900,Unsportsmanlike Conduct,6,12,A
59365,661106,NYG,MN-0400,Offensive Holding,2,10,A
59366,661109,BUF,PB-0750,Unsportsmanlike Conduct,6,7,A
59367,661119,BUF,RI-0100,Offensive Holding,2,10,A
59368,661122,BUF,RI-0100,Chop Block,7,15,A
59369,661127,NYG,DM-2950,Defensive Offside,4,5,A
59370,661146,TB,GC-0400,Illegal Formation,3,0,O
59371,661146,CAR,CT-1500,Defensive Holding,5,0,O
59372,661156,TB,JS-4037,Illegal Use of Hands,5,5,A
59373,661166,TB,JW-5650,Intentional Grounding,3,13,A
59374,661174,CAR,ST-0550,Unnecessary Roughness,6,15,A
59375,661202,CAR,MR-0645,False Start,1,5,A
59376,661205,CAR,MO-0200,Illegal Formation,3,0,D
59377,661212,CAR,AK-0650,Defensive Holding,5,5,A
59378,661243,TB,LM-1800,Illegal Shift,3,5,A
59379,661279,TB,WG-0550,Face Mask,6,13,A
59380,661285,TB,JW-5650,Intentional Grounding,3,12,A
59381,661293,CAR,ST-0550,Illegal Contact,5,5,A
59382,661302,WAS,RG-1650,Illegal Formation,3,5,A
59383,661304,WAS,MM-5450,Clipping,7,11,A
59384,661309,PHI,FC-0400,Neutral Zone,4,5,A
59385,661340,WAS,JR-1150,Illegal Touch Pass,3,0,D
59386,661344,WAS,DG-1300,Illegal Contact,5,5,A
59387,661348,PHI,JH-5750,Illegal Shift,3,5,A
59388,661357,PHI,ER-0475,Defensive Pass Interference,5,17,A
59389,661367,WAS,MM-5450,Offensive Holding,2,0,D
59390,661372,PHI,NA-0050,Illegal Formation,3,5,A
59391,661385,PHI,JK-0500,Offensive Holding,2,10,A
59392,661392,WAS,QD-0400,Unnecessary Roughness,6,15,A
59393,661394,WAS,TR-0620,Unnecessary Roughness,6,14,A
59394,661403,WAS,PG-0100,Face Mask,6,15,A
59395,661412,PHI,JM-1550,Offensive Pass Interference,2,0,D
59396,661414,WAS,TW-2800,Ineligible Downfield Pass,3,5,A
59397,661421,WAS,TR-0620,Unnecessary Roughness,6,15,A
59398,661429,PHI,ER-0475,Unnecessary Roughness,6,15,A
59399,661434,WAS,RJ-0550,Roughing the Passer,6,15,A
59400,661437,PHI,BC-0700,Offensive Holding,2,10,A
59401,661449,WAS,BB-2725,Illegal Use of Hands,5,10,A
59402,661455,PHI,NC-0100,Defensive Holding,5,5,A
59403,661461,WAS,BS-0950,Offensive Holding,2,0,O
59404,661461,PHI,NC-0100,Defensive Holding,5,0,O
59405,661494,CHI,KL-0550,Offensive Holding,2,0,D
59406,661496,OAK,DH-2150,Offensive Holding,2,7,A
59407,661503,CHI,,Offensive Holding,2,10,A
59408,661519,CHI,KL-0550,Offensive Holding,2,8,A
59409,661521,CHI,CL-0862,Offensive Holding,2,5,A
59410,661534,OAK,NT-0150,Face Mask,6,9,A
59411,661542,CHI,ZM-0250,Offensive Holding,2,10,A
59412,661561,CHI,TP-2000,Illegal Use of Hands,5,5,A
59413,661568,CHI,VD-0300,False Start,1,5,A
59414,661577,CHI,VD-0300,Offensive Holding,2,0,D
59415,661592,OAK,NT-0150,Defensive Pass Interference,5,22,A
59416,661595,CHI,ER-0500,Delay of Game,3,5,A
59417,661612,OAK,,Unsportsmanlike Conduct,6,9,A
59418,661637,OAK,RH-1600,Illegal Forward Pass,3,0,A
59419,661664,HOU,JC-3350,Illegal Use of Hands,5,5,A
59420,661665,ATL,AL-0700,Offensive Holding,2,10,A
59421,661668,HOU,KJ-0650,Illegal Contact,5,6,A
59422,661669,ATL,RW-2200,Offensive Pass Interference,2,10,A
59423,661676,ATL,JM-1450,False Start,1,5,A
59424,661677,HOU,EP-0550,Illegal Use of Hands,5,5,A
59425,661688,ATL,NS-0750,Illegal Formation,3,5,A
59426,661696,HOU,GG-0400,False Start,1,5,A
59427,661722,ATL,VB-0075,Defensive Offside,4,5,A
59428,661732,ATL,RH-0150,Face Mask,6,15,A
59429,661751,ATL,LT-0550,Offensive Holding,2,10,A
59430,661754,ATL,LT-0550,False Start,1,5,A
59431,661755,HOU,EP-0550,Defensive Holding,5,0,D
59432,661756,HOU,EP-0550,Unnecessary Roughness,6,14,A
59433,661785,ATL,PA-0100,Defensive Pass Interference,5,0,D
59434,661796,ATL,JH-2050,Offensive Holding,2,10,A
59435,661796,ATL,,Illegal Formation,3,0,D
59436,661805,ATL,BH-0650,False Start,1,5,A
59437,661856,CIN,MJ-1800,Neutral Zone,4,5,A
59438,661862,CIN,AS-2000,Illegal Shift,3,5,A
59439,661864,CIN,RB-2275,Unnecessary Roughness,6,9,A
59440,661870,CIN,DP-0900,Unnecessary Roughness,6,15,A
59441,661887,KC,JM-0200,Offensive Pass Interference,2,10,A
59442,661890,KC,AS-1600,Delay of Game,3,5,A
59443,661894,KC,DA-0350,Offensive Holding,2,10,A
59444,661901,CIN,JS-2050,Illegal Block Above the Waist,7,10,A
59445,661902,CIN,KZ-0050,Offensive Holding,2,10,A
59446,661903,CIN,KZ-0050,Offensive Holding,2,0,D
59447,661909,CIN,MJ-2250,False Start,1,5,A
59448,661914,CIN,DK-0750,Defensive Holding,5,5,A
59449,661923,CIN,AS-2000,False Start,1,5,A
59450,661926,CIN,AW-1100,Offensive Holding,2,10,A
59451,661932,KC,AS-1600,Intentional Grounding,3,10,A
59452,661945,KC,DS-4050,False Start,1,5,A
59453,661968,KC,EF-0050,Illegal Formation,3,5,A
59454,661979,CIN,KH-2600,Delay of Game,3,5,A
59455,661993,CLE,MJ-1175,Offensive Holding,2,10,A
59456,662002,SD,CL-1000,Defensive Offside,4,0,D
59457,662005,CLE,JT-1600,False Start,1,5,A
59458,662009,SD,BF-0800,Defensive Pass Interference,5,6,A
59459,662015,CLE,TW-2700,Defensive Holding,5,5,A
59460,662045,CLE,AM-0100,Offensive Holding,2,10,A
59461,662046,CLE,DJ-1850,Offensive Pass Interference,2,10,A
59462,662062,CLE,PD-0450,Defensive Holding,5,5,A
59463,662065,CLE,JH-5950,Neutral Zone,4,5,A
59464,662075,SD,MI-0150,Neutral Zone,4,5,A
59465,662078,SD,SW-1720,Illegal Use of Hands,5,5,A
59466,662088,SD,KA-0650,False Start,1,5,A
59467,662089,CLE,JB-0450,Defensive Pass Interference,5,16,A
59468,662089,CLE,JB-0450,Face Mask,6,0,D
59469,662091,SD,CH-0200,False Start,1,5,A
59470,662098,CLE,JB-3550,False Start,1,5,A
59471,662116,SD,PR-0300,Delay of Game,3,5,A
59472,662118,CLE,JP-4150,Unnecessary Roughness,6,15,A
59473,662136,CLE,,12 On-field,3,0,A
59474,662160,CLE,TW-2700,Defensive Offside,4,5,A
59475,662165,SF,MW-1750,Illegal Contact,5,5,A
59476,662181,SF,CK-0100,False Start,1,5,A
59477,662188,GB,TL-0300,False Start,1,5,A
59478,662190,GB,,Illegal Formation,3,5,A
59479,662205,GB,LG-0950,Illegal Block Above the Waist,7,0,D
59480,662205,GB,SR-0650,Offensive Holding,2,10,A
59481,662210,SF,EP-0300,Offensive Holding,2,10,A
59482,662213,SF,VM-0250,Offensive Holding,2,10,A
59483,662224,GB,RR-1050,Offensive Holding,2,10,A
59484,662247,GB,DB-0350,Offensive Holding,2,10,A
59485,662253,GB,JS-3500,Offensive Holding,2,10,A
59486,662282,GB,JS-3500,Offensive Holding,2,10,A
59487,662308,GB,AR-1300,Delay of Game,3,5,A
59488,662323,ARI,BM-0360,False Start,1,5,A
59489,662334,STL,JJ-1550,Defensive Pass Interference,5,29,A
59490,662339,STL,CD-0950,Offensive Holding,2,7,A
59491,662342,ARI,AO-0370,Defensive Offside,4,5,A
59492,662392,ARI,JV-0300,Offensive Holding,2,10,A
59493,662401,STL,TA-1050,Illegal Shift,3,5,A
59494,662417,STL,,Illegal Use of Hands,5,5,A
59495,662418,STL,TJ-2250,Defensive Pass Interference,5,0,O
59496,662418,ARI,JC-4550,Offensive Holding,2,0,O
59497,662426,STL,CH-1230,Offensive Holding,2,10,A
59498,662427,STL,GR-0450,False Start,1,5,A
59499,662442,STL,NF-0250,Delay of Game,3,5,A
59500,662483,MIN,SF-0150,Neutral Zone,4,5,A
59501,662503,DEN,CL-0275,Offensive Holding,2,7,A
59502,662505,DEN,DT-0900,False Start,1,3,A
59503,662518,MIN,ZL-0200,Illegal Block Above the Waist,7,5,A
59504,662525,MIN,EG-0900,Neutral Zone,4,5,A
59505,662528,DEN,RH-1000,Illegal Formation,3,5,A
59506,662536,DEN,AT-0100,Defensive Holding,5,5,A
59507,662553,DEN,,12 On-field,3,5,A
59508,662554,DEN,DW-1100,Defensive Offside,4,0,D
59509,662562,MIN,XR-0100,Defensive Pass Interference,5,14,A
59510,662564,MIN,XR-0100,Horse Collar,7,4,A
59511,662568,MIN,CG-2400,Defensive Holding,5,0,D
59512,662575,DEN,MS-0525,Illegal Formation,3,5,A
59513,662586,MIN,EG-0900,Neutral Zone,4,5,A
59514,662594,DEN,TW-0600,Defensive Offside,4,5,A
59515,662601,MIN,MK-0150,False Start,1,5,A
59516,662611,DEN,DW-1100,Defensive Offside,4,5,A
59517,662612,MIN,MW-0500,Face Mask,6,15,A
59518,662623,MIN,XR-0100,Defensive Pass Interference,5,5,A
59519,662664,NO,BB-3400,Defensive Holding,5,5,A
59520,662669,NO,KL-0600,Illegal Use of Hands,5,5,A
59521,662673,NO,DS-5137,Face Mask,6,10,A
59522,662674,NO,DB-3750,Defensive Pass Interference,5,9,A
59523,662680,DAL,BC-0500,Defensive Holding,5,5,A
59524,662691,NO,BB-3400,Defensive Holding,5,5,A
59525,662708,NO,MU-0400,Offensive Holding,2,10,A
59526,662718,DAL,,12 On-field,3,5,A
59527,662723,NO,DB-3750,Illegal Use of Hands,5,5,A
59528,662731,DAL,MC-1350,Defensive Holding,5,5,A
59529,662733,DAL,JW-3050,Illegal Contact,5,5,A
59530,662752,DAL,DS-4750,Illegal Touch Pass,3,5,A
59531,662754,DAL,CW-1850,Player Out of Bounds on Punt,3,5,A
59532,662760,DAL,MC-1350,Illegal Use of Hands,5,0,D
59533,662765,NO,KR-1050,Unsportsmanlike Conduct,6,15,A
59534,662835,DET,HN-0300,Defensive Offside,4,5,A
59535,662864,SEA,DN-1450,False Start,1,5,A
59536,662877,SEA,DN-1450,False Start,1,5,A
59537,662891,DET,TS-3650,Offensive Holding,2,10,A
59538,662898,SEA,JB-5750,Offensive Holding,2,10,A
59539,662908,DET,,Illegal Use of Hands,2,7,A
59540,662916,SEA,BI-0150,Illegal Use of Hands,5,5,A
59541,662918,DET,RR-0250,Unnecessary Roughness,6,15,A
59542,662920,DET,TR-0370,Illegal Block Above the Waist,7,0,D
59543,662927,SEA,RS-1000,Encroachment,4,5,A
59544,662971,HOU,DH-3950,Illegal Shift,3,0,D
59545,662976,HOU,KJ-0650,Player Out of Bounds on Punt,3,5,A
59546,662979,HOU,AB-2250,Face Mask,6,15,A
59547,662997,IND,FG-0200,Chop Block,7,15,A
59548,663000,HOU,JW-1100,Roughing the Passer,6,15,A
59549,663003,IND,,Unsportsmanlike Conduct,6,15,A
59550,663003,IND,JR-1600,Offensive Holding,2,0,D
59551,663008,IND,SM-2950,Roughing the Passer,6,15,A
59552,663016,HOU,OA-0050,Chop Block,7,15,A
59553,663026,HOU,JR-3230,Offensive Holding,2,4,A
59554,663029,IND,RM-1400,Defensive Holding,5,5,A
59555,663034,HOU,DB-4900,False Start,1,5,A
59556,663035,IND,RM-1400,Defensive Offside,4,5,A
59557,663049,HOU,DH-3950,Offensive Pass Interference,2,10,A
59558,663069,HOU,JJ-5000,Defensive Holding,5,5,A
59559,663076,HOU,JC-3350,Face Mask,6,15,A
59560,663077,IND,AC-1200,False Start,1,5,A
59561,663081,HOU,EP-0550,Defensive Holding,5,5,A
59562,663083,HOU,KJ-0100,Defensive Pass Interference,5,6,A
59563,663093,HOU,OA-0050,Offensive Holding,2,10,A
59564,663102,IND,HT-0600,Ineligible Downfield Pass,3,5,A
59565,663106,HOU,DH-3950,Unsportsmanlike Conduct,6,15,A
59566,663130,CHI,JL-0280,Offensive Holding,2,10,A
59567,663131,CHI,ZM-0250,False Start,1,4,A
59568,663140,CHI,CL-0862,False Start,1,5,A
59569,663142,CHI,MB-1800,Offensive Holding,2,10,A
59570,663164,CHI,SM-2300,Defensive Holding,5,5,A
59571,663173,KC,HA-0200,Illegal Block Above the Waist,7,10,A
59572,663218,KC,SS-1700,Defensive Pass Interference,5,0,D
59573,663222,CHI,CL-0862,Illegal Use of Hands,2,0,D
59574,663229,KC,EF-0050,Offensive Holding,2,0,D
59575,663259,KC,JH-5550,Roughing the Passer,6,15,A
59576,663275,KC,MP-0950,Defensive Pass Interference,5,24,A
59577,663278,CHI,,Illegal Shift,3,0,D
59578,663279,CHI,LR-0350,Face Mask,6,15,A
59579,663303,CIN,TK-0850,Offensive Holding,2,5,A
59580,663305,CIN,AW-1100,Offensive Holding,2,10,A
59581,663319,CIN,CB-2000,False Start,1,5,A
59582,663326,SEA,JB-5750,False Start,1,1,A
59583,663332,SEA,RW-3850,Delay of Game,3,5,A
59584,663338,SEA,KC-0900,Defensive Holding,5,5,A
59585,663341,SEA,MB-1900,Neutral Zone,4,5,A
59586,663348,SEA,MB-1900,Unnecessary Roughness,6,15,A
