gid,seas,wk,day,v,h,stad,temp,humd,wspd,wdir,cond,surf,ou,sprv,ptsv,ptsh
3990,2015,1,THU,PIT,NE,Gillette Stadium,65,93,9,NNE,Cloudy,FieldTurf,51,7,21,28
3991,2015,1,SUN,GB,CHI,Soldier Field,68,39,11,WNW,Mostly Sunny,Grass,49,-6.5,31,23
3992,2015,1,SUN,KC,HOU,NRG Stadium,,,,,Closed Roof,Grass,41,1,27,20
3993,2015,1,SUN,CLE,NYJ,MetLife Stadium,77,49,8,SW,Cloudy,FieldTurf,39.5,3.5,10,31
3994,2015,1,SUN,IND,BUF,Ralph Wilson Stadium,56,78,15,W,Cloudy,A Turf Titan,45,-2.5,14,27
3995,2015,1,SUN,MIA,WAS,FedEx Field,69,58,10,NW,Partly Cloudy,Grass,43,-3.5,17,10
3996,2015,1,SUN,CAR,JAC,EverBank Field,77,55,7,N,Chance Rain,Grass,41,-3,20,9
3997,2015,1,SUN,SEA,STL,Edward Jones Dome,,,,,Dome,AstroTurf,40.5,-4,31,34
3998,2015,1,SUN,NO,ARI,University of Phoenix Stadium,,,,,Closed Roof,Grass,48.5,2.5,19,31
3999,2015,1,SUN,DET,SD,Qualcomm Stadium,84,47,10,WSW,Sunny,Grass,46,3,28,34
4000,2015,1,SUN,TEN,TB,Raymond James Stadium,84,66,8,NNE,Cloudy,Grass,41,3,42,14
4001,2015,1,SUN,CIN,OAK,O.co Coliseum,73,59,9,WNW,Cloudy,Grass,43,-3,33,13
4002,2015,1,SUN,BAL,DEN,Sports Authority Field at Mile High,88,8,13,NW,Partly Sunny,Grass,48,4.5,13,19
4003,2015,1,SN,NYG,DAL,AT&T Stadium,,,,,Closed Roof,AstroTurf,51.5,6,26,27
4004,2015,1,MN,PHI,ATL,Georgia Dome,,,,,Dome,AstroTurf,55,-3,24,26
4005,2015,1,MN,MIN,SF,Levi's Stadium,70,63,5,S,Partly Cloudy,Grass,41.5,-2.5,3,20
4006,2015,2,THU,DEN,KC,Arrowhead Stadium,87,59,13,S,Cloudy,Grass,42,3,31,24
4007,2015,2,SUN,HOU,CAR,Bank of America Stadium,88,43,6,NE,Sunny,Grass,39.5,3,17,24
4008,2015,2,SUN,SF,PIT,Heinz Field,66,60,10,NNE,Partly Cloudy,Grass,45.5,6.5,18,43
4009,2015,2,SUN,TB,NO,Mercedes-Benz Superdome,,,,,Dome,UBU Speed Series S5M,47.5,10,26,19
4010,2015,2,SUN,DET,MIN,TCF Bank Stadium,67,,,,Partly Cloudy,FieldTurf,43.5,2,16,26
4011,2015,2,SUN,ARI,CHI,Soldier Field,70,47,6,S,Mostly Sunny,Grass,46,-2,48,23
4012,2015,2,SUN,NE,BUF,Ralph Wilson Stadium,62,57,7,N,Sunny,A Turf Titan,44,-1,40,32
4013,2015,2,SUN,SD,CIN,Paul Brown Stadium,69,47,6,NE,Partly Cloudy,UBU Sports Speed S5M,47,3,19,24
4014,2015,2,SUN,TEN,CLE,FirstEnergy Stadium,64,59,12,NE,Sunny,Grass,41.5,-2,14,28
4015,2015,2,SUN,ATL,NYG,MetLife Stadium,73,47,9,N,Mostly Cloudy,UBU Speed Series S5M,51,2.5,24,20
4016,2015,2,SUN,STL,WAS,FedEx Field,72,56,9,N,Cloudy,Grass,41,-3,10,24
4017,2015,2,SUN,MIA,JAC,EverBank Field,87,55,5,E,Partly Cloudy,Grass,41.5,-5.5,20,23
4018,2015,2,SUN,BAL,OAK,O.co Coliseum,80,32,8,WNW,Sunny,Grass,42.5,-6.5,33,37
4019,2015,2,SUN,DAL,PHI,Lincoln Financial Field,77,37,15,NNE,Partly Cloudy,Grass,55,5,20,10
4020,2015,2,SN,SEA,GB,Lambeau Field,62,52,9,SE,Clear,DD GrassMaster,49,3.5,17,27
4021,2015,2,MN,NYJ,IND,Lucas Oil Stadium,,,,,Closed Roof,AstroTurf,46.5,7,20,7
4022,2015,3,THU,WAS,NYG,MetLife Stadium,71,60,4,SSW,Clear,UBU Speed Series S5M,45,3,21,32
4023,2015,3,SUN,ATL,DAL,AT&T Stadium,,,,,Closed Roof,AstroTurf,44,-1,39,28
4024,2015,3,SUN,IND,TEN,LP Field,74,77,3,ENE,Cloudy,Grass,46,-3,35,33
4025,2015,3,SUN,OAK,CLE,FirstEnergy Stadium,75,62,16,SSE,Cloudy,Grass,42.5,3.5,27,20
4026,2015,3,SUN,CIN,BAL,M&T Bank Stadium,70,20,12,ENE,Cloudy,MomentumTurf,44.5,2.5,28,24
4027,2015,3,SUN,JAC,NE,Gillette Stadium,68,41,6,E,Clear,FieldTurf,48,13.5,17,51
4028,2015,3,SUN,NO,CAR,Bank of America Stadium,69,90,9,NNE,Rain,Grass,42.5,8,22,27
4029,2015,3,SUN,PHI,NYJ,MetLife Stadium,66,52,7,E,Clear,FieldTurf,46,2,24,17
4030,2015,3,SUN,TB,HOU,NRG Stadium,,,,,Closed Roof,Grass,40.5,6.5,9,19
4031,2015,3,SUN,SD,MIN,TCF Bank Stadium,75,,12,S,Sunny,FieldTurf,44.5,2.5,14,31
4032,2015,3,SUN,PIT,STL,Edward Jones Dome,,,,,Dome,AstroTurf,48,-1,12,6
4033,2015,3,SUN,SF,ARI,University of Phoenix Stadium,,,,,Closed Roof,Grass,44.5,6.5,7,47
4034,2015,3,SUN,BUF,MIA,Sun Life Stadium,87,65,6,SE,Cloudy,Grass,41.5,3,41,14
4035,2015,3,SUN,CHI,SEA,CenturyLink Field,60,53,5,NE,Sunny,FieldTurf,43.5,14.5,0,26
4036,2015,3,SN,DEN,DET,Ford Field,,,,,Dome,FieldTurf,44.5,-3,24,12
4037,2015,3,MN,KC,GB,Lambeau Field,67,93,5,N,Light Rain,DD GrassMaster,49,6.5,28,38
4038,2015,4,THU,BAL,PIT,Heinz Field,63,62,8,ENE,Cloudy,Grass,44,-3,23,20
4039,2015,4,SUN,NYJ,MIA,Sun Life Stadium,59,63,5,SSE,Sunny,Grass,42,-1.5,27,14
4040,2015,4,SUN,JAC,IND,Lucas Oil Stadium,,,,,Closed Roof,AstroTurf,48,9,13,16
4041,2015,4,SUN,NYG,BUF,Ralph Wilson Stadium,60,66,8,E,Mostly Cloudy,A Turf Titan,46,5,24,10
4042,2015,4,SUN,CAR,TB,Raymond James Stadium,74,92,5,NE,Cloudy,Grass,39.5,-3,37,24
4043,2015,4,SUN,PHI,WAS,FedEx Field,58,82,13,NE,Cloudy,Grass,43.5,-3,20,23
4044,2015,4,SUN,OAK,CHI,Soldier Field,55,83,12,NE,Cloudy,Grass,44.5,-3,20,22
4045,2015,4,SUN,HOU,ATL,Georgia Dome,,,,,Dome,AstroTurf,46.5,6.5,21,48
4046,2015,4,SUN,KC,CIN,Paul Brown Stadium,68,64,5,E,Sunny,UBU Speed Series S5M,45,4,21,36
4047,2015,4,SUN,CLE,SD,Qualcomm Stadium,68,78,11,WNW,Cloudy,Grass,44.5,7,27,30
4048,2015,4,SUN,GB,SF,Levi's Stadium,74,36,5,SE,Sunny,Grass,48,-8,17,6
4049,2015,4,SUN,STL,ARI,University of Phoenix Stadium,,,,,Closed Roof,Grass,42.5,7,24,22
4050,2015,4,SUN,MIN,DEN,Sports Authority Field at Mile High,60,57,9,NE,Cloudy,Grass,43,7,20,23
4051,2015,4,SN,DAL,NO,Mercedes-Benz Superdome,,,,,Dome,UBU Speed Series S5M,47,3,20,26
4052,2015,4,MN,DET,SEA,CenturyLink Field,74,41,8,N,Sunny,FieldTurf,43,10,10,13
4053,2015,5,THU,IND,HOU,NRG Stadium,,,,,Closed Roof,Grass,46,-3,27,20
4054,2015,5,SUN,CHI,KC,Arrowhead Stadium,72,51,10,SSW,Sunny,Grass,45,9,18,17
4055,2015,5,SUN,SEA,CIN,Paul Brown Stadium,66,59,3,SW,Sunny,UBU Speed Series S5M,43,3,24,27
4056,2015,5,SUN,WAS,ATL,Georgia Dome,,,,,Dome,AstroTurf,48,7,19,25
4057,2015,5,SUN,JAC,TB,Raymond James Stadium,84,55,9,NW,Clear,Grass,42,3,31,38
4058,2015,5,SUN,NO,PHI,Lincoln Financial Field,67,54,6,SW,Clear,Grass,49,5,17,40
4059,2015,5,SUN,CLE,BAL,M&T Bank Stadium,65,48,2,SSW,Mostly Sunny,MomentumTurf,43,6.5,33,30
4060,2015,5,SUN,STL,GB,Lambeau Field,67,61,15,SW,Clear,DD GrassMaster,45.5,9,10,24
4061,2015,5,SUN,BUF,TEN,LP Field,67,58,5,NNE,Sunny,Grass,42,-1,14,13
4062,2015,5,SUN,ARI,DET,Ford Field,,,,,Dome,FieldTurf,44.5,-3,42,17
4063,2015,5,SUN,NE,DAL,AT&T Stadium,,,,,Closed Roof,AstroTurf,49.5,-8.5,30,6
