uid,pid,qb,sk,value,ydsl
20388,672625,JM-0850,CD-2200,1,-11
20389,672643,AR-1300,SL-0950,1,-8
20390,672701,AR-1300,KS-0850,1,-9
20391,672713,AR-1300,TD-0700,1,-8
20392,672727,AR-1300,KC-1800,1,-7
20393,672767,AR-1300,KE-0050,1,-6
20394,672860,KC-2350,CJ-2050,1,-4
20395,673025,DB-3800,BO-0400,1,-4
20396,673085,DB-3800,WW-0900,1,-11
20397,673122,DB-3800,AB-1925,1,-9
20398,673137,DB-3800,BO-0400,1,-8
20399,673189,TT-0500,RJ-2000,1,-12
20400,673249,TT-0500,JP-2850,1,-6
20401,673259,RT-0150,JH-5900,1,-16
20402,673284,TT-0500,NS-0800,1,-9
20403,673299,RT-0150,JH-5900,1,-11
20404,673400,NF-0250,LJ-1700,0.5,-8
20405,673400,NF-0250,AS-0600,0.5,-8
20406,673468,SH-1100,MA-0450,1,-11
20407,673506,BB-2425,LM-0550,0.5,-5
20408,673506,BB-2425,MW-2250,0.5,-5
20409,673539,BB-2425,SR-0670,0.5,-7
20410,673539,BB-2425,LM-0550,0.5,-7
20411,673548,RF-0500,JO-0300,1,-8
20412,673586,BB-2425,LW-1350,0.5,-5
20413,673586,BB-2425,DB-0250,0.5,-5
20414,673588,BB-2425,LM-0550,1,-4
20415,673594,RF-0500,CC-2600,1,-3
20416,673641,BB-2425,CP-0100,1,-14
20417,673822,BR-1100,AS-1500,1,-11
20418,674053,MR-2500,AL-1200,1,-9
20419,674164,MR-2500,NB-0400,1,-9
20420,674266,AL-1100,DW-1100,1,-7
20421,674323,PM-0200,KL-0200,1,-7
20422,674429,MC-0700,BG-1200,1,67
20423,674448,MC-0700,MK-0730,1,-6
20424,674460,MC-0700,BG-1200,1,-8
20425,674476,SB-1100,GH-0300,1,-8
20426,674479,MC-0700,CB-0800,1,-1
20427,674576,JC-6200,MI-0150,1,-8
20428,674706,PR-0300,LH-1900,1,-8
20429,674708,PR-0300,LH-1900,1,-10
