pid,qba,wo,bf,li,brec,incd,hur,mbt,yac
659014,,3,1,1,4,NA,0,0,0
659015,,3,1,1,0,NA,0,0,1
659016,,3,1,1,1,DEF,0,0,0
659017,PA,4,1,0,0,OT,0,0,0
659018,PA,4,1,0,1,DEF,0,0,0
659020,,4,1,0,2,NA,0,0,7
659021,,4,1,0,0,OT,1,0,0
659022,,4,1,0,1,DEF,1,0,0
659024,DP,4,1,0,4,NA,0,0,0
659026,PA,3,1,1,1,DEF,0,0,0
659027,,4,1,0,5,NA,0,0,0
659028,PA,4,1,0,0,NA,0,0,0
659029,,3,1,1,0,NA,0,0,5
659030,,5,0,0,0,DEF,0,0,0
659031,,3,1,1,1,NA,0,0,0
659032,,3,1,1,1,NA,0,0,0
659033,,3,1,1,0,DRP,1,0,0
659035,,4,1,0,0,NA,0,0,0
659036,,4,1,0,0,DEF,0,0,0
659037,,5,0,0,0,NA,0,0,1
659039,,3,1,1,1,NA,0,1,0
659040,,5,0,0,0,NA,0,0,1
659041,,3,1,1,4,NA,0,0,0
659043,,4,1,0,0,NA,0,0,0
659044,PA,3,1,1,2,OT,0,0,0
659045,,3,1,1,4,NA,0,0,0
659046,,4,1,0,0,NA,0,0,0
659047,,5,0,0,0,DRP,0,0,0
659048,SC,4,1,0,0,NA,0,0,0
659050,,4,1,0,4,NA,0,1,0
659051,,4,1,0,0,NA,0,0,4
659052,SC,1,1,3,1,NA,0,0,0
659054,PA,3,1,1,1,DC,0,0,0
659055,,4,1,0,1,NA,0,0,4
659056,,4,1,0,0,NA,0,0,3
659057,,3,1,1,0,NA,0,0,0
659058,RO,4,1,0,4,NA,0,0,0
659059,,4,1,0,0,DRP,0,0,0
659060,,3,1,1,1,NA,0,0,0
659063,,3,1,1,2,NA,0,1,0
659064,,3,1,1,3,NA,0,0,0
659065,,3,1,1,4,NA,0,0,0
659066,,3,1,1,4,NA,0,0,0
659067,,4,1,0,0,NA,0,0,11
659068,,5,0,0,0,DC,0,0,0
659069,,4,1,0,1,DEF,0,0,0
659070,,3,1,1,1,NA,0,0,0
659071,,3,1,1,1,NA,0,0,0
659072,,4,1,0,0,OT,1,0,0
659074,,4,1,0,1,NA,0,0,1
659075,,4,1,0,0,UT,0,0,0
659076,,4,1,0,1,NA,0,0,0
659077,,4,1,0,0,NA,0,1,12
659078,,4,1,0,0,DEF,0,0,0
659079,,5,0,0,0,DRP,0,0,0
659080,,2,1,2,3,NA,0,0,0
659081,,2,1,2,3,NA,0,0,0
659082,,3,1,1,1,NA,0,0,0
659084,,4,1,0,0,NA,0,1,11
659085,,4,1,0,0,DC,0,0,0
659086,,4,1,0,0,DC,0,0,0
659087,,4,1,0,0,NA,0,0,6
659090,,2,1,2,3,NA,0,0,0
659091,,2,1,2,3,NA,0,0,0
659094,,1,1,3,3,NA,0,0,0
659095,,0,1,4,5,NA,0,0,0
659096,,0,1,4,5,NA,0,0,0
659098,,2,2,1,4,NA,0,0,0
659099,,3,1,1,4,NA,0,0,0
659100,,4,1,0,0,NA,0,0,0
659101,,3,1,1,4,NA,0,0,0
659102,,3,1,1,4,NA,0,0,0
659103,,4,1,0,0,OT,0,0,0
659106,,2,2,1,4,NA,0,0,0
659107,,4,1,0,0,NA,1,0,2
659109,,3,1,1,2,NA,0,0,0
659111,,2,1,2,4,NA,0,0,0
659112,,4,1,0,0,UT,0,0,0
659114,,4,1,0,0,NA,0,0,4
659115,,3,1,1,4,NA,0,0,0
659116,,5,0,0,0,NA,0,0,6
659117,PA,3,1,1,2,NA,0,0,6
659118,DP,4,1,0,4,NA,0,1,0
659119,,3,1,1,4,NA,0,1,0
659120,,3,1,1,4,NA,0,0,0
659121,,3,1,1,0,NA,0,0,2
659122,,3,1,1,0,OT,0,0,0
659123,,3,1,1,2,NA,0,0,0
659126,,2,1,2,0,NA,0,0,1
659127,,2,1,2,4,NA,0,0,0
659128,,2,2,1,4,NA,0,0,0
659129,,4,1,0,1,DEF,0,0,0
659131,,4,1,0,0,DRP,0,0,0
659132,,4,1,0,1,NA,0,0,6
659133,,4,1,0,0,NA,0,0,3
659134,,4,1,0,4,NA,0,1,0
659135,PA SC,4,1,0,0,NA,0,0,0
659136,,3,1,1,4,NA,0,0,0
659138,DP,4,1,0,4,NA,0,0,0
659139,,5,0,0,0,NA,0,0,0
659140,,3,1,1,0,DEF,0,0,0
659142,PA,2,1,2,2,NA,0,0,1
659143,,2,2,1,2,NA,1,0,2
659144,,2,2,1,4,NA,0,0,0
659145,,3,2,0,2,DEF,0,0,0
659146,,4,1,0,1,NA,1,0,1
659149,,3,1,1,4,NA,0,0,0
659150,PA,3,1,1,3,NA,0,0,3
659151,,4,1,0,0,NA,0,0,0
659152,,3,1,1,4,NA,0,0,0
659153,,2,1,2,4,NA,0,0,0
659154,PA,3,1,1,1,NA,0,0,1
659155,,3,1,1,4,NA,0,0,0
659156,,3,2,0,4,NA,0,0,0
659158,,4,1,0,3,DC,0,0,0
659160,PA,1,1,3,1,DC,0,0,0
659161,,2,1,2,4,NA,0,0,0
659162,PA,3,1,1,4,DRP,1,0,0
659164,,2,2,1,2,DEF,0,0,0
659165,PI,2,1,2,4,NA,0,0,0
659167,,5,0,0,1,NA,0,2,31
659170,,3,1,1,4,NA,0,0,0
659171,,3,1,1,2,NA,0,0,2
659172,,3,1,1,4,NA,0,0,0
659173,,3,1,1,4,NA,0,0,0
659174,PA,2,1,2,1,NA,0,0,0
659175,,2,1,2,4,NA,0,0,0
659176,,3,1,1,2,DEF,0,0,0
659177,,3,1,1,1,OT,0,0,0
659179,,3,1,1,3,NA,0,0,0
659180,,3,1,1,1,NA,0,0,2
659181,,3,2,0,2,NA,0,0,0
659182,,4,1,0,0,DEF,0,0,0
659183,,4,1,0,1,DEF,0,0,0
659184,,3,2,0,2,DRP,1,0,0
659186,,4,1,0,0,OT,0,0,0
659187,DP,3,1,1,4,NA,0,0,0
659188,,3,1,1,4,NA,0,0,0
659190,,3,1,1,0,NA,0,0,2
659191,,3,1,1,3,NA,0,0,0
659192,,4,1,0,1,DRP,0,0,0
659193,,3,2,0,2,DEF,0,0,0
659194,,3,1,1,4,NA,0,0,0
659195,,3,1,1,4,NA,0,0,0
659196,PA,3,1,1,1,DEF,0,0,0
659197,,4,1,0,0,NA,0,0,8
659200,PA,2,2,1,1,OT,0,0,0
659201,,2,1,2,3,NA,0,0,0
659203,,1,1,3,3,NA,0,1,0
659204,DP,2,1,2,4,NA,0,0,0
659205,,4,1,0,0,DEF,0,0,0
659208,,5,0,0,0,DEF,0,0,0
659209,,3,1,1,2,OT,0,0,0
659210,,3,1,1,4,NA,0,0,0
659212,,3,1,1,3,NA,0,1,0
659213,,3,1,1,4,NA,0,0,0
659214,,3,1,1,4,NA,0,2,0
659215,,3,1,1,2,DC,0,0,0
659217,,2,2,1,4,NA,0,0,0
659218,PA,2,2,1,1,NA,0,0,1
659220,,5,0,0,0,NA,0,0,0
659221,,2,2,1,4,NA,0,0,0
659222,PA,4,1,0,2,NA,0,0,2
659224,PA,2,1,2,3,TA,1,0,0
659225,,4,1,0,1,NA,0,0,0
659226,,3,1,1,2,DC,0,0,0
659228,,2,1,2,4,NA,0,0,0
659229,,2,1,2,0,DEF,0,0,0
659230,,4,1,0,0,NA,0,0,7
659231,,3,1,1,4,NA,0,0,0
659232,,3,1,1,4,NA,0,0,0
659233,,3,1,1,1,NA,0,0,0
659234,,3,1,1,4,NA,0,0,0
659235,,5,0,0,0,BR,0,0,0
659236,,4,1,0,0,NA,0,0,1
659238,,1,1,3,4,NA,0,0,0
659239,,1,1,3,4,NA,0,0,0
659240,PA,2,2,1,3,NA,1,0,3
659241,,4,1,0,0,NA,1,0,0
659242,,3,1,1,2,NA,0,0,0
659243,,2,1,2,4,NA,0,1,0
659244,,4,1,0,1,DC,0,0,0
659245,,4,1,0,1,DC,0,0,0
659247,PA,2,1,2,2,NA,0,0,6
659248,,2,1,2,4,NA,0,0,0
659249,,2,1,2,4,NA,0,0,0
659250,,4,1,0,1,NA,0,0,2
659251,,3,1,1,4,NA,0,1,0
659254,,5,0,0,0,DEF,0,0,0
659255,DP,3,1,1,4,NA,0,0,0
659256,,3,2,0,2,OT,0,0,0
659258,,2,2,1,4,NA,0,0,0
659260,,2,2,1,4,NA,0,0,0
659261,,4,1,0,1,NA,0,0,4
659262,,3,1,1,4,NA,0,0,0
659263,,4,1,0,4,NA,0,0,0
659264,,2,1,2,0,DEF,0,0,0
659267,,1,2,2,4,NA,0,0,0
659268,,1,2,2,4,NA,0,0,0
659269,,1,2,2,4,NA,0,0,0
659270,,1,2,2,4,NA,0,0,0
659271,,1,2,2,4,NA,0,0,0
659272,,1,2,2,4,NA,0,0,0
659273,,0,2,3,4,NA,0,0,0
659276,,4,1,0,1,NA,0,0,3
659277,,4,1,0,0,NA,0,0,2
659278,,4,1,0,0,NA,1,1,12
659279,,3,0,2,1,NA,0,0,1
659281,,0,1,4,5,NA,0,0,0
659283,,2,1,2,2,NA,0,0,0
659284,,3,1,1,1,NA,0,0,2
659285,,3,1,1,3,NA,0,0,0
659286,,3,1,1,4,NA,0,0,0
659287,,3,1,1,0,OT,1,0,0
659289,,1,2,2,2,NA,0,0,0
659290,,1,2,2,2,NA,0,0,0
659291,,4,1,0,1,NA,0,0,2
659293,,1,1,3,4,NA,0,0,0
659294,PA,2,2,1,1,NA,0,0,2
659296,,2,2,1,4,NA,0,1,0
659297,PA,3,1,1,0,DRP,1,0,0
659298,PA,4,1,0,0,DEF,1,0,0
659299,,3,1,1,0,NA,0,0,0
659300,,5,0,0,0,NA,0,0,17
659301,,2,1,2,3,NA,0,0,0
659302,,3,2,0,1,NA,0,0,0
659303,,3,1,1,1,NA,0,0,0
659305,,1,1,3,4,NA,0,0,0
659306,PA,1,2,2,1,DEF,0,0,0
659308,,2,2,1,4,NA,0,0,0
659309,PI,1,2,2,4,NA,0,0,0
659310,,3,1,1,0,NA,0,0,7
659312,,4,1,0,0,DRP,0,0,0
659313,PA,3,1,1,1,DEF,0,0,0
659314,,4,1,0,2,NA,0,0,0
659315,,2,2,1,4,NA,0,1,0
659316,,1,1,3,4,NA,0,0,0
659317,PA,3,1,1,1,TA,1,0,0
659320,,3,1,1,1,NA,0,1,0
659321,,4,1,0,0,NA,0,2,16
659322,,3,1,1,1,NA,0,0,0
659323,,4,1,0,1,UT,1,0,0
659324,,4,1,0,1,OT,1,0,0
659326,,2,2,1,4,NA,0,0,0
659327,,2,2,1,4,NA,0,0,0
659328,,2,1,2,4,NA,0,0,0
659329,,3,1,1,1,NA,0,0,0
659330,,3,1,1,1,NA,0,0,0
659331,DP,3,1,1,3,NA,0,1,0
659332,,3,1,1,1,NA,0,0,1
659333,,3,2,0,1,NA,1,0,9
659334,BL,3,1,1,1,NA,1,1,13
659335,,1,1,3,4,NA,0,1,0
659336,,0,2,3,4,NA,0,0,0
659339,,5,0,0,0,NA,0,0,2
659340,,5,0,0,0,NA,0,0,0
659341,,1,2,2,2,NA,0,0,0
659342,,4,1,0,1,NA,1,0,2
659343,,3,1,1,2,NA,0,0,0
659344,,5,0,0,1,NA,0,1,2
659345,,4,1,0,1,UT,1,0,0
659347,,2,2,1,4,NA,0,2,0
659348,,4,1,0,0,OT,0,0,0
659349,,4,1,0,1,NA,0,0,0
659351,,3,1,1,1,NA,1,0,1
659352,,3,1,1,1,NA,0,1,0
659353,,4,1,0,1,NA,0,0,0
659354,,3,1,1,0,DEF,0,0,0
659355,,4,1,0,1,NA,0,0,1
659356,,4,1,0,1,NA,0,0,1
659357,,4,1,0,1,NA,0,0,2
659358,,4,1,0,1,OT,1,0,0
659359,,4,1,0,1,NA,1,2,6
659362,,4,1,0,1,NA,1,0,7
659363,DP,3,1,1,3,NA,0,0,0
659365,,4,1,0,1,NA,0,0,0
659366,,2,2,1,2,NA,0,0,0
659367,,3,1,1,1,NA,0,0,0
659369,,1,1,3,4,NA,0,4,0
659372,,3,1,1,1,NA,0,2,0
659373,,3,1,1,1,NA,0,0,0
659374,,4,1,0,2,NA,0,0,0
659375,,4,1,0,0,DEF,0,0,0
659376,,5,0,0,1,NA,1,0,2
659378,,2,2,1,4,DEF,0,0,0
659379,DP,3,1,1,4,NA,0,0,0
659380,,3,1,1,2,NA,0,0,4
659381,,1,1,3,4,NA,0,0,0
659382,,0,2,3,3,NA,0,2,0
659383,PA,1,1,3,1,DC,0,0,0
659384,,4,1,0,1,NA,0,0,3
659385,,1,1,3,4,NA,0,0,0
659386,,4,1,0,3,NA,0,1,16
659387,,1,1,3,4,NA,0,0,0
659388,,2,2,1,4,NA,0,1,0
659389,PA,3,1,1,0,TA,1,0,0
659390,,3,1,1,1,UT,0,0,0
659392,,1,1,3,4,NA,0,0,0
659393,PI,2,2,1,3,NA,0,0,0
659394,,0,2,3,3,NA,0,0,0
659397,,4,1,0,1,NA,0,2,0
659398,,4,1,0,1,NA,1,0,0
659399,,3,1,1,1,NA,0,2,0
659400,,5,0,0,1,NA,1,1,2
659402,,3,1,1,1,NA,0,0,0
659403,,4,1,0,1,DRP,0,0,0
659404,,5,0,0,2,NA,1,1,30
659405,,4,1,0,1,DRP,0,0,0
659406,,4,1,0,1,UT,0,0,0
659407,,4,1,0,1,DC,0,0,0
659410,,5,0,0,0,NA,0,0,3
659411,,3,1,1,1,NA,0,1,0
659412,,5,0,0,1,NA,0,0,5
659413,DP,4,1,0,1,NA,0,1,0
659415,,4,1,0,1,NA,0,0,1
659416,,4,1,0,1,DEF,0,0,0
659417,,5,0,0,0,NA,0,0,5
659418,,4,1,0,1,NA,0,0,0
659419,,1,2,2,4,NA,0,0,0
659420,,1,2,2,4,NA,0,1,0
659421,PA,1,1,3,0,TA,1,0,0
659423,,2,2,1,2,NA,0,1,0
659424,,3,1,1,1,NA,0,1,0
659425,,4,1,0,1,NA,0,1,3
659426,PA,2,2,1,1,NA,0,0,0
659427,,4,1,0,1,OT,0,0,0
659428,,3,1,1,1,NA,0,0,0
659429,,3,1,1,1,NA,0,0,1
659430,,3,1,1,1,NA,0,0,0
659431,,3,1,1,2,NA,0,1,0
659432,,3,1,1,1,NA,0,0,0
659433,PA,3,1,1,1,NA,0,0,1
659434,,3,1,1,1,NA,0,0,0
659435,,3,1,1,1,NA,0,1,0
659436,,4,1,0,1,NA,0,1,1
659439,,0,1,4,4,NA,0,0,0
659441,,5,0,0,0,NA,1,1,6
659442,,3,0,2,0,NA,0,0,2
659443,,5,0,0,0,NA,0,1,9
659444,DP,2,1,2,1,NA,0,0,0
659445,,3,1,1,0,NA,0,0,3
659446,,1,1,3,0,NA,0,1,5
659447,,1,1,3,3,NA,0,0,0
659448,,1,2,2,3,NA,0,0,0
659449,,4,1,0,0,NA,1,0,20
659450,SC,4,0,1,0,NA,0,0,0
659451,,3,0,2,0,DEF,1,0,0
659452,,3,1,1,4,NA,0,0,0
659455,,2,2,1,1,NA,0,1,0
659456,,2,1,2,2,NA,0,0,0
659457,,4,1,0,0,NA,0,0,5
659458,,1,2,2,2,NA,0,0,0
659459,PA,3,1,1,1,NA,0,0,5
659460,,4,0,1,0,DRP,0,0,0
659462,,3,1,1,4,NA,0,1,0
659463,,4,0,1,2,NA,0,1,7
659464,,3,1,1,1,NA,0,0,4
659465,,4,0,1,0,NA,1,0,1
659466,,3,1,1,4,NA,0,2,0
659467,,4,1,0,2,NA,0,0,0
659468,,3,1,1,2,NA,0,0,0
659469,,3,0,2,2,NA,0,0,4
659470,,5,0,0,0,DC,1,0,0
659471,,3,1,1,3,NA,0,0,0
659472,,3,1,1,1,NA,0,0,0
659474,,3,1,1,4,NA,0,1,0
659477,,2,1,2,2,NA,0,0,0
659478,PA,2,1,2,2,NA,0,1,12
659479,,2,2,1,1,NA,0,0,0
659480,PA,2,2,1,1,NA,1,2,10
659481,,2,2,1,2,NA,0,0,0
659482,,1,2,2,2,NA,0,0,5
659483,,4,1,0,1,NA,0,0,0
659484,,2,3,0,3,UT,0,0,0
659486,DP,3,1,1,1,NA,0,0,0
659487,PA,3,1,1,0,OT,0,0,0
659488,,1,1,3,3,NA,0,0,0
659489,BL,3,2,0,0,NA,0,0,0
659490,,1,1,3,3,NA,0,1,0
659491,,2,2,1,2,NA,0,1,6
659492,,2,1,2,1,NA,0,1,7
659493,,2,2,1,2,NA,0,1,0
659494,,2,1,2,2,NA,0,1,0
659495,,4,1,0,1,DC,0,0,0
659499,,3,1,1,4,NA,0,0,0
659500,,3,1,1,1,NA,0,0,-1
659501,,4,1,0,0,NA,0,0,1
659502,,3,1,1,2,NA,0,0,0
659503,,5,0,0,0,NA,1,0,3
659505,PA,2,2,1,1,NA,1,0,5
659506,,3,1,1,1,NA,0,1,0
659507,,3,1,1,2,NA,0,2,0
659508,,1,1,3,1,UT,1,0,0
659509,,2,2,1,1,NA,0,1,2
659510,PA,1,1,3,2,DRP,0,0,0
659511,PA,2,1,2,1,NA,0,0,0
659512,,4,1,0,0,NA,0,2,11
659514,,2,1,2,2,NA,0,0,8
659515,,2,1,2,2,NA,0,0,0
659517,,3,1,1,2,DEF,0,0,0
659518,,3,1,1,3,NA,0,0,0
659519,,5,0,0,0,NA,0,1,12
659520,,5,0,0,0,NA,0,0,3
659521,,3,1,1,1,NA,1,0,0
659522,,4,1,0,0,NA,0,0,0
659523,,4,1,0,0,NA,0,0,0
659524,,3,1,1,1,NA,0,1,4
659526,PA,3,2,0,1,NA,0,1,4
659527,,2,2,1,2,NA,0,1,0
659529,,4,1,0,1,NA,0,0,1
659530,,4,1,0,1,NA,0,0,1
659532,,3,0,2,2,NA,1,0,0
659533,,2,1,2,4,NA,0,0,0
659534,PA,1,1,3,3,NA,0,0,0
659535,SC,3,1,1,0,NA,0,0,1
659537,,1,2,2,2,NA,0,0,0
659538,,2,2,1,2,NA,0,1,0
659539,,5,0,0,0,NA,0,1,5
659541,,1,2,2,3,NA,0,1,0
659542,,1,2,2,3,NA,0,0,0
659543,,3,1,1,1,UT,0,0,0
659545,,2,2,1,2,NA,0,2,0
659546,,4,1,0,0,NA,0,2,3
659548,,1,2,2,2,NA,0,1,0
659549,,1,2,2,2,NA,0,0,0
659551,,2,1,2,1,OT,0,0,0
659553,SC,5,0,0,0,NA,0,0,0
659556,,3,1,1,4,NA,0,0,0
659557,,3,1,1,4,NA,0,0,0
659559,,5,0,0,0,NA,1,0,0
659560,,3,1,1,0,NA,0,0,6
659562,,2,2,1,2,OT,0,0,0
659563,,1,2,2,3,NA,0,0,0
659564,,1,2,2,3,NA,0,0,0
659565,,3,1,1,2,NA,0,0,6
659568,,4,1,0,0,NA,0,2,5
