pid,qba,wo,bf,li,brec,incd,hur,mbt,yac
652368,,2,1,2,4,NA,0,1,0
652369,,2,1,2,3,NA,0,1,13
652370,,2,1,2,4,NA,0,0,0
652371,PA,1,1,3,1,NA,0,0,4
652372,DP,3,1,1,4,NA,0,1,0
652373,PI,2,1,2,2,NA,0,0,0
652375,DP,3,1,1,4,NA,0,0,0
652376,,3,1,1,1,NA,0,0,8
652378,,5,0,0,0,NA,0,0,7
652379,,5,0,0,0,NA,0,0,5
652380,,5,0,0,0,NA,0,2,6
652381,,4,1,0,0,OT,0,0,0
652382,PA,4,1,0,1,OT,0,0,0
652383,SC,4,1,0,0,NA,0,0,0
652385,,2,1,2,2,NA,0,0,0
652386,,2,1,2,2,NA,0,0,0
652387,,3,1,1,1,NA,0,1,3
652389,,4,1,0,2,NA,0,1,2
652390,PA,2,1,2,1,NA,1,0,0
652391,,4,1,0,0,NA,0,0,0
652393,,2,1,2,4,NA,0,1,0
652394,,2,1,2,4,NA,0,0,0
652395,,1,1,3,5,NA,0,0,0
652397,,5,0,0,0,NA,0,0,4
652398,,4,1,0,0,NA,0,0,5
652399,,2,2,1,4,NA,0,1,0
652400,,0,1,4,4,NA,0,0,0
652401,,5,0,0,0,NA,0,0,9
652402,,5,0,0,0,NA,0,0,3
652403,,2,1,2,4,NA,0,1,0
652404,,4,1,0,1,NA,0,0,3
652405,PA,2,1,2,0,NA,0,0,4
652406,,4,1,0,0,NA,0,2,10
652409,,2,1,2,4,NA,0,0,0
652410,PA,2,1,2,1,OT,1,0,0
652411,,3,1,1,0,NA,0,0,5
652412,,3,1,1,3,NA,0,1,0
652413,,3,1,1,2,NA,0,0,0
652414,,3,1,1,1,UT,0,0,0
652416,PA,3,1,1,1,NA,0,0,4
652417,,3,1,1,4,NA,0,0,0
652418,,5,0,0,0,NA,0,0,0
652419,PA,1,1,3,0,NA,0,1,6
652420,,2,1,2,4,NA,0,0,0
652421,,2,1,2,4,NA,0,0,0
652422,,3,1,1,5,NA,0,0,0
652423,,4,1,0,0,NA,0,0,0
652424,PA,0,1,4,2,NA,0,0,0
652427,PA,3,1,1,1,NA,0,0,4
652429,PA,4,1,0,0,NA,0,0,6
652430,,3,1,1,1,NA,0,0,13
652431,DP,3,1,1,2,NA,0,0,0
652432,,3,1,1,0,NA,0,0,5
652433,,5,0,0,0,DRP,0,0,0
652434,,3,1,1,1,NA,0,0,0
652435,,3,1,1,3,NA,0,1,0
652436,,4,1,0,0,DRP,0,0,0
652437,,4,1,0,0,OT,1,0,0
652440,,0,1,4,5,NA,0,0,0
652442,,2,1,2,1,NA,0,1,5
652443,,2,1,2,4,NA,0,0,0
652444,,0,1,4,4,NA,0,0,0
652445,,4,1,0,1,NA,0,0,5
652446,,2,1,2,4,NA,0,0,0
652447,,2,1,2,4,NA,0,0,0
652448,,2,1,2,2,NA,0,0,7
652450,,0,2,3,4,NA,0,0,0
652451,,3,1,1,2,NA,0,0,1
652454,,2,1,2,2,NA,0,0,0
652455,PA,2,1,2,1,NA,0,0,9
652456,,2,1,2,2,NA,0,0,0
652457,,3,1,1,3,NA,0,1,0
652458,,2,1,2,4,NA,0,1,0
652459,,0,2,3,3,NA,0,0,0
652460,,0,2,3,3,NA,0,0,0
652463,,2,1,2,4,NA,0,2,0
652464,PA,2,1,2,0,NA,0,0,0
652465,,4,1,0,0,NA,0,0,5
652466,,3,1,1,1,NA,0,0,0
652468,,3,1,1,3,NA,0,1,0
652469,,2,1,2,4,NA,0,0,0
652470,,2,1,2,3,NA,0,0,0
652471,,3,1,1,0,NA,0,0,10
652472,PA,2,1,2,1,NA,0,0,0
652473,,2,1,2,3,NA,0,0,0
652474,,4,0,1,0,NA,1,0,3
652475,,3,1,1,4,NA,0,0,0
652476,BL,3,1,1,0,NA,0,0,3
652478,PA,0,2,3,0,OT,1,0,0
652479,,0,2,3,3,NA,0,0,0
652481,,3,1,1,1,NA,0,0,0
652484,,5,0,0,0,NA,0,1,34
652485,,5,0,0,0,DC,0,0,0
652486,,3,1,1,4,NA,0,0,0
652487,,4,1,0,0,NA,0,1,15
652488,,0,2,3,4,NA,0,0,0
652489,PA,0,2,3,4,OT,1,0,0
652490,,3,1,1,2,NA,0,0,1
652493,,3,1,1,1,NA,0,0,0
652494,PA,3,1,1,1,DRP,0,0,0
652495,,3,1,1,0,UT,0,0,0
652497,,2,1,2,4,NA,0,0,0
652498,,4,1,0,0,DC,0,0,0
652499,,4,1,0,0,DEF,0,0,0
652502,,3,1,1,0,NA,0,0,1
652503,,3,1,1,1,UT,0,0,0
652504,,2,1,2,4,NA,0,0,0
652506,,2,1,2,4,NA,0,0,0
652507,,3,1,1,1,NA,0,1,3
652508,,0,1,4,4,NA,0,0,0
652509,,3,1,1,4,NA,0,0,0
652510,,4,1,0,0,DC,1,0,0
652512,SC,4,1,0,0,UT,1,0,0
652513,,4,0,1,0,NA,0,0,6
652514,,4,1,0,1,NA,0,0,1
652515,,4,1,0,1,DRP,0,0,0
652516,,4,1,0,1,NA,1,0,1
652517,,5,0,0,0,NA,0,0,0
652519,,3,1,1,1,NA,1,0,0
652520,,4,1,0,0,NA,0,0,3
652521,,3,1,1,1,UT,1,0,0
652522,SC,3,1,1,1,NA,1,0,0
652523,,4,1,0,0,NA,0,0,0
652524,,4,1,0,1,NA,0,0,0
652528,,1,1,3,3,NA,0,0,0
652529,,1,1,3,4,NA,0,0,0
652530,,5,0,0,0,NA,0,0,3
652531,,1,1,3,4,NA,0,0,0
652532,,1,1,3,2,NA,0,0,10
652533,PA,1,2,2,0,TA,1,0,0
652534,,3,2,0,1,NA,0,0,20
652535,RO,4,1,0,2,NA,0,0,0
652537,,3,1,1,0,NA,0,0,1
652538,,4,1,0,0,NA,0,0,0
652541,SC,3,1,1,2,NA,0,0,0
652542,,3,1,1,3,NA,0,0,0
652543,,4,1,0,1,OT,0,0,0
652545,,4,1,0,2,NA,0,0,0
652546,,5,0,0,0,NA,0,0,5
652547,,4,1,0,0,NA,0,0,0
652548,,3,1,1,1,OT,1,0,0
652549,,3,2,0,0,NA,0,0,0
652551,,3,1,1,1,NA,0,1,6
652552,,3,1,1,1,NA,0,1,0
652553,,4,1,0,1,NA,1,0,8
652554,,3,1,1,3,NA,0,0,0
652555,,4,1,0,2,NA,0,0,0
652556,,4,1,0,1,NA,0,0,5
652557,,4,1,0,0,NA,0,0,0
652558,PA,3,2,0,2,OT,0,0,0
652559,PA,4,1,0,0,NA,0,0,2
652560,,4,1,0,1,NA,0,0,0
652563,,1,1,3,4,NA,0,0,0
652564,,1,3,1,4,NA,0,0,0
652565,PI,3,1,1,3,NA,0,0,0
652566,,3,1,1,2,NA,0,0,0
652568,,3,1,1,4,NA,0,0,0
652569,,3,1,1,1,DEF,0,0,0
652570,,4,0,1,0,NA,0,0,3
652572,,3,1,1,2,NA,0,1,0
652573,,4,1,0,1,DEF,0,0,0
652574,,3,1,1,3,NA,0,0,0
652575,,5,0,0,0,OT,0,0,0
652577,,2,1,2,2,NA,0,0,0
652578,,3,0,2,1,DRP,1,0,0
652580,,3,1,1,2,NA,0,0,0
652581,,0,1,4,3,NA,0,0,0
652584,PI,3,2,0,2,NA,0,0,0
652585,,4,1,0,0,DEF,0,0,0
652586,,4,1,0,0,NA,0,0,0
652587,,3,1,1,1,NA,0,0,4
652588,,3,2,0,2,NA,0,0,4
652589,,3,2,0,2,NA,0,1,10
652590,,3,1,1,3,NA,0,0,0
652592,,4,1,0,0,NA,0,0,0
652594,,5,0,0,0,NA,0,0,7
652597,SC,4,0,1,1,NA,0,0,0
652598,,3,1,1,2,NA,0,0,0
652599,PI,3,1,1,2,NA,0,0,0
652600,,3,1,1,0,NA,0,0,8
652601,,3,1,1,1,DEF,0,0,0
652602,SC,3,1,1,0,NA,0,2,0
652603,,3,1,1,1,UT,0,0,0
652604,,3,1,1,1,NA,0,1,0
652605,,3,1,1,0,NA,0,0,0
652606,,3,1,1,0,TA,0,0,0
652607,,3,1,1,2,OT,0,0,0
652610,,1,2,2,0,NA,0,0,0
652612,PA,3,1,1,1,NA,0,0,0
652613,,4,1,0,2,NA,0,0,4
652614,,3,1,1,2,NA,0,2,0
652615,,3,2,0,2,NA,0,0,0
652616,,4,1,0,0,NA,0,0,9
652617,,3,1,1,1,NA,0,0,0
652620,,2,1,2,1,NA,0,0,0
652621,,2,1,2,1,NA,0,0,0
652622,,2,1,2,1,NA,0,0,0
652623,,3,1,1,1,NA,1,1,10
652624,,3,1,1,1,NA,0,1,0
652625,,3,1,1,1,NA,0,0,0
652626,,3,1,1,2,NA,0,0,0
652627,,3,1,1,0,NA,0,0,0
652629,,3,1,1,1,NA,0,0,0
652630,,4,0,1,0,DEF,1,0,0
652631,,3,1,1,2,NA,0,0,0
652634,,4,1,0,0,NA,0,1,0
652636,,4,1,0,0,NA,0,0,0
652638,,4,1,0,2,NA,0,0,9
652639,,3,1,1,4,NA,0,0,0
652640,SC,3,1,1,1,NA,0,0,0
652641,SC,4,1,0,1,NA,0,0,0
652642,PA,4,1,0,0,BR,0,0,0
652643,,3,2,0,3,NA,0,0,0
652644,,4,1,0,2,NA,0,0,9
652645,,2,2,1,3,NA,0,0,0
652646,SC,4,1,0,0,NA,0,0,0
652647,,4,1,0,0,NA,0,0,0
652648,,3,2,0,2,NA,0,0,0
652649,,4,1,0,0,NA,0,0,0
652650,BL,3,1,1,0,NA,0,0,0
652652,,3,1,1,0,NA,0,0,0
652655,SC,1,1,3,1,NA,0,1,0
652656,,1,3,1,3,NA,0,0,0
652657,,3,1,1,1,UT,0,0,0
652658,,3,1,1,1,NA,0,0,38
652659,,4,1,0,0,NA,0,0,4
652660,,5,0,0,0,NA,0,0,1
652661,,3,1,1,2,OT,1,0,0
652662,BL,3,1,1,1,OT,1,0,0
652663,,3,1,1,2,OT,1,0,0
652664,PA,4,1,0,1,NA,0,0,6
652665,,3,1,1,3,NA,0,0,0
652666,,5,0,0,0,UT,0,0,0
652668,,3,1,1,3,NA,0,1,0
652670,PI,3,1,1,1,NA,0,0,0
652671,,3,1,1,2,NA,0,0,0
652672,,3,1,1,0,DEF,0,0,0
652673,,3,2,0,3,NA,0,0,0
652675,,1,1,3,3,NA,0,0,0
652676,,1,1,3,3,NA,0,0,0
652678,,0,2,3,4,NA,0,0,0
652681,,3,1,1,0,NA,0,0,3
652682,,3,1,1,0,NA,0,0,0
652683,,3,1,1,2,OT,0,0,0
652684,,3,1,1,0,DRP,1,0,0
652685,,5,0,0,0,NA,0,0,0
652686,,3,1,1,1,NA,0,1,16
652689,,0,1,4,0,NA,0,0,0
652692,,3,1,1,2,NA,0,0,0
652693,PA,4,1,0,3,NA,0,1,16
652694,,3,1,1,0,NA,0,0,2
652695,BL,1,1,3,2,NA,0,1,0
652696,,3,1,1,3,NA,0,0,0
652697,,3,1,1,0,DEF,0,0,0
652698,,4,1,0,0,DEF,0,0,0
652700,,3,1,1,0,UT,0,0,0
652701,,2,2,1,2,NA,0,0,0
652702,,1,1,3,0,NA,0,0,0
652705,,1,2,2,4,NA,0,0,0
652706,,5,0,0,0,NA,0,0,1
652707,,2,1,2,4,NA,0,0,0
652708,PA,2,1,2,2,OT,0,0,0
652709,PA,3,1,1,2,DRP,0,0,0
652710,PA,4,1,0,1,DEF,0,0,0
652712,,2,1,2,3,NA,0,0,0
652713,,3,1,1,0,OT,0,0,0
652714,,4,1,0,0,NA,1,0,23
652715,RO,4,1,0,0,NA,0,0,0
652716,,3,2,0,0,NA,0,0,15
652717,PA,3,2,0,2,NA,0,0,4
652718,,3,1,1,2,NA,0,0,0
652719,PA,2,1,2,1,NA,0,0,27
652722,PA,3,1,1,1,NA,0,0,-1
652723,,3,1,1,4,NA,0,0,0
652724,,4,1,0,0,NA,0,0,4
652725,,3,1,1,4,NA,0,0,0
652726,PA,3,2,0,0,NA,0,0,6
652727,,3,1,1,0,NA,0,0,6
652728,,1,1,3,4,NA,0,0,0
652729,,3,1,1,2,NA,0,0,0
652732,,2,2,1,0,NA,0,0,16
652733,,2,2,1,2,NA,0,0,0
652734,PA SC,3,1,1,1,NA,1,1,3
652735,,3,1,1,3,NA,0,0,0
652736,,3,2,0,1,NA,0,0,2
652737,DP,3,1,1,2,NA,0,1,0
652738,,4,1,0,1,NA,0,0,1
652739,,4,1,0,0,NA,1,1,5
652740,,3,1,1,0,UT,0,0,0
652743,,2,2,1,4,NA,0,0,0
652744,,1,1,3,4,NA,0,0,0
652745,,3,1,1,0,UT,1,0,0
652747,,2,1,2,1,NA,0,0,1
652748,,3,1,1,1,NA,0,0,0
652749,,3,2,0,1,NA,0,0,0
652750,,4,1,0,1,NA,0,1,15
652753,PA,3,1,1,2,NA,0,0,0
652754,,4,1,0,0,NA,0,0,0
652755,,4,1,0,0,NA,0,0,0
652756,,5,0,0,1,NA,0,1,7
652759,,3,1,1,4,NA,0,0,0
652760,,5,0,0,0,OT,0,0,0
652761,,4,1,0,0,DEF,0,0,0
652763,,2,2,1,2,NA,0,1,0
652764,,4,1,0,0,NA,0,0,0
652765,RO,3,1,1,2,OT,1,0,0
652767,,5,0,0,0,NA,0,0,3
652768,,2,1,2,4,NA,0,0,0
652769,,4,1,0,0,BR,0,0,0
652770,,4,1,0,4,NA,0,0,0
652771,,4,1,0,0,NA,0,0,6
652772,,4,1,0,0,NA,0,0,-1
652773,,4,1,0,1,NA,0,0,6
652774,,4,1,0,4,NA,0,0,0
652775,,3,1,1,0,NA,0,0,0
652776,,4,1,0,0,DEF,0,0,0
652779,,0,1,4,5,NA,0,0,0
652781,PA,3,1,1,0,NA,0,0,1
652782,PA,3,1,1,1,DRP,0,0,0
652783,,3,1,1,4,NA,0,1,0
652784,,4,1,0,0,DRP,0,0,0
652786,DP,3,1,1,2,NA,0,0,0
652787,,2,1,2,2,NA,0,0,6
652788,PI,2,2,1,3,NA,0,0,0
652790,,2,1,2,4,NA,0,0,0
652791,,3,1,1,0,UT,1,0,0
652792,,4,1,0,1,DEF,0,0,0
652794,,2,1,2,1,DC,0,0,0
652795,,2,1,2,4,NA,0,0,0
652797,BL,1,2,2,3,NA,0,0,0
652798,SC,3,1,1,0,OT,1,0,0
652799,,4,1,0,0,OT,0,0,0
652800,SC,3,1,1,1,NA,0,0,0
652802,PA SC,3,1,1,1,NA,0,0,0
652803,,3,1,1,4,NA,0,1,0
652804,PA,3,1,1,0,NA,0,0,22
652805,,3,1,1,4,NA,0,0,0
652806,,3,1,1,0,NA,0,0,0
652807,,3,1,1,2,DRP,0,0,0
652808,,1,2,2,4,NA,0,0,0
652809,,2,2,1,4,NA,0,0,0
652810,,2,2,1,2,NA,0,1,0
652811,PA,2,1,2,3,TA,1,0,0
652812,PA,3,1,1,1,NA,0,0,5
652813,,3,1,1,1,NA,0,0,0
652815,,3,1,1,2,NA,0,0,8
652816,PA,3,1,1,1,NA,0,0,0
652817,,3,1,1,4,NA,0,0,0
652819,,3,1,1,0,NA,0,1,12
652820,,4,1,0,0,NA,0,0,0
652822,,2,2,1,2,NA,0,0,0
652823,,2,2,1,4,NA,0,1,0
652824,,2,2,1,4,NA,0,0,0
652825,,2,1,2,0,NA,0,0,0
652826,SC,1,1,3,4,NA,0,0,0
652827,PA,2,2,1,1,OT,0,0,0
652829,,4,1,0,0,NA,1,1,4
652831,,3,1,1,4,NA,0,0,0
652832,,3,1,1,4,NA,0,0,0
652833,PA,4,1,0,1,TA,1,0,0
652834,,3,0,2,0,OT,0,0,0
652835,DP,4,1,0,4,NA,0,0,0
652837,,2,2,1,4,NA,0,0,0
652838,,2,2,1,2,NA,0,0,0
652839,PA,2,2,1,0,NA,0,0,0
652841,,4,1,0,0,NA,0,0,0
652842,,4,1,0,0,NA,0,0,0
652843,,4,1,0,0,DEF,0,0,0
652844,,4,1,0,1,NA,0,0,0
652846,,4,1,0,0,NA,0,0,0
652847,,3,1,1,0,NA,0,0,0
652850,,1,1,3,3,NA,0,0,0
652851,BL,1,1,3,0,DEF,1,0,0
652852,,4,1,0,1,NA,0,1,10
652853,,2,2,1,2,NA,0,0,0
652854,RO,2,2,1,2,NA,0,1,0
652855,PI,1,2,2,3,NA,0,2,0
652858,,4,1,0,0,NA,0,0,0
652859,,4,1,0,0,NA,0,0,2
652860,SC,4,1,0,0,NA,0,0,0
652861,,4,1,0,0,DC,0,0,0
652862,,4,1,0,1,NA,0,0,17
652863,,4,1,0,0,NA,0,0,3
652864,,4,1,0,0,BR,0,0,0
652865,,4,1,0,0,UT,0,0,0
652866,,4,1,0,0,OT,0,0,0
652869,,0,1,4,5,NA,0,0,0
652870,,0,1,4,5,NA,0,0,0
652872,,3,1,1,2,NA,0,2,0
652873,,2,1,2,3,NA,0,0,0
652874,,4,1,0,1,NA,0,1,7
652875,,2,2,1,2,NA,0,0,0
652876,,4,1,0,0,NA,0,0,0
652877,,5,0,0,0,DEF,1,0,0
652879,,3,1,1,0,DRP,0,0,0
652880,,1,2,2,2,NA,0,0,0
652881,SC,4,1,0,1,NA,0,0,0
652882,,2,1,2,2,NA,0,0,0
652883,,3,1,1,0,NA,0,0,3
652884,,4,1,0,0,NA,0,0,0
652885,,2,1,2,2,NA,0,0,0
652886,,2,1,2,2,NA,0,0,0
652887,,2,1,2,2,NA,0,0,0
652888,PA,3,1,1,0,NA,1,0,2
652889,,3,0,2,0,NA,1,0,6
652890,SC,4,1,0,1,NA,1,1,10
652891,,2,1,2,2,NA,0,0,0
652893,,2,1,2,1,NA,0,1,0
652895,,3,1,1,1,OT,1,0,0
652896,,3,2,0,0,UT,1,0,0
652897,SC,4,1,0,0,NA,0,0,0
652898,,1,1,3,3,NA,0,0,0
652899,,2,1,2,3,NA,0,1,0
652900,,3,1,1,1,NA,0,1,0
652902,,2,2,1,2,NA,0,0,0
652903,,2,2,1,2,NA,0,0,0
652904,,3,1,1,1,NA,0,0,0
652905,,5,0,0,0,NA,1,0,7
652906,,3,2,0,3,NA,0,1,0
652907,PI,3,1,1,1,NA,0,0,0
652909,,4,1,0,1,NA,1,0,19
652914,PA,3,1,1,1,TA,1,0,0
652915,,2,2,1,2,OT,0,0,0
652916,,4,1,0,1,NA,0,0,7
652917,PA,2,1,2,2,UT,0,0,0
652918,,4,1,0,0,NA,1,1,9
652919,,3,1,1,1,NA,0,1,0
652922,,3,1,1,4,NA,0,0,0
652923,SC,3,1,1,1,NA,0,0,0
652925,DP,4,1,0,1,NA,0,0,0
652927,,1,1,3,1,DEF,0,0,0
652928,,3,1,1,0,NA,0,0,0
652929,PA,5,0,0,0,NA,0,0,0
652931,,3,1,1,1,OT,1,0,0
652932,,2,1,2,2,NA,0,0,0
652933,,4,1,0,1,NA,1,0,0
652934,PA,2,1,2,3,NA,0,0,20
652935,,2,1,2,2,NA,0,0,0
652936,PA,1,1,3,2,DC,1,0,0
652938,SC,3,1,1,0,NA,0,1,0
652941,PA,3,1,1,1,NA,0,0,0
652942,,4,1,0,1,NA,0,0,0
652943,,4,1,0,0,NA,0,0,11
652944,,4,1,0,1,NA,0,0,1
652945,,4,1,0,1,NA,0,0,0
652946,,5,0,0,0,NA,0,0,0
652947,,4,1,0,1,OT,0,0,0
652948,DP,4,1,0,0,NA,0,0,0
652949,,4,1,0,0,NA,0,0,0
652952,,3,1,1,3,NA,0,0,0
652954,,3,1,1,0,NA,0,0,0
652955,,2,1,2,1,NA,0,1,0
652956,,2,1,2,2,NA,0,1,0
652957,,2,1,2,0,DRP,0,0,0
652958,,4,1,0,0,NA,0,0,0
652959,,3,1,1,1,NA,0,0,0
652961,SC,4,1,0,0,NA,0,0,0
652962,,3,1,1,2,OT,1,0,0
652963,,3,1,1,1,NA,0,0,0
652964,,3,1,1,1,NA,0,0,0
652965,PA,3,1,1,1,NA,1,0,0
652966,,3,1,1,1,NA,0,0,0
652967,,0,2,3,4,NA,0,0,0
652968,,1,2,2,3,NA,0,0,0
652971,PA,2,2,1,2,NA,1,0,9
652972,,2,1,2,2,NA,0,0,0
652973,,4,1,0,0,DRP,0,0,0
652975,,2,1,2,2,NA,0,0,0
652976,PA,2,1,2,1,NA,0,0,0
652977,,4,1,0,1,NA,0,1,7
652978,,3,1,1,1,NA,0,0,0
652979,,3,1,1,1,NA,0,2,0
652980,,3,1,1,1,NA,0,0,0
652981,,2,2,1,2,NA,0,0,0
652982,,3,1,1,1,NA,0,0,0
652983,,2,1,2,2,NA,0,0,0
652984,,4,0,1,1,DEF,0,0,0
652987,,1,2,2,4,NA,0,0,0
652989,SC,2,1,2,0,TA,1,0,0
652990,,4,1,0,1,NA,1,0,0
652991,,4,1,0,0,DEF,0,0,0
652992,,1,1,3,3,NA,0,0,0
652994,SC,4,1,0,0,NA,0,0,0
652995,,2,1,2,2,NA,0,0,0
652996,,3,1,1,1,NA,0,1,0
652997,,3,1,1,1,NA,0,0,0
652998,,3,1,1,1,NA,0,0,0
653001,,3,1,1,0,NA,0,0,6
653002,,4,1,0,0,NA,0,0,2
653003,SC,4,1,0,0,NA,0,1,0
653004,,4,1,0,1,DEF,0,0,0
653005,SC,4,1,0,1,NA,0,0,0
653006,,1,1,3,2,NA,0,0,0
653007,DP,4,1,0,0,NA,0,0,0
653008,,5,0,0,0,TA,1,0,0
653010,,4,1,0,1,BR,0,0,0
653011,,4,1,0,0,NA,0,0,0
653012,,4,1,0,0,OT,0,0,0
653013,,4,1,0,1,NA,1,0,4
653014,SC,4,1,0,0,NA,0,1,0
653015,,4,1,0,1,NA,0,0,0
653016,,4,1,0,1,NA,0,0,4
653017,,4,1,0,1,DRP,1,0,0
653018,,3,1,1,2,DRP,0,0,0
653019,,2,2,1,2,NA,0,0,0
653020,,4,1,0,0,NA,0,0,0
653021,,3,1,1,1,NA,0,0,0
653022,,3,1,1,1,NA,0,1,0
653023,,2,2,1,2,NA,0,0,0
653024,,2,2,1,1,NA,0,0,0
653025,,0,1,4,4,NA,0,0,0
653027,PI,3,1,1,2,NA,0,0,0
653028,,3,1,1,2,NA,0,0,0
653029,,5,0,0,0,NA,0,0,1
653030,,3,1,1,2,NA,0,1,0
653033,,3,1,1,1,NA,0,0,0
653034,,2,1,2,1,DEF,0,0,0
653035,,3,1,1,2,OT,1,0,0
653037,,3,1,1,2,NA,0,0,0
653038,,2,2,1,1,NA,0,0,22
653039,,2,2,1,2,NA,0,0,0
653040,,2,2,1,0,NA,0,1,3
653041,SC,4,1,0,1,NA,0,0,0
653043,,3,1,1,2,NA,0,0,19
653044,PA,2,1,2,1,OT,1,0,0
653045,,3,1,1,2,DRP,0,0,0
653046,,3,2,0,1,OT,1,0,0
653048,,2,2,1,2,NA,0,1,0
653049,PI,2,2,1,3,NA,0,0,0
653051,,3,1,1,1,NA,0,2,18
653052,SC,3,1,1,1,DRP,1,0,0
653053,,4,1,0,1,NA,0,0,8
653055,,2,1,2,0,NA,1,0,2
653057,,5,0,0,2,TA,1,0,0
653058,,2,1,2,1,NA,1,0,0
653059,,2,1,2,2,UT,0,0,0
653060,,1,2,2,3,NA,0,0,0
653061,,3,1,1,0,NA,1,0,6
653062,,3,1,1,0,NA,0,0,7
653063,RO,4,1,0,0,NA,0,0,0
653064,,3,1,1,2,NA,0,0,0
653067,,1,1,3,1,NA,0,0,0
653068,,1,1,3,1,DEF,1,0,0
653069,,3,1,1,2,NA,0,0,0
653070,,3,1,1,1,NA,0,0,0
653071,,3,1,1,1,NA,1,0,0
653073,,3,1,1,1,NA,0,0,9
653075,PA,1,2,2,1,NA,0,0,3
653076,DP,2,1,2,2,NA,0,1,0
653077,,2,1,2,3,NA,0,0,0
653078,,1,2,2,3,NA,0,1,0
653079,,3,1,1,0,DEF,0,0,0
653080,BL,2,1,2,2,NA,0,1,0
653083,,1,2,2,3,NA,0,0,0
653085,,5,0,0,0,NA,1,0,0
653086,,3,1,1,1,NA,0,0,0
653088,,2,1,2,3,DEF,1,0,0
653089,,3,1,1,2,NA,0,0,4
653090,,1,2,2,3,NA,0,0,0
653091,,2,2,1,2,NA,0,0,0
653092,,5,0,0,0,DEF,0,0,0
653093,,3,1,1,2,UT,1,0,0
653094,,3,1,1,0,OT,1,0,0
653096,,3,1,1,1,NA,0,0,4
653097,RO,3,2,0,3,NA,0,0,0
653098,SC,3,1,1,1,NA,0,2,0
653100,SC,3,1,1,2,NA,0,1,0
653101,,3,1,1,2,NA,0,2,0
653104,,0,1,4,5,NA,0,0,0
653106,,2,1,2,1,NA,0,0,24
653107,BL,2,1,2,1,NA,0,2,9
653108,PA,3,1,1,2,NA,0,2,5
653109,DP,2,2,1,3,NA,0,0,0
653110,,4,1,0,1,NA,0,1,1
653111,RO,2,1,2,3,NA,0,0,0
653112,,2,1,2,2,NA,0,0,0
653113,DP,2,1,2,2,NA,0,0,0
653114,,0,2,3,4,NA,0,0,0
653115,,1,2,2,3,NA,0,0,0
653116,,0,2,3,4,NA,0,0,0
653119,,3,1,1,1,NA,0,0,0
653120,,3,1,1,0,OT,0,0,0
653121,,3,1,1,2,NA,0,0,2
653122,,3,1,1,1,NA,0,0,1
653123,,3,1,1,1,NA,0,0,0
653124,,3,1,1,2,NA,0,0,0
653125,,3,1,1,1,NA,0,0,0
653126,,3,1,1,0,NA,0,0,1
653127,,3,1,1,2,NA,0,0,0
653128,PA,3,1,1,1,NA,1,0,1
653129,PI,2,1,2,3,NA,0,0,0
653130,,2,1,2,3,NA,0,0,0
653131,,3,1,1,2,NA,0,0,0
653132,,2,1,2,2,NA,0,0,4
653134,BL,3,1,1,2,OT,1,0,0
653135,,1,2,2,3,NA,0,0,0
653136,BL,4,0,1,0,DEF,0,0,0
653137,,3,1,1,2,NA,0,0,0
653140,,2,2,1,2,NA,0,0,0
653142,PA,2,1,2,2,NA,1,0,0
653143,SC,3,1,1,1,NA,0,2,0
653145,,3,1,1,1,NA,1,0,0
653146,,4,1,0,0,NA,0,0,0
653147,SC,3,1,1,2,NA,1,1,0
653150,SC,4,0,1,0,DEF,1,0,0
653151,RO,3,1,1,1,NA,0,1,0
653152,,3,1,1,1,DEF,1,0,0
653155,DP,2,2,1,2,NA,0,0,0
653156,,3,2,0,2,NA,0,0,0
653157,,3,1,1,2,OV,0,0,0
653160,,4,1,0,1,UT,0,0,0
653161,,4,1,0,1,UT,0,0,0
653162,,3,1,1,1,NA,1,0,1
653163,PA,3,1,1,2,NA,1,0,0
653164,,3,1,1,0,NA,0,2,18
653165,SC,5,0,0,0,NA,0,1,0
653166,,3,1,1,2,DEF,0,0,0
653167,,3,1,1,2,DEF,0,0,0
653168,,3,1,1,1,NA,1,0,0
653171,PI,3,1,1,3,NA,0,0,0
653172,,1,2,2,3,NA,0,0,0
653173,,3,1,1,2,NA,0,2,0
653174,,1,2,2,3,NA,0,0,0
653175,,1,2,2,3,NA,0,0,0
653176,,3,1,1,1,NA,0,0,0
653178,,3,1,1,1,NA,0,0,0
653179,SC,4,1,0,0,NA,0,0,0
653180,,3,1,1,1,UT,1,0,0
653181,,3,1,1,1,UT,0,0,0
653182,,3,1,1,1,OT,1,0,0
653183,,4,1,0,1,DEF,1,0,0
653184,,0,1,4,0,NA,0,0,0
653185,,0,1,4,0,NA,0,0,0
653186,,0,1,4,0,NA,0,0,0
653188,,2,2,1,2,NA,0,0,0
653189,,4,1,0,1,NA,0,0,0
653191,,2,1,2,2,NA,0,1,0
653192,BL,3,1,1,0,NA,0,2,12
653194,,3,1,1,2,NA,0,0,0
653195,,2,1,2,3,NA,0,0,0
653196,,2,1,2,0,NA,1,1,5
653197,,3,1,1,2,NA,0,1,0
653198,PA,2,1,2,2,NA,0,0,0
653199,,3,1,1,1,NA,0,0,0
653200,,3,1,1,1,NA,0,0,0
653203,,5,0,0,0,NA,0,0,2
653204,,3,1,1,4,NA,0,0,0
653205,,2,1,2,4,NA,0,0,0
653207,BL,3,2,0,2,OT,0,0,0
