uid,pid,tck,value
434104,656845,MB-3650,0.5
434105,656846,AO-0250,1
434106,656847,MB-3650,0.5
434107,656847,AO-0250,0.5
434108,656852,TR-0620,1
434109,656854,DH-0700,0.5
434110,656854,KJ-0275,0.5
434111,656859,AO-0250,1
434112,656860,MB-3650,1
434113,656861,RM-3050,1
434114,656863,NS-0800,1
434115,656864,BM-0800,1
434116,656865,JJ-1620,1
434117,656866,RJ-2000,1
434118,656868,RJ-2000,1
434119,656869,BG-2100,1
434120,656870,MT-0850,1
434121,656871,KS-0800,1
434122,656872,RJ-2000,1
434123,656876,JS-0230,1
434124,656877,AC-2250,0.5
434125,656877,DM-1450,0.5
434126,656878,TA-0600,1
434127,656882,RJ-2000,1
434128,656883,KM-2000,0.5
434129,656883,WA-0050,0.5
434130,656884,KS-0800,0.5
434131,656884,BM-0800,0.5
434132,656885,WA-0050,1
434133,656886,EM-1200,1
434134,656887,BG-2100,1
434135,656891,AC-2250,1
434136,656892,TS-2050,1
434137,656895,JJ-1620,1
434138,656896,RJ-2000,1
434139,656897,JJ-1620,1
434140,656900,CS-2350,1
434141,656901,AC-2250,1
434142,656902,DH-4000,1
434143,656903,TS-2050,1
434144,656905,SB-1600,1
434145,656906,JS-0230,1
434146,656907,JS-0230,1
434147,656911,BG-2100,1
434148,656912,JJ-1620,1
434149,656913,WA-0050,1
434150,656914,JJ-1620,1
434151,656915,RJ-2000,1
434152,656917,MT-0850,1
434153,656918,RJ-2000,0.5
434154,656918,JT-0850,0.5
434155,656919,TF-0250,1
434156,656923,DM-1450,1
434157,656924,CS-2350,0.5
434158,656924,TS-2050,0.5
434159,656925,DS-2200,1
434160,656926,JS-0230,1
434161,656927,TS-2050,1
434162,656928,DS-2200,1
434163,656934,JJ-1620,0.5
434164,656934,BG-2100,0.5
434165,656937,PP-0800,1
434166,656938,PP-0800,1
434167,656940,PP-0800,1
434168,656949,JS-0230,1
434169,656950,TS-2050,1
434170,656951,PP-0800,1
434171,656952,SB-1600,1
434172,656953,DM-1450,1
434173,656954,AC-2250,1
434174,656955,SB-1600,1
434175,656960,JJ-1620,1
434176,656962,RJ-2000,1
434177,656963,DS-1760,0.5
434178,656963,WA-0050,0.5
434179,656964,JJ-1620,1
434180,656965,DS-1760,1
434181,656969,TS-2050,1
434182,656972,JE-1200,1
434183,656973,TS-2050,0.5
434184,656973,DM-1450,0.5
434185,656975,JJ-1620,0.5
434186,656975,KS-0800,0.5
434187,656976,RJ-2000,1
434188,656980,SB-1600,1
434189,656981,TS-2050,0.5
434190,656981,JE-1200,0.5
434191,656982,PP-0800,1
434192,656983,JO-0300,1
434193,656984,PT-0450,1
434194,656986,PP-0800,1
434195,656995,PT-0450,1
434196,656998,AC-2250,1
434197,657001,JJ-1620,1
434198,657005,AC-2250,1
434199,657010,BG-2100,1
434200,657011,OV-0200,1
434201,657013,JT-0850,1
434202,657014,JJ-1620,0.5
434203,657014,RJ-2000,0.5
434204,657015,KS-0800,1
434205,657019,PP-0800,1
434206,657021,KM-2000,0.5
434207,657021,RJ-2000,0.5
434208,657025,BG-2100,1
434209,657026,JJ-1620,1
434210,657027,KM-2000,1
434211,657028,KM-2000,1
434212,657029,SP-0800,1
434213,657032,TS-2050,1
434214,657038,CU-0050,1
434215,657040,KL-0800,0.5
434216,657040,KA-1000,0.5
434217,657042,JS-4300,1
434218,657046,TC-0385,1
434219,657048,BW-2020,1
434220,657053,TC-0385,1
434221,657054,DH-2150,1
434222,657056,CL-1300,1
434223,657057,NT-0150,1
434224,657058,DH-2150,1
434225,657059,CW-3100,1
434226,657066,LG-1000,0.5
434227,657066,CU-0050,0.5
434228,657067,CM-3250,1
434229,657068,LW-0700,1
434230,657069,WH-0750,1
434231,657070,LW-0700,1
434232,657072,AM-1200,1
434233,657075,MS-2400,0.5
434234,657075,TM-1000,0.5
434235,657077,RA-1350,1
434236,657079,DH-2150,0.5
434237,657079,CW-3700,0.5
434238,657080,DA-2050,1
434239,657084,CM-3250,1
434240,657085,DS-2700,1
434241,657086,LW-0700,1
434242,657087,KL-0800,0.5
434243,657087,KA-1000,0.5
434244,657091,CL-1300,1
434245,657092,MS-2400,0.5
434246,657092,TM-1000,0.5
434247,657093,CW-3100,1
434248,657094,DH-2150,1
434249,657095,RA-1350,0.5
434250,657095,CL-1300,0.5
434251,657097,CL-1300,1
434252,657098,TM-1000,1
434253,657099,MS-2400,1
434254,657103,ED-1000,1
434255,657104,WH-0750,1
434256,657105,CM-3250,1
434257,657106,JS-4300,1
434258,657107,CM-3250,1
434259,657108,CM-3250,1
434260,657111,KA-1000,1
434261,657112,KL-0800,1
434262,657117,TM-1000,1
434263,657118,AS-1500,0.5
434264,657118,TM-1000,0.5
434265,657119,CW-3700,1
434266,657121,MS-2400,1
434267,657122,NT-0150,1
434268,657125,CL-1300,0.5
434269,657125,LA-0700,0.5
434270,657129,CL-1300,0.5
434271,657129,DH-2150,0.5
434272,657133,KM-0050,1
434273,657134,JT-3800,0.5
434274,657134,MS-2400,0.5
434275,657135,CL-1300,0.5
434276,657135,MS-2400,0.5
434277,657139,JS-4300,1
434278,657140,JS-4300,1
434279,657141,CM-3250,1
434280,657142,CM-3250,0.5
434281,657142,LW-0700,0.5
434282,657143,LG-1000,1
434283,657146,DS-2700,0.5
434284,657146,ED-1000,0.5
434285,657151,TC-0385,1
434286,657152,DH-2150,1
434287,657153,MS-2400,0.5
434288,657153,NT-0150,0.5
434289,657158,LG-1000,0.5
434290,657158,WH-0750,0.5
434291,657159,DS-2700,1
434292,657160,DS-2700,1
434293,657161,LG-1000,1
434294,657162,KA-1000,1
434295,657164,AM-1200,1
434296,657168,CW-3700,1
434297,657169,NT-0150,1
434298,657170,JT-3800,1
434299,657171,MS-2400,1
434300,657173,CL-1300,1
434301,657175,LA-0700,1
434302,657176,JT-3800,0.5
434303,657176,CL-1300,0.5
434304,657181,DS-2700,1
434305,657185,MS-2400,1
434306,657186,CW-3700,1
434307,657187,SM-1650,1
434308,657189,MS-2400,0.5
434309,657189,LA-0700,0.5
434310,657190,CL-1300,1
434311,657191,CL-1300,1
434312,657192,CL-1300,0.5
434313,657192,LA-0700,0.5
434314,657193,LA-0700,1
434315,657195,MS-2400,1
434316,657199,DS-2700,1
434317,657200,DS-2700,1
434318,657203,MS-2400,0.5
434319,657203,TC-0385,0.5
434320,657204,DA-2050,1
434321,657205,JT-3800,1
434322,657206,CL-1300,1
434323,657207,BH-1110,1
434324,657212,ZS-0075,1
434325,657214,DS-2700,1
434326,657215,WH-0750,1
434327,657216,CM-3250,1
434328,657218,CM-3250,0.5
434329,657218,KA-1000,0.5
434330,657219,LW-0700,1
434331,657228,MK-0730,1
434332,657231,MJ-0600,1
434333,657233,JM-5000,1
434334,657234,SL-0500,1
434335,657237,CT-1300,1
434336,657238,BL-1350,1
434337,657239,BM-0600,1
434338,657241,JM-5000,0.5
434339,657241,AH-3350,0.5
434340,657243,SL-0500,1
434341,657244,SL-0500,1
434342,657247,MK-0730,1
434343,657248,CT-1300,1
434344,657249,MK-0730,1
434345,657250,BG-1200,1
434346,657251,MK-0730,1
434347,657252,BM-0600,1
434348,657253,BG-1200,1
434349,657254,DR-3700,1
434350,657255,BA-0350,0.5
434351,657255,DR-3700,0.5
434352,657260,AH-3350,0.5
434353,657260,SL-0500,0.5
434354,657261,BC-1200,1
434355,657264,MJ-0600,1
434356,657265,NC-0100,1
434357,657266,FC-0400,0.5
434358,657266,TH-0825,0.5
434359,657267,MK-0730,1
434360,657268,MJ-0600,1
434361,657271,MK-0730,1
434362,657273,SL-0500,0.5
434363,657273,MC-1350,0.5
434364,657274,BC-1200,1
434365,657278,WT-0200,1
434366,657281,KA-0750,1
434367,657283,BC-1200,1
434368,657284,SL-0500,1
434369,657288,DR-3700,1
434370,657289,MK-0730,1
434371,657290,JH-3675,1
434372,657293,JH-3675,1
434373,657295,WT-0200,1
434374,657302,DR-3700,0.5
434375,657302,BM-0600,0.5
434376,657303,NC-0100,1
434377,657305,MJ-0600,1
434378,657311,SL-0500,1
434379,657312,DL-0450,1
434380,657313,JM-5000,1
434381,657314,NH-0900,1
434382,657322,JH-3675,1
434383,657323,DR-3700,1
434384,657326,FC-0400,1
434385,657329,JC-5560,0.5
434386,657329,BC-1200,0.5
434387,657330,SL-0500,1
434388,657332,BC-1200,1
434389,657334,AH-3350,0.5
434390,657334,SL-0500,0.5
434391,657335,MC-1350,1
434392,657336,SL-0500,1
434393,657337,MC-1350,1
434394,657340,WT-0200,1
434395,657342,MJ-0600,1
434396,657343,MJ-0600,1
434397,657344,CB-0800,1
434398,657345,NC-0100,1
434399,657347,DL-0450,1
434400,657349,NH-0900,1
434401,657350,SL-0500,1
434402,657351,DL-0450,1
434403,657356,CT-1300,1
434404,657358,CB-0800,1
434405,657359,WT-0200,1
434406,657360,JH-3675,1
434407,657361,JH-3675,1
434408,657362,CB-0800,1
434409,657363,MJ-0600,1
434410,657365,BL-1350,0.5
434411,657365,WT-0200,0.5
434412,657366,BM-0600,1
434413,657369,BL-1350,1
434414,657370,DR-3700,1
434415,657371,JH-3675,1
434416,657373,BC-0500,1
434417,657377,BL-1350,1
434418,657378,BL-1350,1
434419,657383,BJ-2350,1
434420,657385,BC-0500,1
434421,657388,SL-0500,0.5
434422,657388,BC-1200,0.5
434423,657389,JW-3050,1
434424,657390,AH-3350,1
434425,657391,SL-0500,1
434426,657394,SL-0500,0.5
434427,657394,JH-3210,0.5
434428,657401,MB-1900,0.5
434429,657401,AR-2000,0.5
434430,657402,KW-2500,1
434431,657404,DS-1730,1
434432,657406,ET-0200,1
434433,657408,JH-4050,0.5
434434,657408,DS-1730,0.5
434435,657409,ET-0200,0.5
434436,657409,CW-2300,0.5
434437,657410,KW-2500,1
434438,657416,SS-1300,1
434439,657417,BR-0100,1
434440,657418,NP-0130,1
434441,657420,BM-1800,0.5
434442,657420,BW-0150,0.5
434443,657421,MB-5050,1
434444,657422,BW-0150,0.5
434445,657422,KW-2500,0.5
434446,657425,MD-0060,0.5
434447,657425,HC-0050,0.5
434448,657426,MB-5100,1
434449,657427,HC-0050,1
434450,657429,CM-0900,1
434451,657430,MP-0875,1
434452,657431,NP-0130,1
434453,657435,ET-0200,1
434454,657436,BW-0150,0.5
434455,657436,KW-2500,0.5
434456,657437,AR-2000,1
434457,657439,BW-0150,1
434458,657441,MD-0060,1
434459,657442,MB-5100,1
434460,657443,MP-0875,1
434461,657448,ET-0200,1
434462,657449,DS-1730,1
434463,657450,KW-2500,1
434464,657451,DS-1730,1
434465,657452,JH-4050,0.5
434466,657452,KW-2500,0.5
434467,657453,KW-2500,1
434468,657454,MP-0875,1
434469,657455,AM-3050,0.5
434470,657455,NP-0020,0.5
434471,657456,BR-0100,0.5
434472,657456,CM-0900,0.5
434473,657457,NP-0020,0.5
434474,657457,HC-0050,0.5
434475,657458,NP-0130,0.5
434476,657458,MN-0300,0.5
434477,657460,CA-1300,1
434478,657461,BW-0150,0.5
434479,657461,KW-2500,0.5
434480,657462,BM-1800,0.5
434481,657462,BW-0150,0.5
434482,657464,BM-1800,0.5
434483,657464,BW-0150,0.5
434484,657465,MB-5050,1
434485,657467,MH-4000,1
434486,657469,HC-0050,1
434487,657470,MD-0060,0.5
434488,657470,CM-0900,0.5
434489,657474,ET-0200,1
434490,657475,MB-5050,1
434491,657481,NP-0020,1
434492,657484,HC-0050,1
434493,657485,MH-4000,1
434494,657486,MH-4000,1
434495,657487,HC-0050,1
434496,657488,DJ-2350,1
434497,657489,MD-0060,0.5
434498,657489,HC-0050,0.5
434499,657494,CA-1300,1
434500,657498,HC-0050,1
434501,657499,SS-1300,1
434502,657501,MH-4000,1
434503,657505,KW-2500,1
434504,657506,CW-2300,1
434505,657507,BM-1800,1
434506,657508,BW-0150,1
434507,657510,BM-1800,0.5
434508,657510,CA-1300,0.5
434509,657511,BW-0150,1
434510,657514,MH-4000,1
434511,657515,CH-2250,1
434512,657516,NP-0020,1
434513,657522,JH-4050,1
434514,657524,CW-2300,1
434515,657525,MB-5050,1
434516,657526,BW-0150,1
434517,657527,BW-0150,0.5
434518,657527,DS-1730,0.5
434519,657528,JH-4050,1
434520,657529,DS-1730,1
434521,657530,MB-5050,1
434522,657532,DS-1730,1
434523,657536,MN-0300,1
434524,657537,MN-0300,0.5
434525,657537,HC-0050,0.5
434526,657538,MN-0300,1
434527,657539,MH-4000,1
434528,657541,MB-5050,1
434529,657542,KP-0650,0.5
434530,657542,DS-1730,0.5
434531,657543,JH-4050,1
434532,657544,JH-4050,1
434533,657545,MB-5050,1
434534,657546,AR-2000,1
434535,657547,BW-0150,1
434536,657548,AR-2000,1
434537,657551,CH-2250,0.5
434538,657551,MB-5100,0.5
434539,657552,CH-2250,1
434540,657553,NP-0130,1
434541,657554,DJ-2350,1
434542,657559,EW-0100,1
434543,657560,JB-6500,1
434544,657562,VD-0200,1
434545,657563,TC-2000,1
434546,657564,HA-0400,0.5
434547,657564,JF-3060,0.5
434548,657567,DD-0250,1
434549,657568,DD-0250,1
434550,657569,BS-2300,1
434551,657571,MW-1800,1
434552,657574,KL-0200,0.5
434553,657574,DJ-0500,0.5
434554,657576,DP-0375,1
434555,657580,CP-2600,1
434556,657581,AC-2400,1
434557,657582,DD-0250,0.5
434558,657582,MG-0600,0.5
434559,657583,CP-2600,0.5
434560,657583,MG-0600,0.5
434561,657591,LW-1350,0.5
434562,657591,DH-1400,0.5
434563,657592,DH-1400,1
434564,657595,DP-0375,0.5
434565,657595,BW-2650,0.5
434566,657596,BW-2650,0.5
434567,657596,DJ-0500,0.5
434568,657597,MA-0200,1
434569,657598,JF-3060,1
434570,657603,SB-0900,1
434571,657604,DR-1100,1
434572,657607,TC-2000,0.5
434573,657607,DL-2300,0.5
434574,657608,HA-0400,1
434575,657609,MA-0200,0.5
434576,657609,CG-0750,0.5
434577,657610,JB-6500,1
434578,657611,HA-0400,0.5
434579,657611,JF-3060,0.5
434580,657614,LW-1350,1
434581,657615,LW-1350,0.5
434582,657615,QC-0350,0.5
434583,657618,DJ-0500,1
434584,657619,DL-2300,1
434585,657620,MA-0200,1
434586,657621,TC-2000,1
434587,657622,VD-0200,1
434588,657624,EP-0250,1
434589,657625,JF-3060,0.5
434590,657625,JB-6500,0.5
434591,657626,DJ-0500,1
434592,657630,BS-2300,1
434593,657633,DH-1400,1
434594,657634,JB-6500,1
434595,657635,DL-2300,1
434596,657638,RM-1400,1
434597,657641,BS-2300,1
434598,657642,DR-1100,1
434599,657645,DR-1100,1
434600,657646,BS-2300,1
434601,657649,DD-0250,1
434602,657652,DR-1100,0.5
434603,657652,BS-2300,0.5
434604,657653,TR-0175,1
434605,657654,CP-0100,1
434606,657655,DH-1400,1
434607,657656,CP-2600,1
434608,657657,DH-1400,0.5
434609,657657,CP-2600,0.5
434610,657658,DD-0250,1
434611,657660,JB-6500,1
434612,657661,JF-3060,1
434613,657664,LD-0800,1
434614,657667,DL-2300,1
434615,657668,MA-0200,1
434616,657669,JF-3060,0.5
434617,657669,DL-2300,0.5
434618,657670,EW-0100,1
434619,657671,DJ-0500,1
434620,657672,JF-3060,0.5
434621,657672,TC-2000,0.5
434622,657675,CP-2600,1
434623,657676,AC-2400,1
434624,657677,LW-1350,0.5
434625,657677,LD-0800,0.5
434626,657678,DH-1400,1
434627,657679,MG-0600,1
434628,657681,MG-0600,1
434629,657685,SP-1750,1
434630,657686,CG-0750,1
434631,657687,JB-6500,1
434632,657690,DL-2300,1
434633,657691,DJ-0500,1
434634,657695,BS-2300,1
434635,657696,DH-1400,1
434636,657698,BS-2300,1
434637,657700,KL-0200,0.5
434638,657700,JF-3060,0.5
434639,657701,DJ-0500,1
434640,657702,EP-0250,1
434641,657703,JF-3060,1
434642,657704,DJ-0500,0.5
434643,657704,JF-3060,0.5
434644,657705,KL-0200,0.5
434645,657705,DP-0375,0.5
434646,657707,HA-0400,1
434647,657710,LD-0800,1
434648,657711,BS-2300,1
434649,657712,MW-1800,0.5
434650,657712,DD-0250,0.5
434651,657714,GS-0800,1
434652,657715,KW-2800,1
434653,657721,CC-5300,1
434654,657722,KR-0950,0.5
434655,657722,TR-0620,0.5
434656,657723,WC-0300,1
434657,657724,WC-0300,1
434658,657725,KR-0950,0.5
434659,657725,WC-0300,0.5
434660,657726,KR-0950,1
434661,657728,JB-5775,0.5
434662,657728,BM-2000,0.5
434663,657730,DG-1300,1
434664,657731,KR-0950,0.5
434665,657731,DH-0700,0.5
434666,657732,RK-0500,0.5
434667,657732,WC-0300,0.5
434668,657736,CJ-0900,0.5
434669,657736,BM-2000,0.5
434670,657737,JH-0840,1
434671,657738,KW-2800,1
434672,657740,KR-0950,1
434673,657741,DH-0700,1
434674,657743,KR-0950,1
434675,657744,RJ-0550,0.5
434676,657744,KR-0950,0.5
434677,657746,RJ-0550,0.5
434678,657746,DG-1300,0.5
434679,657750,PA-0300,1
434680,657751,KW-2800,0.5
434681,657751,PA-0300,0.5
434682,657752,KW-2800,0.5
434683,657752,JB-5775,0.5
434684,657753,LC-0850,1
434685,657754,LC-0850,1
434686,657755,DK-0465,0.5
434687,657755,PA-0300,0.5
434688,657757,CJ-0900,0.5
434689,657757,KW-2800,0.5
434690,657761,KR-0950,0.5
434691,657761,WC-0300,0.5
434692,657762,WC-0300,0.5
434693,657762,DH-0700,0.5
434694,657763,WC-0300,1
434695,657764,TK-0800,0.5
434696,657764,BB-2725,0.5
434697,657765,KR-0950,0.5
434698,657765,TR-0620,0.5
434699,657766,CB-0200,0.5
434700,657766,TM-3450,0.5
434701,657772,DK-0465,0.5
434702,657772,UU-0100,0.5
434703,657773,UU-0100,1
434704,657774,KW-2800,0.5
434705,657774,BM-2000,0.5
434706,657775,UU-0100,0.5
434707,657775,JH-5450,0.5
434708,657776,DK-0465,1
434709,657777,DM-2950,1
434710,657778,UU-0100,0.5
434711,657778,TM-1200,0.5
434712,657779,BM-2000,0.5
434713,657779,PA-0300,0.5
434714,657780,JH-0840,0.5
434715,657780,GS-0800,0.5
434716,657785,CB-0200,1
434717,657786,DH-0700,1
434718,657787,TR-0620,1
434719,657788,CC-5300,1
434720,657791,KR-0950,0.5
434721,657791,DG-1300,0.5
434722,657794,KW-2800,0.5
434723,657794,JH-0840,0.5
434724,657796,DG-1300,1
434725,657797,WC-0300,0.5
434726,657797,TM-3450,0.5
434727,657798,TK-0800,0.5
434728,657798,TR-0620,0.5
434729,657799,KR-0950,1
434730,657800,DG-1300,1
434731,657801,TK-0800,0.5
434732,657801,WC-0300,0.5
434733,657802,BB-2725,1
434734,657803,WC-0300,1
434735,657804,TK-0800,0.5
434736,657804,WB-0700,0.5
434737,657805,KR-0950,0.5
434738,657805,WC-0300,0.5
434739,657806,BB-2725,1
434740,657807,DG-1300,1
434741,657812,DK-0465,1
434742,657813,JB-5775,0.5
434743,657813,DK-0465,0.5
434744,657814,UU-0100,1
434745,657815,PA-0300,1
434746,657816,KW-2800,0.5
434747,657816,JT-1300,0.5
434748,657817,LC-0850,1
434749,657819,DG-1300,0.5
434750,657819,CC-5300,0.5
434751,657820,DG-1300,1
434752,657821,CB-0200,0.5
434753,657821,TR-0620,0.5
434754,657822,CC-5300,1
434755,657826,WB-0700,0.5
434756,657826,DG-1300,0.5
434757,657827,TR-0620,1
434758,657828,SP-0100,1
434759,657832,BM-2000,0.5
434760,657832,PA-0300,0.5
434761,657833,JC-1800,0.5
434762,657833,TM-1200,0.5
434763,657836,UU-0100,1
434764,657837,TM-1200,1
434765,657838,LC-0850,0.5
434766,657838,TW-0130,0.5
434767,657840,TM-1200,1
434768,657845,JC-1800,1
434769,657846,TW-0130,1
434770,657847,CB-0200,0.5
434771,657847,TK-0800,0.5
434772,657848,WB-0700,0.5
434773,657848,DG-1300,0.5
434774,657849,KR-0950,0.5
434775,657849,TM-3450,0.5
434776,657853,PA-0300,1
434777,657858,TM-1200,1
434778,657859,UU-0100,1
434779,657860,TM-1200,1
434780,657861,JC-1800,0.5
434781,657861,LC-0850,0.5
434782,657862,LC-0850,1
434783,657863,UU-0100,1
434784,657867,TK-0800,0.5
434785,657867,RJ-0550,0.5
434786,657868,CB-0200,1
434787,657874,CB-0200,0.5
434788,657874,RJ-0550,0.5
434789,657875,TR-0620,1
434790,657878,JC-1800,1
434791,657879,JC-1800,1
434792,657883,UU-0100,1
434793,657884,PA-0300,1
434794,657886,JC-1800,1
434795,657888,RA-0650,1
434796,657893,KW-0960,1
434797,657894,NH-0900,1
434798,657897,RA-0675,1
434799,657898,RA-0675,1
434800,657899,JD-3300,1
434801,657900,PW-1400,1
434802,657901,JB-0200,0.5
434803,657901,OS-0400,0.5
434804,657902,AC-1500,1
434805,657903,DT-1970,1
434806,657907,MC-1350,1
434807,657908,JW-3050,1
434808,657910,NH-0900,1
434809,657912,MC-1350,1
434810,657913,AH-3350,1
434811,657915,BC-0500,0.5
434812,657915,BJ-2350,0.5
434813,657921,PW-1400,1
434814,657922,WM-1000,1
434815,657923,TJ-0600,1
434816,657924,RA-0675,1
434817,657925,JD-3300,1
434818,657927,BC-1200,1
434819,657929,SL-0500,1
434820,657932,RA-0675,1
434821,657934,PW-1400,1
434822,657935,RT-0475,1
434823,657936,JD-3300,0.5
434824,657936,DT-1970,0.5
434825,657937,PA-0100,1
434826,657938,VB-0075,1
434827,657939,RT-0475,1
434828,657943,NH-0900,1
434829,657944,AH-3350,1
434830,657948,SL-0500,0.5
434831,657948,BC-1200,0.5
434832,657949,BC-1200,1
434833,657950,SL-0500,1
434834,657951,BC-1200,1
434835,657953,NH-0900,1
434836,657958,RA-0675,1
434837,657959,WM-1000,1
434838,657960,JD-3300,1
434839,657961,PW-1400,1
434840,657962,RA-0675,0.5
434841,657962,PA-0100,0.5
434842,657966,BJ-2350,1
434843,657967,BJ-2350,1
434844,657968,BC-0500,1
434845,657974,KW-0960,0.5
434846,657974,SL-0500,0.5
434847,657976,BC-0500,1
434848,657982,OS-0400,1
434849,657984,JD-3300,1
434850,657985,DT-1970,1
434851,657987,BC-0500,1
434852,657988,BC-0500,0.5
434853,657988,BC-1200,0.5
434854,657989,BC-0500,1
434855,657990,AG-0100,0.5
434856,657990,BC-1200,0.5
434857,657991,AH-3350,1
434858,657995,PS-0600,1
434859,657998,WM-1000,1
434860,657999,WM-1000,1
434861,658000,NS-0750,1
434862,658002,RA-0675,1
434863,658004,JW-3050,1
434864,658005,MC-1350,1
434865,658006,DL-0450,0.5
434866,658006,KW-0960,0.5
434867,658007,DL-0450,1
434868,658008,SL-0500,1
434869,658009,SL-0500,1
434870,658010,BC-0500,1
434871,658011,TP-0650,1
434872,658012,BC-0500,1
434873,658013,BJ-2350,1
434874,658017,JD-3300,1
434875,658018,PA-0100,1
434876,658021,AH-3350,1
434877,658022,SL-0500,1
434878,658024,JW-3050,1
434879,658025,SL-0500,1
434880,658026,JC-5560,0.5
434881,658026,AH-3350,0.5
434882,658027,AH-3350,1
434883,658028,MC-1350,1
434884,658029,NH-0900,1
434885,658030,AH-3350,0.5
434886,658030,SL-0500,0.5
434887,658034,JD-3300,1
434888,658035,JD-3300,1
434889,658036,JD-3300,1
434890,658037,PW-1400,1
434891,658040,MC-1350,1
434892,658041,KW-0960,1
434893,658044,HA-0400,1
434894,658045,DJ-0500,1
434895,658048,AW-1450,1
434896,658049,ZB-0400,1
434897,658050,JC-1700,1
434898,658051,AW-1450,1
434899,658054,DJ-0500,0.5
434900,658054,DL-2300,0.5
434901,658056,VD-0200,1
434902,658058,ZB-0400,0.5
434903,658058,CS-1250,0.5
434904,658059,DM-3600,1
434905,658060,AW-1450,0.5
434906,658060,CS-1250,0.5
434907,658064,DS-1400,1
434908,658065,AW-1450,1
434909,658069,DJ-0500,1
434910,658070,VD-0200,1
434911,658071,DP-0375,1
434912,658072,KL-0200,0.5
434913,658072,DJ-0500,0.5
434914,658073,JF-3060,1
434915,658075,DJ-2250,0.5
434916,658075,ZB-0400,0.5
434917,658076,PC-0800,1
434918,658077,KK-1000,1
434919,658079,ZK-0300,0.5
434920,658079,JF-3060,0.5
434921,658080,JB-6500,1
434922,658082,JB-6500,1
434923,658083,JF-3060,1
434924,658084,DJ-0500,1
434925,658088,BW-2650,1
434926,658089,JT-1800,1
434927,658090,MA-0200,1
434928,658091,MA-0200,1
434929,658092,JB-6500,1
434930,658094,BW-0920,0.5
434931,658094,DJ-0500,0.5
434932,658100,WW-0900,0.5
434933,658100,MG-1800,0.5
434934,658101,PC-0800,1
434935,658104,DJ-0500,1
434936,658105,DJ-0500,0.5
434937,658105,JF-3060,0.5
434938,658109,JF-3060,1
434939,658111,JB-6500,1
434940,658112,MA-0200,1
434941,658113,EO-0250,1
434942,658114,KL-0200,1
434943,658115,DJ-0500,1
434944,658120,AW-1450,0.5
434945,658120,DS-1400,0.5
434946,658121,MG-1800,1
434947,658123,AW-1450,1
434948,658125,AW-1450,0.5
434949,658125,MG-1800,0.5
434950,658130,MA-0200,1
434951,658132,JF-3060,1
434952,658133,MA-0200,1
434953,658134,MA-0200,1
434954,658135,JB-6500,0.5
434955,658135,MA-0200,0.5
434956,658146,DS-3450,1
434957,658147,CS-1250,1
434958,658149,DS-1400,1
434959,658151,DJ-0500,1
434960,658153,JB-6500,0.5
434961,658153,VD-0200,0.5
434962,658154,DJ-0500,1
434963,658156,EW-0100,1
434964,658157,KL-0200,1
434965,658160,CS-1250,1
434966,658164,JB-6500,1
434967,658166,MA-0200,1
434968,658167,ZK-0300,0.5
434969,658167,JF-3060,0.5
434970,658168,DL-2300,1
434971,658169,JF-3060,1
434972,658170,DJ-0500,1
434973,658173,PC-0800,1
434974,658175,BW-2900,1
434975,658176,ZB-0400,1
434976,658177,ZB-0400,1
434977,658178,PC-0800,1
434978,658179,MG-1800,1
434979,658180,MG-1800,1
434980,658182,JC-1700,1
434981,658189,EW-0100,1
434982,658198,DJ-2250,1
434983,658199,DS-1400,1
434984,658200,AW-1450,0.5
434985,658200,MG-1800,0.5
434986,658201,DJ-2250,1
434987,658206,JF-3060,1
434988,658208,JT-1800,1
434989,658209,JT-1800,1
434990,658211,VD-0200,1
434991,658222,JH-0100,1
434992,658223,AB-3850,0.5
434993,658223,TG-0950,0.5
434994,658225,JH-0100,1
434995,658226,KD-0100,1
434996,658228,BM-2850,1
434997,658230,CR-1150,0.5
434998,658230,TW-2700,0.5
434999,658231,KD-0100,1
435000,658232,JM-3950,0.5
435001,658232,KD-0100,0.5
435002,658233,AB-3850,1
435003,658237,JT-3800,0.5
435004,658237,DW-3200,0.5
435005,658239,AS-1500,1
435006,658241,NT-0150,1
435007,658242,MS-2400,1
435008,658245,TG-0950,1
435009,658246,JH-0100,1
435010,658248,CR-1150,1
435011,658249,AB-3850,1
435012,658253,DH-2150,1
435013,658254,NT-0150,1
435014,658255,KM-0050,1
435015,658257,CL-1300,1
435016,658260,XC-0100,1
435017,658263,CL-1300,1
435018,658269,JP-4150,1
435019,658270,JP-4150,1
435020,658271,KD-0100,1
435021,658273,DW-2600,1
435022,658276,DW-2600,1
435023,658277,CK-0850,0.5
435024,658277,TG-0950,0.5
435025,658279,DS-1850,0.5
435026,658279,TG-0950,0.5
435027,658280,DS-1850,0.5
435028,658280,KD-0100,0.5
435029,658285,AS-1500,1
435030,658286,CW-3700,1
435031,658289,CL-1300,0.5
435032,658289,DH-2150,0.5
435033,658290,SM-1650,0.5
435034,658290,MS-2400,0.5
435035,658291,TC-0385,1
435036,658292,CW-3700,0.5
435037,658292,TC-0385,0.5
435038,658293,JT-3800,0.5
435039,658293,SM-1650,0.5
435040,658295,DW-3200,0.5
435041,658295,CL-1300,0.5
435042,658299,TG-0950,1
435043,658300,TG-0950,1
435044,658302,KD-0100,0.5
435045,658302,TW-2700,0.5
435046,658307,CL-1300,1
435047,658309,SM-1650,0.5
