uid,pid,tck,value
431378,652715,BC-3100,1
431379,652716,AD-1100,0.5
431380,652716,RM-4600,0.5
431381,652717,JS-3250,0.5
431382,652717,KJ-0100,0.5
431383,652718,JC-5630,1
431384,652722,MP-0950,1
431385,652723,DJ-1500,1
431386,652724,JF-2050,1
431387,652725,RP-0200,1
431388,652726,MP-0950,1
431389,652727,RP-0200,0.5
431390,652727,MP-0950,0.5
431391,652728,JM-1600,0.5
431392,652728,DJ-1500,0.5
431393,652732,BC-3100,1
431394,652733,QD-0100,1
431395,652734,QD-0100,1
431396,652735,AB-2250,1
431397,652736,KJ-0100,1
431398,652737,RM-4600,1
431399,652738,JJ-5000,1
431400,652739,BC-3100,0.5
431401,652739,JC-3350,0.5
431402,652743,JH-5550,0.5
431403,652743,DF-1350,0.5
431404,652744,DJ-1500,1
431405,652747,AH-0250,1
431406,652748,JW-1100,1
431407,652750,KJ-0650,1
431408,652754,JF-2050,1
431409,652759,JH-5500,1
431410,652763,WM-0550,0.5
431411,652763,RM-4600,0.5
431412,652764,JW-1100,1
431413,652767,JM-1600,0.5
431414,652767,TH-0200,0.5
431415,652768,JH-5550,0.5
431416,652768,DP-1450,0.5
431417,652770,JH-5500,1
431418,652771,EB-0800,1
431419,652772,JF-2050,1
431420,652773,RP-0200,1
431421,652774,DJ-1500,1
431422,652783,RP-0200,0.5
431423,652783,MP-0950,0.5
431424,652786,JW-1100,1
431425,652787,QD-0100,1
431426,652788,JC-3350,1
431427,652790,JM-1600,1
431428,652795,BC-3100,0.5
431429,652795,AD-1100,0.5
431430,652797,KJ-0100,1
431431,652800,JS-3250,1
431432,652802,HA-0200,1
431433,652803,DP-1450,1
431434,652804,MP-0950,1
431435,652805,JH-5550,0.5
431436,652805,AB-0100,0.5
431437,652808,JH-5550,0.5
431438,652808,HA-0200,0.5
431439,652809,JJ-5000,1
431440,652810,BC-3100,1
431441,652812,KJ-0100,0.5
431442,652812,QD-0100,0.5
431443,652815,DF-1350,1
431444,652816,JF-2050,1
431445,652817,AB-0100,0.5
431446,652817,JM-1600,0.5
431447,652819,JM-1600,1
431448,652822,BC-3100,1
431449,652823,QD-0100,1
431450,652824,JW-1100,1
431451,652826,WM-0550,1
431452,652829,JW-1100,1
431453,652831,DJ-1500,0.5
431454,652831,HA-0200,0.5
431455,652832,TH-0200,1
431456,652835,DJ-1500,0.5
431457,652835,HA-0200,0.5
431458,652837,BC-3100,0.5
431459,652837,JC-3350,0.5
431460,652838,JS-3250,0.5
431461,652838,KJ-0100,0.5
431462,652839,BC-3100,1
431463,652841,JF-2050,1
431464,652842,JF-2050,1
431465,652844,TB-2400,0.5
431466,652844,JF-2050,0.5
431467,652846,HA-0200,1
431468,652850,BC-3100,0.5
431469,652850,AD-1100,0.5
431470,652852,JJ-5000,1
431471,652853,JC-3350,1
431472,652854,AD-1100,1
431473,652855,JC-5630,1
431474,652859,MP-0950,1
431475,652860,DJ-1500,1
431476,652862,MP-0950,1
431477,652863,EB-0800,1
431478,652872,JH-0100,1
431479,652873,CR-1150,0.5
431480,652873,DW-2600,0.5
431481,652874,DW-2600,0.5
431482,652874,KW-1550,0.5
431483,652875,RS-2800,0.5
431484,652875,SS-2350,0.5
431485,652876,TG-0950,0.5
431486,652876,TW-2700,0.5
431487,652880,LW-1350,1
431488,652881,DR-1100,1
431489,652882,MW-1800,1
431490,652883,DH-1400,0.5
431491,652883,CP-0100,0.5
431492,652885,DH-1400,1
431493,652886,CP-2600,1
431494,652887,TB-0525,0.5
431495,652887,LW-1350,0.5
431496,652888,CP-2600,1
431497,652889,DD-0250,0.5
431498,652889,DR-1100,0.5
431499,652890,MG-0600,1
431500,652891,DH-1400,1
431501,652893,CP-2600,1
431502,652897,CP-2600,1
431503,652898,DW-2600,1
431504,652899,AB-3850,0.5
431505,652899,DW-2600,0.5
431506,652900,AB-3850,1
431507,652902,RS-2800,0.5
431508,652902,DB-5200,0.5
431509,652903,DB-5200,0.5
431510,652903,AB-3850,0.5
431511,652904,DH-1850,1
431512,652905,CP-2600,1
431513,652906,DH-1850,1
431514,652907,MW-1800,0.5
431515,652907,DH-1850,0.5
431516,652916,JH-0100,0.5
431517,652916,JP-4150,0.5
431518,652922,DH-1850,1
431519,652923,CP-2600,1
431520,652925,DH-1400,1
431521,652928,RS-2800,0.5
431522,652928,BM-2850,0.5
431523,652929,KD-0100,1
431524,652932,MW-1800,1
431525,652933,DR-1100,1
431526,652934,DD-0250,1
431527,652935,TB-0525,1
431528,652938,BS-2300,1
431529,652941,JH-0100,1
431530,652942,TW-2700,1
431531,652943,RS-2800,1
431532,652944,JH-0100,1
431533,652945,TW-2700,1
431534,652946,DW-2600,1
431535,652948,KD-0100,1
431536,652952,DR-1100,0.5
431537,652952,CP-2600,0.5
431538,652954,DH-1400,1
431539,652955,DH-1400,1
431540,652956,CP-2600,1
431541,652958,MW-2250,1
431542,652959,DD-0250,0.5
431543,652959,DH-1400,0.5
431544,652961,DH-1850,1
431545,652963,CK-0850,0.5
431546,652963,DW-2600,0.5
431547,652964,PK-0300,1
431548,652966,KD-0100,0.5
431549,652966,PK-0300,0.5
431550,652967,KD-0100,0.5
431551,652967,CK-0850,0.5
431552,652971,MG-0600,1
431553,652972,MW-1800,0.5
431554,652972,LW-1350,0.5
431555,652975,KW-1550,1
431556,652976,BM-2850,1
431557,652977,JH-0100,0.5
431558,652977,JP-4150,0.5
431559,652978,JM-3950,0.5
431560,652978,KD-0100,0.5
431561,652979,DW-2600,1
431562,652980,KD-0100,1
431563,652981,TG-0950,1
431564,652982,PK-0300,1
431565,652983,DS-1850,1
431566,652987,LW-1350,0.5
431567,652987,QC-0350,0.5
431568,652990,MG-0600,1
431569,652992,LW-1350,0.5
431570,652992,CP-2600,0.5
431571,652995,DB-5200,0.5
431572,652995,PK-0300,0.5
431573,652996,DB-5200,0.5
431574,652996,DW-2600,0.5
431575,652997,DS-1850,0.5
431576,652997,JM-3950,0.5
431577,653001,MW-2250,1
431578,653002,MG-0600,1
431579,653003,CP-2600,1
431580,653006,CR-1150,0.5
431581,653006,DW-2600,0.5
431582,653007,KD-0100,1
431583,653011,MW-2250,1
431584,653013,MG-0600,1
431585,653014,DD-0250,1
431586,653016,MG-0600,1
431587,653019,TG-0950,1
431588,653020,JH-0100,1
431589,653021,JH-5950,0.5
431590,653021,TG-0950,0.5
431591,653022,TW-2700,1
431592,653023,CR-1150,0.5
431593,653023,TG-0950,0.5
431594,653024,CR-1150,1
431595,653027,CG-1700,1
431596,653028,RD-0050,1
431597,653029,ML-0500,0.5
431598,653029,AW-1200,0.5
431599,653030,KW-1600,0.5
431600,653030,BR-0150,0.5
431601,653033,CB-4770,0.5
431602,653033,JH-5900,0.5
431603,653037,KL-0200,1
431604,653038,MA-0200,1
431605,653039,HA-0400,0.5
