uid,gid,player,pa,pc,py,ints,ra,sra,ry,trg,rec,recy,fuml,peny
41456,4086,GW-1650,0,0,0,0,1,0,0,0,0,0,0,0
41457,4086,MB-5175,0,0,0,0,1,0,0,0,0,0,0,0
41458,4087,AS-1600,9,5,27,0,0,0,0,0,0,0,0,0
41459,4087,AW-1650,0,0,0,0,0,0,0,2,0,0,0,0
41460,4087,DT-0850,0,0,0,0,0,0,0,1,1,7,0,0
41461,4087,CW-1450,0,0,0,0,7,4,14,2,0,0,0,0
41462,4087,LB-0250,0,0,0,0,3,1,8,0,0,0,0,0
41463,4087,DW-3600,0,0,0,0,2,1,3,1,0,0,0,0
41464,4087,LJ-1250,4,2,24,0,0,0,0,0,0,0,0,0
41465,4087,MW-1250,0,0,0,0,0,0,0,1,1,5,0,0
41466,4087,TK-0150,0,0,0,0,0,0,0,1,1,0,0,0
41467,4087,CC-3950,0,0,0,0,0,0,0,3,3,20,0,0
41468,4087,MB-4550,0,0,0,0,0,0,0,2,1,19,0,0
41469,4087,SW-0350,0,0,0,0,1,1,5,0,0,0,0,0
41470,4088,TG-1950,0,0,0,0,3,2,14,0,0,0,0,0
41471,4088,JM-2900,3,3,9,0,1,1,1,0,0,0,0,0
41472,4088,BH-0800,0,0,0,0,0,0,0,1,1,1,0,0
41473,4088,DJ-1850,0,0,0,0,0,0,0,1,1,-2,0,0
41474,4088,TB-1060,0,0,0,0,0,0,0,1,1,10,0,0
41475,4088,NF-0250,2,1,10,0,0,0,0,0,0,0,0,0
41476,4088,BC-3070,0,0,0,0,1,0,0,1,1,10,0,0
41477,4088,JC-4300,0,0,0,0,0,0,0,1,0,0,0,0
41478,4089,LM-1150,0,0,0,0,2,0,6,0,0,0,0,0
41479,4089,RT-0150,1,1,10,0,0,0,0,0,0,0,0,0
41480,4089,JL-0215,0,0,0,0,0,0,0,1,1,10,0,0
41481,4089,BH-1900,8,3,19,0,0,0,0,0,0,0,0,0
41482,4089,GG-0400,0,0,0,0,0,0,0,2,0,0,0,0
41483,4089,AF-0900,0,0,0,0,5,3,17,1,1,7,0,0
41484,4089,JG-3850,0,0,0,0,0,0,0,1,0,0,0,0
41485,4089,AB-1975,0,0,0,0,2,0,6,0,0,0,0,0
41486,4089,NW-0100,0,0,0,0,0,0,0,3,1,5,0,0
41487,4089,DH-3950,0,0,0,0,0,0,0,1,1,7,0,0
41488,4089,MM-4700,0,0,0,0,3,0,-2,0,0,0,0,0
41489,4090,TB-2300,14,6,42,0,3,2,14,0,0,0,0,0
41490,4090,JE-0100,0,0,0,0,0,0,0,3,0,0,0,0
41491,4090,RG-2200,0,0,0,0,0,0,0,7,4,22,0,0
41492,4090,RF-0500,8,3,17,0,2,1,10,0,0,0,0,0
41493,4090,ED-0200,0,0,0,0,0,0,0,2,0,0,0,0
41494,4090,ZS-0150,0,0,0,0,1,1,2,0,0,0,0,0
41495,4090,CO-1300,0,0,0,0,0,0,0,1,0,0,0,0
41496,4090,JC-5900,0,0,0,0,0,0,0,1,0,0,0,0
41497,4090,CI-0300,0,0,0,0,3,2,7,2,2,12,0,0
41498,4090,JK-1000,0,0,0,0,0,0,0,1,1,5,0,0
41499,4090,JW-2550,0,0,0,0,1,1,1,2,1,12,0,0
41500,4090,AD-1450,0,0,0,0,0,0,0,1,0,0,0,0
41501,4090,BM-0300,0,0,0,0,0,0,0,1,0,0,0,0
41502,4090,DA-0900,0,0,0,0,0,0,0,1,1,8,0,0
41503,4091,LM-1850,0,0,0,0,3,2,3,0,0,0,0,0
41504,4091,JO-0550,0,0,0,0,1,0,3,0,0,0,0,0
41505,4091,DC-0725,5,3,11,0,0,0,0,0,0,0,0,0
41506,4091,MR-0970,0,0,0,0,0,0,0,2,1,4,0,0
41507,4091,MC-2900,0,0,0,0,0,0,0,1,0,0,0,0
41508,4091,TJ-2400,0,0,0,0,0,0,0,1,1,1,0,0
41509,4091,MR-0500,0,0,0,0,0,0,0,1,1,6,0,0
41510,4091,PR-0300,5,3,22,0,0,0,0,0,0,0,0,0
41511,4091,BO-0150,0,0,0,0,1,1,4,1,1,8,0,0
41512,4091,DW-4300,0,0,0,0,0,0,0,3,2,14,0,0
41513,4091,KA-0650,0,0,0,0,0,0,0,0,0,0,0,10
41514,4092,DM-1600,0,0,0,0,3,3,9,0,0,0,0,0
41515,4092,MC-0700,2,0,0,0,0,0,0,0,0,0,0,0
41516,4092,BB-4100,0,0,0,0,0,0,0,1,0,0,0,0
41517,4092,JW-6000,0,0,0,0,0,0,0,1,0,0,0,0
41518,4092,OD-0200,0,0,0,0,1,1,15,0,0,0,0,0
41519,4092,SV-0200,0,0,0,0,1,0,2,0,0,0,0,0
41520,4092,EM-0200,1,1,1,0,3,0,-3,0,0,0,0,0
41521,4092,LD-0650,0,0,0,0,0,0,0,1,1,1,0,0
41522,4093,MT-1300,0,0,0,0,2,2,5,1,1,2,0,0
41523,4093,JS-6700,0,0,0,0,5,0,6,0,0,0,0,0
41524,4093,CN-0500,3,1,2,0,1,1,2,0,0,0,0,0
41525,4093,SB-1100,6,2,11,0,0,0,0,0,0,0,0,0
41526,4093,DS-3300,0,0,0,0,0,0,0,1,0,0,0,0
41527,4093,JM-1550,0,0,0,0,0,0,0,1,0,0,0,0
41528,4093,ZE-0100,0,0,0,0,0,0,0,1,0,0,0,0
41529,4093,DM-4300,0,0,0,0,3,0,1,0,0,0,0,0
41530,4093,BC-0700,0,0,0,0,0,0,0,2,2,11,0,0
41531,4093,JH-5750,0,0,0,0,0,0,0,1,0,0,0,0
41532,4093,CB-3850,0,0,0,0,0,0,0,2,0,0,0,0
41533,4094,JF-2800,0,0,0,0,2,1,13,1,1,4,0,0
41534,4094,JF-1900,4,2,5,1,0,0,0,0,0,0,0,0
41535,4094,CJ-1700,0,0,0,0,4,1,0,0,0,0,0,0
41536,4094,CP-0500,7,4,18,0,0,0,0,0,0,0,0,0
41537,4094,LF-0200,0,0,0,0,0,0,0,1,0,0,0,0
41538,4094,MF-0950,0,0,0,0,0,0,0,1,1,3,0,0
41539,4094,DJ-1325,0,0,0,0,1,0,-2,1,1,8,0,0
41540,4094,JB-6950,0,0,0,0,0,0,0,2,1,4,0,0
41541,4094,JG-3700,0,0,0,0,0,0,0,1,0,0,0,0
41542,4094,JB-6750,0,0,0,0,0,0,0,1,1,3,0,0
41543,4094,KJ-1400,0,0,0,0,0,0,0,1,1,1,0,0
41544,4094,CG-1030,0,0,0,0,0,0,0,1,0,0,0,0
41545,4095,RG-2200,0,0,0,0,0,0,0,0,0,0,0,10
41546,4095,TB-2300,6,4,47,0,0,0,0,0,0,0,0,0
41547,4095,DL-1700,0,0,0,0,0,0,0,2,1,16,0,0
41548,4095,LM-1150,0,0,0,0,1,1,1,0,0,0,0,0
41549,4095,LB-0500,0,0,0,0,1,0,0,0,0,0,0,0
41550,4095,BL-0100,0,0,0,0,0,0,0,1,0,0,0,0
41551,4095,JE-0100,0,0,0,0,0,0,0,3,3,31,0,0
41552,4095,RT-0150,1,0,0,0,0,0,0,0,0,0,0,0
41553,4095,KS-2350,0,0,0,0,0,0,0,1,0,0,0,0
41554,4096,TR-0370,0,0,0,0,1,1,4,1,1,0,0,0
41555,4096,MS-4100,1,1,0,0,0,0,0,0,0,0,0,0
41556,4096,AS-1600,8,5,46,0,2,2,20,0,0,0,0,0
41557,4096,DT-0850,0,0,0,0,1,1,10,1,1,1,0,0
41558,4096,CW-1450,0,0,0,0,3,1,8,3,1,8,0,0
41559,4096,DH-1450,0,0,0,0,0,0,0,1,0,0,0,0
41560,4096,TK-0150,0,0,0,0,0,0,0,2,2,20,0,0
41561,4096,JM-0200,0,0,0,0,0,0,0,1,1,17,0,0
41562,4096,SW-0350,0,0,0,0,1,1,4,0,0,0,0,0
41563,4097,DF-1875,0,0,0,0,8,0,6,3,2,18,0,15
41564,4097,MR-2500,8,6,56,0,3,1,2,0,0,0,1,0
41565,4097,RW-2200,0,0,0,0,0,0,0,1,0,0,0,0
41566,4097,JW-5650,7,2,29,0,1,1,4,0,0,0,0,0
41567,4097,ME-0600,0,0,0,0,0,0,0,3,0,0,0,0
41568,4097,AH-3862,0,0,0,0,0,0,0,2,0,0,0,0
41569,4097,JT-0300,0,0,0,0,0,0,0,2,2,21,0,0
41570,4097,CS-1950,0,0,0,0,1,1,4,0,0,0,0,0
41571,4097,DM-0450,0,0,0,0,4,0,2,0,0,0,0,0
41572,4097,BM-3800,0,0,0,0,0,0,0,1,1,9,0,0
41573,4097,CB-2775,0,0,0,0,0,0,0,1,1,20,0,0
41574,4097,JH-1350,0,0,0,0,0,0,0,1,1,9,0,0
41575,4097,JJ-4700,0,0,0,0,0,0,0,1,1,8,0,0
41576,4098,CJ-1700,0,0,0,0,5,3,17,0,0,0,0,0
41577,4098,CP-0500,6,3,18,0,1,1,8,0,0,0,0,0
41578,4098,TN-0550,0,0,0,0,0,0,0,2,2,12,0,0
41579,4098,RT-1950,0,0,0,0,2,1,2,0,0,0,0,0
41580,4098,JM-2900,6,3,15,0,2,1,10,0,0,0,0,0
41581,4098,GB-0200,0,0,0,0,0,0,0,2,1,3,0,0
41582,4098,BH-0800,0,0,0,0,0,0,0,3,2,12,0,0
41583,4098,IC-0300,0,0,0,0,1,1,3,0,0,0,0,0
