uid,gid,fpid,tname,drvn,obt,qtr,min,sec,yfog,plays,succ,rfd,pfd,ofd,ry,ra,py,pa,pc,peyf,peya,net,res
96096,4102,671469,SD,9,KOFF,4,2,7,20,8,4,1,2,0,4,2,50,5,3,0,5,49,FG
96097,4102,671479,BAL,10,KOFF,4,2,27,20,9,4,1,2,1,16,5,31,3,2,21,0,59,FG
96098,4103,671490,PIT,1,KOFF,1,7,14,20,12,9,1,4,1,25,6,43,6,5,22,10,80,TD
96099,4103,671506,CIN,1,KOFF,1,4,56,20,10,5,1,2,0,17,2,42,7,5,0,5,54,FG
96100,4103,671518,PIT,2,KOFF,1,1,9,10,3,1,0,0,0,0,0,4,3,1,0,0,4,PUNT
96101,4103,671523,CIN,2,PUNT,1,1,46,61,5,1,1,0,0,17,2,0,2,0,0,5,12,FG
96102,4103,671530,PIT,3,KOFF,2,3,47,16,5,2,1,0,0,20,4,-12,1,0,0,5,3,PUNT
96103,4103,671537,CIN,3,PUNT,2,1,54,35,3,0,0,0,0,1,1,-5,2,1,0,5,-9,PUNT
96104,4103,671542,PIT,4,PUNT,2,1,32,50,3,1,0,0,0,-1,1,8,2,2,0,0,7,PUNT
96105,4103,671546,CIN,4,PUNT,2,4,45,15,9,4,0,2,1,2,2,34,7,5,20,0,56,PUNT
96106,4103,671557,PIT,5,PUNT,2,2,10,5,11,5,0,4,0,1,1,43,10,5,5,0,49,PUNT
96107,4103,671570,CIN,5,PUNT,2,0,47,5,2,0,0,0,0,-2,2,0,0,0,0,0,-2,ENDQ
96108,4103,671573,CIN,6,KOFF,3,1,48,31,5,2,0,1,0,10,2,5,3,1,0,0,15,PUNT
96109,4103,671579,PIT,6,PUNT,3,1,33,17,3,0,0,0,0,5,2,0,1,0,0,0,5,INT
96110,4103,671582,CIN,7,INT,3,0,56,67,3,0,0,0,0,0,0,-2,3,1,0,15,-17,PUNT
96111,4103,671587,PIT,7,PUNT,3,4,16,8,9,4,0,3,0,-1,1,74,7,5,15,10,78,FG
96112,4103,671598,CIN,8,KOFF,3,3,51,27,7,5,0,1,1,16,5,38,1,1,12,5,49,FUM
96113,4103,671606,PIT,8,FUM,3,4,1,12,7,4,1,1,1,61,2,11,5,3,0,19,53,PUNT
96114,4103,671616,CIN,9,PUNT,4,4,35,17,11,7,1,4,0,12,1,66,10,6,0,0,78,INT
96115,4103,671627,PIT,9,INT,4,1,34,40,3,0,0,0,0,2,1,2,2,1,0,0,4,PUNT
96116,4103,671631,CIN,10,PUNT,4,0,59,24,3,0,0,0,0,0,1,0,2,0,10,0,-15,INT
96117,4103,671634,PIT,10,INT,4,0,53,24,2,1,0,0,0,4,1,0,1,0,0,0,4,INT
96118,4103,671636,CIN,11,INT,4,2,37,55,6,3,0,2,0,5,2,40,4,3,0,0,45,TD
96119,4103,671645,PIT,11,KOFF,4,0,13,20,1,0,0,0,0,0,0,0,1,0,0,0,0,INT
