tid,gid,tname,pts,q1p,q2p,q3p,q4p,rfd,pfd,ifd,ry,ra,py,pa,pc,sk,ints,fum,pu,gpy,pr,pry,kr,kry,ir,iry,pen,top,td,tdr,tdp,tdt,fgm,fgat,fgy,rza,rzc,bry,bpy,srp,s1rp,s2rp,s3rp,spp,s1pp,s2pp,s3pp,lea,ley,lta,lty,lga,lgy,mda,mdy,rga,rgy,rta,rty,rea,rey,r1a,r1y,r2a,r2y,r3a,r3y,qba,qby,sla,sly,sma,smy,sra,sry,dla,dly,dma,dmy,dra,dry,wr1a,wr1y,wr3a,wr3y,tea,tey,rba,rby,sga,sgy,p1a,p1y,p2a,p2y,p3a,p3y,spc,mpc,lpc,q1ra,q1ry,q1pa,q1py,lcra,lcry,lcpa,lcpy,rzra,rzry,rzpa,rzpy,sky,lbs,dbs,sfpy,drv,npy,tb,i20,rtd,lnr,lnp,lbr,lbp,dbr,dbp,nha,s3a,s3c,l3a,l3c,stf,dp,fsp,ohp,pbep,dlp,dsp,dum,pfn,snpo,snpd
8183,4092,DAL,20,3,10,0,7,14,10,3,233,41,227,27,17,1,3,1,2,66,2,7,3,66,0,0,46,38,2,1,1,0,2,2,78,2,1,109,134,27,13,11,3,13,8,2,3,7,70,4,18,3,13,7,27,7,35,6,19,7,51,24,114,14,106,3,13,1,4,5,32,5,18,10,43,4,88,1,0,2,46,7,70,8,66,9,79,3,12,26,211,10,133,9,37,9,57,3,8,6,8,67,6,29,13,78,7,52,3,9,2,0,0,0,0,255,10,66,0,0,0,6.5,2,5,3,8.5,10,1,3,3,3,1,3,0,3,1,0,0,2,0,1,73,53
8184,4092,NYG,27,0,10,10,7,4,7,2,136,29,157,24,13,2,0,0,5,235,0,0,3,149,3,70,13,22,3,1,0,1,2,2,81,3,1,78,106,12,9,3,0,10,4,3,3,0,0,5,19,5,25,4,30,4,13,3,49,0,0,13,102,7,32,1,2,0,0,7,6,5,78,9,42,0,0,1,0,2,44,11,103,2,43,7,18,4,6,28,226,8,49,9,57,9,51,3,7,3,5,22,7,27,4,6,5,21,2,17,2,-7,13,0,0,274,10,188,2,0,1,14,2,17,2.5,9,11.5,28,1,0,3,1,3,7,0,0,0,0,2,1,0,53,73
8185,4093,PHI,16,0,6,10,0,6,12,2,177,30,172,46,26,5,1,0,5,233,1,2,0,0,3,23,46,31,1,1,0,0,3,4,105,2,0,96,66,11,5,4,2,18,3,9,6,4,25,2,4,3,12,15,93,0,0,0,0,6,20,15,54,12,85,3,15,3,6,19,105,7,43,18,33,2,24,0,0,0,0,12,19,6,52,11,74,17,60,80,499,17,14,17,100,17,58,9,14,3,7,34,10,43,6,25,12,0,3,1,6,11,33,1,0,330,13,228,0,2,0,15,0,7,4,8,9,57,3,3,12,3,5,0,2,2,0,2,1,1,0,83,61
8186,4093,CAR,27,7,7,7,6,9,11,1,205,34,190,24,14,1,3,0,4,157,1,5,2,27,1,0,43,29,3,2,1,0,2,2,64,5,3,116,121,18,10,7,1,13,8,4,1,5,66,4,14,4,42,9,54,4,15,2,4,4,7,17,80,12,113,3,9,3,21,7,106,2,9,10,57,2,25,0,0,3,0,13,97,3,33,5,65,3,2,40,487,12,157,7,24,6,9,3,5,6,6,54,6,53,11,45,5,33,8,13,3,2,7,1,0,440,13,155,0,3,0,8.5,4,12.5,13.5,8,12.5,22,2,1,4,0,6,0,1,2,1,0,2,0,0,61,83
8187,4094,BAL,18,3,7,0,8,3,14,1,55,16,221,39,26,3,1,1,6,272,1,8,1,28,0,0,64,30.5,2,1,1,0,1,1,44,4,2,40,105,6,3,3,0,22,8,8,6,2,-1,2,0,0,0,7,45,0,0,5,11,0,0,8,43,6,14,2,-2,0,0,8,25,13,95,12,49,2,29,2,23,2,31,8,28,12,118,9,73,10,33,27,115,17,74,13,103,12,44,9,12,5,6,27,7,41,0,0,9,72,2,13,4,-6,31,2,0,309,10,253,0,2,0,9.5,2,11,6.5,5.5,11.5,3,6,2,7,3,7,0,2,2,2,0,2,1,1,64,62
8188,4094,ARI,26,7,7,6,6,5,14,2,151,29,264,29,20,2,0,0,4,144,4,19,0,0,1,0,40,29.5,3,1,2,0,2,3,42,4,2,98,112,10,6,3,1,17,7,6,4,1,3,4,9,0,0,19,80,0,0,1,5,2,32,19,92,6,30,2,7,1,3,6,56,8,63,9,88,1,0,0,0,4,68,9,98,7,68,6,62,6,47,23,200,9,116,12,66,10,82,3,10,7,5,46,5,77,4,7,4,38,5,-2,7,18,11,0,1,298,11,109,0,1,0,5,2.5,2.5,2.5,7.5,23,0,2,1,6,1,7,0,1,2,1,0,1,1,0,62,64
8189,4095,MIA,7,0,0,7,0,2,16,0,15,13,255,44,28,5,2,0,6,349,4,9,2,68,0,0,40,27.5,1,1,0,0,0,1,0,2,1,0,102,4,2,2,0,22,10,9,3,0,0,1,0,2,1,3,1,3,7,3,3,1,3,7,9,4,8,2,-2,2,-1,13,91,3,17,14,97,6,29,2,0,5,66,27,191,0,0,6,40,10,69,49,190,21,118,17,118,11,19,9,9,10,4,10,4,27,0,0,0,0,1,1,2,-13,45,1,0,259,13,271,2,1,0,7,1.5,8,9.5,11,12,13,1,0,9,1,7,0,3,1,1,3,0,0,0,63,72
8190,4095,NE,36,7,12,3,14,8,16,0,95,26,342,38,26,2,0,0,6,264,4,38,1,17,2,31,69,32.5,4,0,4,0,2,2,88,4,3,35,125,13,7,5,1,21,14,4,3,3,12,2,7,7,46,8,19,4,14,2,-3,0,0,12,60,10,26,4,9,1,1,15,130,12,124,5,26,3,43,0,0,3,33,10,92,7,47,11,122,10,95,31,172,20,230,11,80,9,32,5,11,10,6,23,11,128,0,0,0,0,1,0,7,40,14,1,1,409,12,255,0,4,0,9,3.5,1,4.5,1,23,8,3,1,8,2,7,2,3,1,1,0,0,0,3,72,63
8191,4096,DET,10,3,0,0,7,2,13,1,81,14,195,38,23,6,2,0,6,282,1,2,6,151,0,0,81,26,1,0,1,0,1,1,35,1,0,44,51,4,3,1,0,18,9,6,3,1,32,1,3,5,24,1,3,3,11,3,8,0,0,11,58,2,18,1,5,1,5,11,53,11,75,11,48,3,30,0,0,2,21,17,144,5,29,6,24,10,30,44,219,16,118,15,62,13,15,8,11,4,6,50,9,11,0,0,0,0,1,4,2,-4,32,0,0,205,12,241,0,0,0,8.5,4,10,3.5,8.5,13.5,9,2,0,7,0,1,0,0,1,1,1,2,2,1,60,65
8192,4096,KC,45,7,17,7,14,10,10,4,207,33,134,28,20,3,0,0,4,164,6,41,2,77,2,1,20,34,6,4,2,0,1,1,33,7,6,128,23,14,9,2,3,14,3,6,5,5,39,1,-1,6,20,2,48,12,79,3,9,2,4,19,125,8,40,4,33,4,70,13,45,6,59,6,28,1,0,2,17,0,0,9,47,1,6,9,49,9,47,38,389,9,13,13,78,9,43,7,9,4,6,36,6,19,0,0,0,0,7,42,8,46,15,2,3,517,12,162,0,3,0,6.5,3,0.5,4,7,21,2,2,2,7,4,7,0,1,0,0,0,1,1,0,65,60
