pid,fum,frcv,fry,forc
669046,TB-1060,NF-0100,-5,TM-1750
669066,JM-2900,ES-0800,0,WH-0300
669136,BH-1900,BH-1900,0,CW-0100
669172,BH-1900,CC-1900,0,CW-0100
669193,DW-3125,JJ-5000,0,JC-5630
669208,DH-3950,GG-0400,0,JJ-1620
669266,RF-0500,DH-2950,0,CJ-2050
669383,TB-2300,TB-2300,0,SR-0670
669590,SJ-0600,SJ-0600,0,DH-2150
669778,CB-1130,MW-1475,0,
669945,SB-1100,JK-0500,0,KS-0850
670020,JR-3270,JB-3350,0,JB-3350
670033,BG-0750,JB-3350,0,
670086,PP-0400,,0,
670154,RT-0150,,0,
670183,JL-0215,,0,
670474,JJ-4700,KA-0625,20,KA-0625
670493,MP-0900,JS-4037,9,
670533,MR-2500,HM-0100,0,
670623,MR-2500,DF-1875,0,HJ-0300
670650,CJ-1700,AB-3850,34,KD-0100
670683,JM-2900,RT-1950,0,
670701,LF-0200,KW-1550,0,KW-1550
670742,JM-2900,JT-1600,0,CC-0200
670754,CJ-1700,JB-0450,0,AB-3850
670779,JM-2900,CR-0500,0,
670784,DJ-1325,,0,KW-1550
670835,TA-1050,EH-0150,8,JT-0650
671034,EM-0200,EM-0200,0,
671090,WT-0600,JB-8800,1,JB-8800
671144,WS-0925,TM-1200,63,DR-2800
671168,MM-5750,WS-0925,0,CD-0200
671174,MM-0900,,0,
671190,MM-0900,MM-0900,0,
671201,MS-1300,MS-1300,0,
671449,PR-0300,PR-0300,0,
671483,JF-1900,JF-1900,0,
671555,RB-2275,GB-0350,0,
671631,AD-0100,AD-0100,0,
671704,BS-0650,EP-0550,0,KD-1475
671780,ZM-0150,JC-5630,0,JW-1100
672028,CW-1850,JW-3050,0,
672220,EL-0010,EL-0010,0,CH-1500
672259,AR-1300,RR-1050,0,DW-1100
672269,JJ-4200,JJ-4200,0,BM-0330
672282,QB-0250,QB-0250,0,
672284,JH-2250,RH-0700,0,
672321,AL-1100,AL-1100,0,KE-0050
672329,FG-0200,HT-0600,0,SL-0950
672336,FW-0750,FW-0750,0,
672340,JS-6700,BW-0920,0,TC-2000
672390,CN-0500,BW-2650,0,
672694,EL-0010,KL-1400,0,CT-1500
672767,AR-1300,AR-1300,0,KE-0050
672835,JE-0100,WB-0700,0,WB-0700
672893,AR-1100,AR-1100,0,
672899,MJ-2275,RN-1100,0,AB-2700
672907,LB-0500,LB-0500,0,SP-0100
672963,JC-5680,,0,JF-3150
672993,AG-0250,MM-0912,0,
672995,MM-5750,SJ-0650,0,CR-0875
673060,DM-1200,OG-0700,0,DH-2000
673165,RT-0150,,0,
673166,DM-3100,DM-3100,0,
673259,RT-0150,JH-5900,2,JH-5900
673288,DW-3125,DW-3125,0,
673436,AP-0700,,0,AA-1900
673437,AP-0700,AP-0700,0,
673551,BB-2425,BB-2425,0,
673641,BB-2425,CP-0100,0,CP-0100
673646,NM-0250,KD-0400,0,
673659,CI-0300,BM-0300,0,TS-2050
673728,TJ-2400,,0,AB-1950
673760,LM-1850,,0,RS-0962
673783,LM-1850,JJ-3900,0,MM-3800
673807,TJ-2400,AC-1350,0,RN-1250
673827,AB-3500,RA-1350,0,AH-3600
673860,MT-0550,VW-0250,0,
673904,DM-0450,JB-5700,0,JH-0840
673950,CS-1950,TW-0130,0,JB-5700
673993,BR-0050,BR-0050,0,
674001,OB-0075,,0,SM-3000
674029,ME-0600,TW-0130,5,
674177,MP-0900,MR-2500,0,
674429,MC-0700,MC-0700,0,BG-1200
674460,MC-0700,ZM-0050,0,BG-1200
674576,JC-6200,EW-0400,0,MI-0150
674592,DI-0075,CJ-2175,0,TP-2000
